FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT
**** MARINE PALYNOMORPHS,Dinocystes,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagelle,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagelles,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagellés,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryo,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryococcus,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryococcus braunii,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum boryanum,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum duplex,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum type 1,,Other,Other,
*****SCENEDESMACEAE,Coelastrum,,Other,Other,
*****ZOSTERACEAE,Zostera,,Other,Other,
****OTHER PALYNOMORPHS,Fungal spores,,Other,Other,
****OTHER PALYNOMORPHS,Sporomorphes reworked,,Other,Other,
****OTHER PALYNOMORPHS,"Sporomorphes, reworked",,Other,Other,
****OTHER PALYNOMORPHS,Ferns & moss spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,"H,patiques",B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Hépatiques,B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Mousses,B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Other spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Perine spore,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Pteridium/Selaginella,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores indeterminees,,S,Spores undiff.,
****OTHER PALYNOMORPHS,spores indeterminees,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores undiff.,,S,Spores undiff.,
***ANTHOCEROTACEAE,Anthoceras,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceros,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceros (Xn),B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,SpAnthoceros,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceroctales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotaceae undiff.,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerothaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerothales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Bryophyta anthocerotaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***AYTONIACEAE,Asterella,B,Sb,Asterella,tallose liverwort
***AYTONIACEAE,Reboulia,B,Sb,Reboulia,livewort
***BRYOPHYTA,Bryophytes,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***BRYOPHYTA,Bryophytes indt,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***BRYOPHYTA,Hépathiques,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***FOSSOMBRONIACEAE,Fossombronia,B,Sb,Fossombronia,liverwort
***RICCIACEAE,Riccia,Ba,Sb,Riccia,"aquatic liverwort, thallose, dichotomously branching"
***SPHAGNACEAE,Sphagnum,Ba,Sb,Sphagnum,aquatic mosses
***SPHAGNACEAE,Sphagnuum,Ba,Sb,Sphagnum,aquatic mosses
**EQUISETACEAE,Equisetum,,,Equisetum,terrestrial or swampy rhizomatous perennial plants
