FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
*AZOLLACEAE,Azolla,Fa,Sp,Azolla,floating plants, ? (1 g.),(1 sp. in FG; 2 sp. FCBBR),not in Lebrun & Stork,Azolla
*GLEICHENIACEAE,T. Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern, ? (1 g.),(1 sp. FG) syn. Dicranopteris linearis FTEA ?,not in Lebrun & Stork,Gleichenia linearis
*GLEICHENIACEAE,Type Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern, ? (1 g.),(1 sp. FG) syn. Dicranopteris linearis FTEA ?,not in Lebrun & Stork,Gleichenia linearis
BEGONIACEAE,Begoniaceae,Hep(L),NL,Begonia,"herbs or undershrubs, mostly succulent and epiphytic, sometimes climbing ",( 1 g.),,,Begonia
**LYCOPODIACEAE,Lycopodiaceae,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns,(1 g. ?),"(3 g. FCBBR, probably syn. ?)",not in Lebrun & Stork,Lycopodiaceae undiff.
**LYCOPODIACEAE,Lycopodiaceae undiff.,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns,(1 g. ?),"(3 g. FCBBR, probably syn. ?)",not in Lebrun & Stork,Lycopodiaceae undiff.
ASPARAGACEAE,Asparagaceae,S(L),AL,Asparagus,erected or scandent branching shrubs or subshrubs,(1 g.),,"not covered by FTEA, FCBBR, FZ",Asparagus
CISTACEAE,Cistaceae,HS,I,Cistaceae undiff.,"shrubs, shrubby trees, subshrubs or herbs",(1 g.),,1 genus in Tropical Africa (Helianthemum),Cistaceae undiff.
*ACTINIOPTERIDACEAE,Actiniopetris radiata,F,Sp,Actiniopteris radiata-type,terrestrial fern,(1 g.),(4 sp. FTEA),mis-spelling; not in Lebrun & Stork,Actiniopteris radiata-type
*CYATHEACEAE,Cf Cyathea,FT,Sp,Cyathea,tree-like ferns,(1 g.),(1 g. and 2 sp. FG) (10 sp. FTEA),not in Lebrun & Stork,Cyathea
**ISOETACEAE,Isoetes,,Ss,Isoetes,aquatic plants,(1 g.),(5 sp. FTEA),not in Lebrun & Stork,Isoetes
**SELAGINELLACEAE,Selaginella,,St,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta",(1 g.),(8 sp.FG; 26 sp. FCBBR; 21 sp. FTEA),not in Lebrun & Stork,Selaginella
APOCYNACEAE,Nerium cf.,ST,A,Nerium oleander,"shrubs, or small trees 1-6 m tall",(1 sp. int),,"introduced (Mediterranean region), cultivated as ornamental plant",Nerium oleander
MUSACEAE,Musa,HT,NG,Musa,"robust, tree-like, perennial monocarpic herbs with a peudo-trunk",(1+1 g.),,"introduced (Indomalayan area), cultivated for its fruits (Banana, Plantain); difference with Ensete ?",Musa
CONNARACEAE,Connaraceae,STL,AL,Connaraceae undiff.,"erect or scandent shrubs, small trees or lianes",(10 g.),,,Connaraceae undiff.
OCHNACEAE,Cf Ochnaceae,HST,I,Ochnaceae undiff.,"trees, shrubs, suffrutex or herbs",(10 g.),,,Ochnaceae undiff.
THYMELAEACEAE,Thymelaeaceae,ST(LH),I,Thymelaeaceae undiff.,"trees or shrubs, sometimes lianas (rarely perennial herbs)",(10 g.),,not covered by FZ,Thymelaeaceae undiff.
SIMAROUBACEAE,Simaroubaceae,ST,A,Simaroubaceae undiff.,trees or shrubs,(11 g.),,,Simaroubaceae undiff.
COMBRETACEAE,Cf Combretaceae,STL,AL,Combretaceae undiff.,"trees, shrubs, shrublets or climbers",(11 g.),some MELASTOMATACEAE (H(STL)),,Combretaceae undiff.
PASSIFLORACEAE,Passifloraceae,STL(H),I,Passifloraceae undiff.,"climbers, shrubs or small trees, or sometimes erect herbs",(11 g.),,,Passifloraceae undiff.
TILIACEAE,Cf Tiliaceae,ST(HL),I,Tiliaceae undiff.,"trees, shrubs sometimes scandent, subshrubs or less often annual or perennial herbs",(11 g.),,,Tiliaceae undiff.
COMBRETACEAE/MELASTOMATACEAE,Combretaceae/Melastomataceae,HSTL,I,Combretaceae/Melastomataceae undiff.,"trees, shrubs, climbers, herbs",(11+25 g.),,,Combretaceae/Melastomataceae undiff.
