"","Alchornea","Anthostema-type","Antidesma-type","Asteraceae_undiff.","Bridelia_micrantha-type","Caesalpiniaceae_undiff.","Celtis","Combretaceae_undiff.","Combretaceae/Melastomataceae_undiff.","Croton-type","Dacryodes-type","Diospyros","Elaeis_guineensis","Euphorbia-type","Euphorbiaceae_undiff.","Fabaceae_undiff.","Hallea-type","Hymenocardia","Lophira","Macaranga-type","Margaritaria_discoidea","Mimosa","Mimosaceae_undiff.","Pausinystalia-type","Pentaclethra_macrophylla","Piptadeniastrum-type_africanum","Plagiostyles-type_africana","Poaceae_undiff.","Pycnanthus","Rubiaceae_undiff.","Proteaceae/Sapindaceae_undiff.","Meliaceae/Sapotaceae_undiff.","Syzygium-type","Tetracera","Tetrorchidium","Uapaca","Zanthoxylum-type"
"CAM-02",12.6582278481013,0,0,1.89873417721519,0,4.43037974683544,1.89873417721519,0,5.06329113924051,0.632911392405063,0,0,14.5569620253165,0.632911392405063,2.53164556962025,1.26582278481013,0.632911392405063,1.26582278481013,1.26582278481013,1.26582278481013,0.632911392405063,0,0,0,0,0,0,31.6455696202532,8.22784810126582,1.26582278481013,0,3.16455696202532,0,0,2.53164556962025,1.26582278481013,1.26582278481013
"CAM-06",13.6792452830189,0,0,0,0,1.88679245283019,3.30188679245283,4.71698113207547,0,0.943396226415094,0,0,2.35849056603774,0,0,4.24528301886792,0,1.88679245283019,5.66037735849057,1.41509433962264,0,0,0,1.41509433962264,0,0,0,27.3584905660377,4.24528301886792,0.471698113207547,0,1.41509433962264,1.88679245283019,1.41509433962264,0.471698113207547,20.7547169811321,0.471698113207547
"CAM-09",20.4152249134948,0,0,0.346020761245675,0,0.69204152249135,5.88235294117647,0,12.4567474048443,0.346020761245675,0,0,16.2629757785467,0.69204152249135,1.03806228373702,0.69204152249135,0.346020761245675,0.346020761245675,4.84429065743945,0,0,1.3840830449827,1.3840830449827,0,0,0,1.3840830449827,1.73010380622837,13.840830449827,1.73010380622837,0.346020761245675,2.42214532871972,0.69204152249135,0,1.3840830449827,6.9204152249135,2.42214532871972
"CAM-11",0.3690036900369,0,0,2.2140221402214,0,0,0,0,0,0,0,0,0,0,0,0.3690036900369,0,0.738007380073801,0,0,0,0,0,0,0,0,0,96.309963099631,0,0,0,0,0,0,0,0,0
"CAM-13",1.62162162162162,0,0,3.24324324324324,0,0,0,0,1.08108108108108,0,0,0,0,0,0,1.62162162162162,0,0,0,0,4.86486486486486,0,0,0,0,0,0,84.3243243243243,0.540540540540541,0,0,0,0,0,1.62162162162162,1.08108108108108,0
"CAM-14",13.3333333333333,0,0,4.16666666666667,0,1.25,0,0,10,0,0,0,0,0,0.416666666666667,0.416666666666667,0,4.58333333333333,1.66666666666667,0.416666666666667,0,0,0,0,0,0,0,50,0,0.416666666666667,0,0.416666666666667,0,2.91666666666667,0,10,0
"CAM-15",2.61780104712042,0,0,14.6596858638743,0,1.04712041884817,0,0,5.23560209424084,0,0,0,0,0,0.523560209424084,0.523560209424084,0,3.1413612565445,0,0,1.04712041884817,1.04712041884817,1.04712041884817,0,0,0,0,67.5392670157068,0,0,0,0,1.57068062827225,0,0,0,0
"CAM-16",9.49720670391061,0,0,5.58659217877095,0,1.11731843575419,1.11731843575419,0,15.6424581005587,0,0,0.558659217877095,0,0,0.558659217877095,0,0,0,1.67597765363128,0,1.67597765363128,0,0,1.11731843575419,0,0,0,45.2513966480447,0.558659217877095,3.35195530726257,0,0.558659217877095,0.558659217877095,0,0.558659217877095,9.49720670391061,1.11731843575419
"CAM-17",13.9303482587065,0,0,1.99004975124378,0,0,0,0,6.96517412935323,0,0,0,0,0,0,0.995024875621891,0,3.48258706467662,2.48756218905473,0,0,0,0,1.49253731343284,0,0,0,21.8905472636816,0.995024875621891,0.497512437810945,0,0.995024875621891,0,1.99004975124378,0,42.2885572139304,0
"CAM-18",1.06382978723404,0,0,1.41843971631206,0,1.06382978723404,0,0,9.21985815602837,0,0,0,0,0,0,0.354609929078014,0,1.41843971631206,2.12765957446809,0.354609929078014,0,1.41843971631206,0,0,0,0,0,80.8510638297872,0,0,0,0,0,0,0,0.709219858156028,0
"CAM-19",4.56140350877193,0,0,1.40350877192982,0,1.05263157894737,0,0,13.3333333333333,0.701754385964912,0,0,0,0,0,0.701754385964912,0,2.10526315789474,0.701754385964912,0,0.701754385964912,0.350877192982456,0,0,0,0,0,62.4561403508772,0,1.05263157894737,0,0,0,3.15789473684211,0,7.71929824561404,0
"CAM-21",1.98412698412698,0,0.396825396825397,1.19047619047619,0,0,0.793650793650794,0,0.793650793650794,0,0,0,0,0.396825396825397,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,76.1904761904762,0,1.58730158730159,0,0,0,1.19047619047619,0,13.4920634920635,1.19047619047619
"CAM-23",10.0877192982456,0,0,1.31578947368421,0,0.43859649122807,1.31578947368421,0,10.5263157894737,0,0,0,0,0,0,0.87719298245614,0,2.63157894736842,1.31578947368421,0,0,0,0,0,0,0,0,55.2631578947368,0.87719298245614,0.43859649122807,0,0,0,0,0.43859649122807,13.1578947368421,1.31578947368421
"CAM-24",9.81818181818182,0,0,1.09090909090909,0,0,0.727272727272727,0,6.54545454545455,0,0,1.09090909090909,0,0,0,1.09090909090909,0,1.45454545454545,0.363636363636364,0,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0,0,25.4545454545455,0.727272727272727,1.09090909090909,0.363636363636364,5.09090909090909,0,0,1.09090909090909,42.1818181818182,0
"CAM-25",7.50551876379691,0,0,1.98675496688742,0,0,3.53200883002207,0,1.32450331125828,0,0,0,6.84326710816777,0,0.662251655629139,0.883002207505519,0,0.883002207505519,0.22075055187638,1.1037527593819,0.662251655629139,0,0,0,0,0,0,7.06401766004415,0,0.441501103752759,0,3.09050772626932,0,0,1.1037527593819,62.4724061810155,0.22075055187638
"CAM-26",21.0526315789474,0,0,1.16959064327485,0,0,1.75438596491228,0,12.8654970760234,0,0,0.584795321637427,0.584795321637427,0,0,0,0,1.16959064327485,1.16959064327485,1.75438596491228,0,0,0,0,0,0,0,6.4327485380117,0,0,0,1.75438596491228,0.584795321637427,6.4327485380117,1.16959064327485,40.3508771929825,1.16959064327485
"CAM-28",6.95970695970696,0,0,6.22710622710623,0,1.0989010989011,3.2967032967033,0,2.93040293040293,0,0,0,3.66300366300366,0,0,0,0,0.732600732600733,1.83150183150183,0,0.366300366300366,0,0,0,0,0,0,61.9047619047619,0.366300366300366,1.46520146520147,0,0,0.366300366300366,0.366300366300366,0,8.42490842490843,0
"CAM-30",20.3389830508475,0,0,2.96610169491525,0,0,1.69491525423729,0,5.08474576271187,0,0,0,1.27118644067797,0,0,1.27118644067797,0,0,0,0,0.423728813559322,0,0,0,0,0,0.423728813559322,22.8813559322034,0,0,0,0.847457627118644,0.423728813559322,0,0,41.1016949152542,1.27118644067797
