"Sample.name.APD","Country","LATITUDE","LONGITUDE","ALTITUDE"
"CAM-02","Cameroon",4.036,9.532,""
"CAM-06","Cameroon",3.6,10,""
"CAM-09","Cameroon",3.399,10.099,""
"CAM-11","Cameroon",5.727,10.536,""
"CAM-13","Cameroon",6.027,11.336,""
"CAM-14","Cameroon",6.009,11.518,""
"CAM-15","Cameroon",6.582,11.821,""
"CAM-16","Cameroon",6.679,12.514,""
"CAM-17","Cameroon",6.354,12.514,""
"CAM-18","Cameroon",6.309,12.752,""
"CAM-19","Cameroon",6.536,12.605,""
"CAM-21","Cameroon",6.494,13.064,""
"CAM-23","Cameroon",5.598,13.982," "
"CAM-24","Cameroon",4.913,13.318,""
"CAM-25","Cameroon",4.566,13.218,""
"CAM-26","Cameroon",4.709,12.4,""
"CAM-28","Cameroon",4.418,11.261,""
"CAM-30","Cameroon",4.882,11.104,""
"CAM07002S","Cameroon",4,12.63333333,"662"
"CAM07003S","Cameroon",3.983333333,12.26666667,"695"
"CAM07007S","Cameroon",3.85,12.23333333,"667"
"CAM07008S","Cameroon",3.85,12.23333333,"671"
"CAM07009S","Cameroon",3.85,12.23333333,"643"
"CAM07010S","Cameroon",3.85,12.23333333,"687"
"CAM07038S","Cameroon",3.583333333,9.916666667,"26"
"CAM07039S","Cameroon",3.583333333,9.916666667,"14"
"CAM07040S","Cameroon",3.583333333,9.916666667,"11"
"CAM07068S","Cameroon",3.55,9.766666667,"17"
"CAM07069S","Cameroon",3.55,9.766666667,"19"
"CAM07070S","Cameroon",3.55,9.766666667,"19"
"CAM07071S","Cameroon",3.55,9.766666667,"15"
"CAM07090S","Cameroon",3.35,13.53333333,"710"
"CAM07091S","Cameroon",3.35,13.55,"716"
"CAM07096S","Cameroon",3.816666667,13.31666667,"668"
"CAM07097S","Cameroon",3.816666667,13.31666667,"678"
"CAM07098S","Cameroon",3.816666667,13.31666667,"684"
"CAM07099S","Cameroon",3.816666667,13.31666667,"681"
"CAM07087S","Cameroon",3.35,13.51666667,"697"
"CAM07088S","Cameroon",3.35,13.51666667,"699"
"CAM07089S","Cameroon",3.35,13.51666667,"697"
"CAM070108","Cameroon",4.383333333,11.71666667,"516"
"CAM07004","Cameroon",3.983333333,12.26666667,"693"
"CAM-33","Cameroon",4.333,13.71666667,"640"
"CAM-34","Cameroon",4.3331,13.71666667,"640"
"CAM-35","Cameroon",4.3332,13.71666667,"640"
"CAM-36","Cameroon",4.3333,13.71666667,"640"
"CAM-37","Cameroon",4.3334,13.71666667,"640"
"CAM-38","Cameroon",4.3335,13.71666667,"640"
"CAM-39","Cameroon",4.3336,13.71666667,"640"
"CAM-40","Cameroon",4.3337,13.71666667,"640"
"CAM-41","Cameroon",4.3338,13.71666667,"640"
"CAM-42","Cameroon",4.3339,13.71666667,"640"
"CAM-43","Cameroon",4.334,13.71666667,"640"
"CAM-44","Cameroon",4.3341,13.71666667,"640"
"CAM-45","Cameroon",4.3342,13.71666667,"640"
"CAM-46","Cameroon",4.3343,13.71666667,"640"
"CAM-47","Cameroon",4.3344,13.71666667,"640"
"CAM-48","Cameroon",4.3345,13.71666667,"640"
"CAM-49","Cameroon",4.3346,13.71666667,"640"
"CAM-50","Cameroon",4.3347,13.71666667,"640"
"CAM-51","Cameroon",4.3348,13.71666667,"640"
"CAM-53","Cameroon",4.335,13.71666667,"640"
"CAM-54","Cameroon",4.3351,13.71666667,"640"
"CAM-55","Cameroon",4.3352,13.71666667,"640"
"CAM-56","Cameroon",4.3353,13.71666667,"640"
"CAM-57","Cameroon",4.3354,13.71666667,"640"
"CAM-58","Cameroon",4.3355,13.71666667,"640"
"Ossa","Cameroon",4,10,"42"
"Barombi-mbo","Cameroon",5,9,"300"
"Cng-1","Congo",-3.5,15.35,"705"
"Cng-2","Congo",-3.517,15.508,"720"
"Cng-4","Congo",-3.525,15.417,"720"
"Cng-6","Congo",-4.25,14.408,"400"
"Cng-7","Congo",-4.51,13.508,"200"
"Cng-8","Congo",-4.367,12.559,"150"
"Cng-9","Congo",-4.272,12.506,"350"
"Cng-10","Congo",-4.272,12.503,"380"
"Cng-11","Congo",1.533,17.915,"250"
"Cng-12","Congo",-4.584,11.833,"50"
"Cng-13","Congo",-4.678,11.835,"10"
"Cng-14","Congo",-4.668,11.834,"10"
"Cng-15","Congo",-4.667,11.834,"20"
"Cng-16","Congo",-4.668,11.834,"30"
