depth	min	max	median	mean
7.5	50	986	682	650
17.5	229	1035	760	730
27.5	380	1091	826	804
37.5	539	1138	895	882
47.5	684	1193	964	960
57.5	895	1241	1033	1044
67.5	959	1315	1117	1124
77.5	1022	1403	1203	1205
87.5	1093	1488	1288	1288
97.5	1171	1565	1373	1372
107.5	1270	1634	1461	1456
117.5	1392	1687	1541	1538
127.5	1443	1815	1614	1617
137.5	1492	1928	1686	1691
147.5	1547	2026	1762	1769
157.5	1607	2125	1839	1846
167.5	1667	2214	1914	1922
177.5	1728	2289	1989	1995
187.5	1793	2371	2065	2070
197.5	1858	2453	2140	2145
207.5	1934	2528	2221	2223
217.5	2005	2609	2298	2299
227.5	2081	2681	2375	2376
237.5	2153	2759	2453	2453
247.5	2231	2823	2528	2529
257.5	2311	2900	2606	2607
267.5	2394	2970	2691	2687
277.5	2476	3038	2768	2764
287.5	2565	3103	2843	2841
297.5	2647	3171	2920	2918
307.5	2741	3226	2997	2995
317.5	2834	3283	3075	3073
327.5	2887	3337	3127	3124
337.5	2941	3377	3173	3171
347.5	2997	3423	3220	3217
357.5	3051	3462	3267	3264
367.5	3106	3508	3312	3311
377.5	3166	3549	3360	3359
387.5	3225	3596	3406	3407
397.5	3288	3637	3452	3454
407.5	3347	3676	3498	3500
417.5	3428	3720	3549	3551
427.5	3499	3834	3638	3640
437.5	3545	3923	3710	3716
447.5	3590	4023	3780	3788
457.5	3643	4117	3852	3861
467.5	3700	4201	3923	3931
477.5	3758	4285	4000	4005
487.5	3818	4363	4069	4075
497.5	3879	4435	4142	4146
507.5	3932	4516	4213	4217
517.5	4001	4598	4285	4289
527.5	4068	4671	4356	4360
537.5	4136	4746	4433	4434
547.5	4203	4820	4506	4507
557.5	4267	4884	4578	4578
567.5	4338	4959	4652	4649
577.5	4404	5021	4722	4720
587.5	4474	5088	4796	4791
597.5	4547	5146	4870	4862
607.5	4619	5206	4944	4934
617.5	4697	5270	5012	5004
627.5	4768	5327	5081	5072
637.5	4841	5388	5154	5144
647.5	4923	5439	5224	5216
657.5	4995	5489	5292	5287
667.5	5075	5540	5351	5359
677.5	5138	5597	5410	5420
687.5	5189	5661	5468	5471
697.5	5249	5716	5521	5520
707.5	5309	5776	5574	5571
717.5	5364	5834	5625	5623
727.5	5418	5894	5675	5673
737.5	5466	5949	5726	5724
747.5	5526	5999	5779	5775
757.5	5581	6048	5830	5826
767.5	5634	6097	5881	5876
777.5	5682	6146	5931	5927
787.5	5742	6194	5983	5978
797.5	5797	6239	6032	6028
807.5	5843	6284	6081	6077
817.5	5900	6331	6132	6127
827.5	5956	6372	6182	6177
837.5	6020	6417	6233	6229
847.5	6080	6456	6281	6278
857.5	6142	6499	6330	6327
867.5	6208	6542	6382	6378
877.5	6260	6584	6429	6426
887.5	6305	6629	6465	6464
897.5	6339	6671	6502	6501
907.5	6368	6712	6540	6538
917.5	6403	6751	6576	6575
927.5	6433	6792	6614	6613
937.5	6471	6831	6650	6650
947.5	6507	6870	6688	6688
957.5	6541	6906	6728	6726
967.5	6579	6943	6764	6764
977.5	6616	6982	6803	6802
987.5	6654	7021	6841	6839
997.5	6695	7053	6877	6877
1007.5	6734	7089	6915	6915
1017.5	6770	7123	6953	6952
1027.5	6815	7155	6991	6990
1037.5	6856	7187	7028	7028
1047.5	6898	7221	7066	7065
1057.5	6944	7251	7102	7103
1067.5	6992	7282	7139	7142
1077.5	7036	7327	7184	7186
1087.5	7073	7393	7235	7232
1097.5	7113	7447	7282	7279
1107.5	7152	7497	7328	7326
1117.5	7192	7543	7373	7371
1127.5	7239	7587	7419	7417
1137.5	7284	7633	7463	7462
1147.5	7331	7679	7509	7508
1157.5	7380	7728	7557	7555
1167.5	7428	7768	7602	7600
1177.5	7478	7806	7647	7647
1187.5	7536	7849	7691	7692
1197.5	7594	7894	7735	7738
1207.5	7628	7935	7774	7778
1217.5	7662	7983	7815	7817
1227.5	7695	8026	7854	7856
1237.5	7733	8076	7893	7896
1247.5	7763	8121	7930	7934
1257.5	7803	8168	7968	7973
1267.5	7836	8214	8007	8012
1277.5	7874	8256	8046	8051
1287.5	7909	8305	8085	8091
1297.5	7944	8348	8123	8129
1307.5	7981	8396	8161	8168
1317.5	8019	8445	8201	8208
1327.5	8059	8494	8239	8247
1337.5	8100	8533	8277	8286
1347.5	8142	8586	8315	8326
1357.5	8183	8628	8352	8365
1367.5	8225	8677	8387	8405
1377.5	8267	8725	8422	8445
