"REC_no","CODE_APD","ORIG_TAXON","FULL_TAXON","SUGG_TAXON","POLL_TYPE","Original Taxon","sugg_taxon_1","sugg_taxon_2","sugg_taxon_3","sugg_taxon_4","sugg_taxon_5","sugg_taxon_6","sugg_taxon_7","sugg_taxon_8","sugg_taxon_9","sugg_taxon_10","sugg_taxon_11","sugg_taxon_12","sugg_taxon_13","sugg_taxon_14"
"1",1,"FC000","Bucholzia","Bucholzia",NA,NA,"Bucholzia","Buchholzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"FC000","Bridelia","Bridelia",NA,NA,"Bridelia","Bridelia ferruginea-type","Bridelia micrantha-type","Bridelia-type","Bridelia-type scleroneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"FC000","Parkia","Parkia",NA,NA,"Parkia","Acacia/Parkia","Parkia","Parkia bicolor-type","Parkia biglobosa-type","Parkia multijuga-type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,"FC000","Hymenocardia","Hymenocardia",NA,NA,"Hymenocardia","Hymenocardia","Hymenocardia acida-type","Hymenocardia ulmoides-type","Hymenocardia/Chaetacme aristata","Celtis/Hymenocardia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,"FC000","Securidaca","Securidaca",NA,NA,"Securidaca","Securidaca-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,"FC000","Fagonia","Fagonia",NA,NA,"Fagonia","Fagonia","Fagonia zilloides-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"FC000","Lotus","Lotus",NA,NA,"Lotus","Lotus","Lotus arabicus-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"FC000","Sesamum","Sesamum",NA,NA,"Sesamum","Sesamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,"FC000","Cyperaceae","Cyperaceae Undiff.",NA,NA,"Cyperaceae Undiff.","Cyperaceae undiff.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,"FC000","Typha","Typha",NA,NA,"Typha","Typha","Typha domingensis-type","Typha latifolia-type","Typha minima-type","Typha/Sparganium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,"FC000","Xyris","Xyris",NA,NA,"Xyris","Xyris","Xyris decipiens-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,"FC000","Illigera","Illigera",NA,NA,"Illigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,"FC000","Tiliacora","Tiliacora funerifera",NA,NA,"Tiliacora funerifera","Tiliacora-type","Tiliacora-type funifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,"FC000","Cardiospermum","Cardiospermum",NA,NA,"Cardiospermum","Cardiospermum","Cardiospermum halicacabum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,"FC000","Fernandoa","Fernandoa",NA,NA,"Fernandoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,"FC000","Canarium","Canarium schweinfurthii",NA,NA,"Canarium schweinfurthii","Canarium-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,"FC000","Mammea","Mammea",NA,NA,"Mammea","Mammea africana-type","Mammea/Pentadesma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,"FC000","Symphonia","Symphonia globulifera",NA,NA,"Symphonia globulifera","Symphonia globulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,"FC000","Allablackia","Allablackia",NA,NA,"Allablackia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,"FC000","Aneulophus","Aneulophus",NA,NA,"Aneulophus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,"FC000","Thecacorus","Antidesma/Thecacorus",NA,NA,"Antidesma/Thecacorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,"FC000","Croton","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia",NA,NA,"Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Croton/Jatropha","Croton/Neoboutonia","Crotoneae undiff.","Crotonogyne-type","Croton-type","Croton-type macrostachyus",NA,NA,NA,NA,NA,NA,NA,NA
"23",1,"FC000","Drypetes","Drypetes",NA,NA,"Drypetes","Drypetes-type","Drypetes-type afzelii","Drypetes-type caustica","Drypetes-type floribunda","Drypetes-type gilgiana","Drypetes-type gossweileri","Drypetes-type laciniata","Drypetes-type molunduana",NA,NA,NA,NA,NA,NA
"24",1,"FC000","Khaya","Khaya",NA,NA,"Khaya","Khaya-type","Khaya-type ivorensis","Khaya-type senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,"FC000","Olax","Olax",NA,NA,"Olax","Olax","Olax dissitiflora-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1,"FC000","Panda","Panda",NA,NA,"Panda","Panda oleosa","Pandaceae undiff.","Pandanus","Pandanus candelabrum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,"FC000","Eriocoelum","Eriocoelum",NA,NA,"Eriocoelum","Eriocoelum","Eriocoelum macrocarpum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1,"FC000","Nesogordinia","Nesogordinia",NA,NA,"Nesogordinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,"FC000","Triplochiton","Triplochiton scleroxylon",NA,NA,"Triplochiton scleroxylon","Triplochiton scleroxylon-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,"FC000","Borassus","Borassus/Hyphaene",NA,NA,"Borassus/Hyphaene","Borassus/Hyphaene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,"FC000","Elaeis","Elaeis guineensis",NA,NA,"Elaeis guineensis","Elaeis guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,"FC000","Palmae","Palmae Undiff.",NA,NA,"Palmae Undiff.","Palmae undiff.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
