"","Dacryode","Diospyro","Alchorne","Uapaca","Pentacle","Pycnanth","Syzygium","Sapotace","Graminea","Elaeis.g","Tubulifl","Acridoca","Celastra","Indeterm","Rhizopho","Pandanus","Lygodium","Landolph","Cyperace","Monocoty","Amaranth","Macarang","Anthocle","Moraceae","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Celosia.","Vernonie","Ipomaea.","Acalypha","Laurembe","Hymenoca","Legumino","Calpocal","Mimosa.t","Trilepis","Nymphaea","Sauvages","Vigna.ty","Canthium","Gaertner","Hallea.t","Pausinys","Stipular","Xyris","Crudia.t","Papilion","Urticace","Celtis","Combreta","Euphorbi","Impatien","Lorantha","Phoenix.","Rutaceae","Lecaniod","Canthium.1","Commelin","Tetracer","Guibourt","Chrysoba","Hibiscus","Ormocarp","Eriocaul","Chron1","Chron10"
"3",0,0,23,0,0,0,23,13,271,4,2,0,0,10,1,0,53,3,8,0,0,0,4,0,0,0,4,0,175,2,0,0,0,0,2,27,0,0,0,0,0,0,5,0,0,4,0,0,6,1,0,1,1,0,5,1,1,0,14,0,0,1,0,14,0,0,0,0,0,0,0
"4",0,0,18,0,0,0,9,7,156,6,0,0,0,2,0,2,29,0,4,0,0,1,1,0,0,0,0,0,97,2,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
"6",0,0,50,0,0,0,11,5,132,3,0,0,0,6,0,1,26,0,6,0,0,0,2,0,0,0,0,0,132,1,0,0,0,1,0,5,1,0,0,0,0,0,6,1,0,4,0,0,3,1,0,0,0,0,1,1,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0
"8",0,0,65,0,0,0,4,17,65,4,0,0,0,3,0,0,43,0,3,0,0,0,5,1,0,0,4,0,190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0
"10",0,0,10,0,0,0,6,17,53,3,0,0,0,3,0,0,105,1,2,0,0,0,3,0,0,0,6,0,287,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,9,0,0,0,0,0,0,0
"11",0,0,4,0,0,0,4,7,69,10,0,0,0,12,0,0,56,0,2,0,0,0,7,0,0,0,1,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,13,0,0,0,1,22,0,3,0,0,0,0,0
"14",0,2,14,0,0,0,4,5,51,12,0,0,0,0,0,0,36,1,4,0,0,0,4,0,0,0,7,0,144,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,1,0,0,3,1,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0
"16",0,0,12,0,0,0,5,7,123,19,0,0,1,12,0,0,26,0,8,1,0,1,3,0,0,0,2,0,171,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,6,1,0,0,23,1,0,1,0,12,0,6,0,0,0,1026.5,930.299987792969
"20",0,0,7,1,0,0,1,7,38,6,0,0,0,6,0,0,22,0,0,0,0,0,0,0,0,0,1,0,157,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,3,0,0,0,0,4,0,1,0,0,0,1372.5,1309.5
"22",2,0,19,1,0,0,78,7,66,2,0,0,2,7,0,1,8,0,8,0,0,0,0,0,1,0,7,0,53,4,0,0,0,0,0,6,0,0,0,0,1,1,3,0,0,5,0,1,4,1,0,1,1,1,32,1,0,0,78,0,1,0,1,44,3,7,0,0,0,1545.5,1499.09997558594
