"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Dacryodes-type"," "
"2","",0,"Diospyros"," "
"3","",0,"Alchornea"," "
"4","",0,"Uapaca"," "
"5","",0,"Pentaclethra macrophylla"," "
"6","",0,"Pycnanthus"," "
"7","",0,"Syzygium"," "
"8","",0,"Sapotaceae"," "
"9","",0,"Gramineae"," "
"10","",0,"Elaeis guineensis"," "
"11","",0,"Tubuliflorae"," "
"12","",0,"Acridocarpus"," "
"13","",0,"Celastraceae"," "
"14","",0,"Indetermines"," "
"15","",0,"Rhizophora"," "
"16","",0,"Pandanus"," "
"17","",0,"Lygodium"," "
"18","",0,"Landolphia-type"," "
"19","",0,"Cyperaceae"," "
"20","",0,"Monocotyledoneae"," "
"21","",0,"Amaranthaceae"," "
"22","",0,"Macaranga"," "
"23","",0,"Anthocleista"," "
"24","",0,"Moraceae"," "
"25","",0,"Campylospermum"," "
"26","",0,"Podocarpus"," "
"27","",0,"Rubiaceae"," "
"28","",0,"Allophylus"," "
"29","",0,"Monoletes"," "
"30","",0,"Triletes"," "
"31","",0,"Polypodiaceae"," "
"32","",0,"Celosia-type trigyna"," "
"33","",0,"Vernonieae"," "
"34","",0,"Ipomaea-type"," "
"35","",0,"Acalypha"," "
"36","",0,"Laurembergia tetrandra"," "
"37","",0,"Hymenocardia"," "
"38","",0,"Leguminosae"," "
"39","",0,"Calpocalyx-type letestui"," "
"40","",0,"Mimosa-type pigra"," "
"41","",0,"Trilepisium-type madagascariensis"," "
"42","",0,"Nymphaea lotus-type"," "
"43","",0,"Sauvagesia"," "
"44","",0,"Vigna-type luteola"," "
"45","",0,"Canthium gueinzii-type"," "
"46","",0,"Gaertnera paniculata-type"," "
"47","",0,"Hallea-type rubrostipulata"," "
"48","",0,"Pausinystalia-type macroceras"," "
"49","",0,"Stipularia africana"," "
"50","",0,"Xyris"," "
"51","",0,"Crudia-type gabonensis"," "
"52","",0,"Papilionoideae"," "
"53","",0,"Urticaceae"," "
"54","",0,"Celtis"," "
"55","",0,"Combretaceae"," "
"56","",0,"Euphorbiaceae"," "
"57","",0,"Impatiens"," "
"58","",0,"Loranthaceae"," "
"59","",0,"Phoenix reclinata"," "
"60","",0,"Rutaceae"," "
"61","",0,"Lecaniodiscus cupanioides"," "
"62","",0,"Canthium schimperianum"," "
"63","",0,"Commelina benghalensis"," "
"64","",0,"Tetracera"," "
"65","",0,"Guibourtia-type demeusii"," "
"66","",0,"Chrysobalanus-type"," "
"67","",0,"Hibiscus"," "
"68","",0,"Ormocarpum"," "
"69","",0,"Eriocaulon"," "
"70","Chron1",0,"Sample age"," "
"71","Chron10",0,"Sample age"," "
