"","Dacryode","Diospyro","Alchorne","Uapaca","Pycnanth","Syzygium","Commelin","Sapotace","Grewia.t","Graminea","Elaeis.g","Tubulifl","Bridelia","Celastra","Indeterm","Rhizopho","Phoenix.","Pandanus","Lygodium","Tetrorch","Landolph","Cyperace","Monocoty","Macarang","Anthocle","Moraceae","Podocarp","Rubiacea","Monolete","Triletes","Polypodi","Caesalpi","Celosia.","Artemisi","Vernonie","Ipomaea.","Acalypha","Cyathogy","Homalium","Laurembe","Hymenoca","Legumino","Hibiscus","Mimosa.t","Nymphaea","Calamus","Stylosan","Vigna.ty","Canthium","Gaertner","Hallea.t","Stipular","Trema.ty","Xyris","Pteris.t","Crudia.t","Papilion","Onagrace","Anacardi","Celtis","Euphorbi","Lorantha","Rutaceae","Pancovia","Lecaniod","Polygala","Spermaco","Tetracer","Baissea.","Sauvages","Guibourt","Chrysoba","Casuarin","Abutilon","Ormocarp","Eriocaul","Borassus","Chron1","Chron10"
"0",1,0,16,0,0,24,0,3,0,844,10,1,0,0,20,0,11,0,12,1,0,89,10,4,2,1,0,25,28,1,0,0,2,3,1,0,0,2,0,120,3,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,8,0,0,3,0,0,1,0,0,0
"1",0,0,15,0,0,26,0,3,0,779,7,1,0,0,7,1,15,0,3,0,0,50,5,5,1,2,0,23,18,0,1,0,1,0,0,0,0,3,0,45,5,3,1,0,0,0,2,1,1,3,0,4,1,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,50,0,0,0,0,0,2,0,63.5999984741211,61.5400009155273
"3",0,0,6,3,0,17,0,2,1,737,11,2,0,0,12,1,37,0,5,0,0,35,1,2,0,5,0,5,11,2,0,0,2,0,0,0,1,0,0,44,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,1,1,0,0,4,0,1,0,0,0,5,0,3,0,39,0,0,0,0,2,1,0,190.800003051758,184.619995117188
"6",0,2,7,0,0,20,1,1,0,900,8,5,0,0,8,1,12,0,3,1,0,8,5,0,0,0,0,5,17,0,1,0,2,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,85,0,0,0,0,1,0,0,381.600006103516,369.239990234375
"8",1,0,19,0,0,15,0,3,0,992,2,7,0,0,4,0,23,0,7,0,0,5,8,2,0,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,9,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,110,0,0,0,0,3,0,1,508.799987792969,492.320007324219
"14",0,0,266,0,1,75,0,16,0,555,10,1,0,0,26,0,12,0,154,0,1,11,3,0,15,2,0,12,381,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,26,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,29,0,11,0,0,0,0,2,0,0,890.400024414062,861.559997558594
"18",0,0,52,0,0,52,0,20,0,216,28,0,0,0,15,0,22,0,212,0,0,4,0,2,7,0,0,13,974,7,3,0,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,3,0,5,0,25,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,107,1,0,0,8,0,1,0,0,0,1144.80004882812,1107.71997070312
"23",1,0,7,0,0,117,0,8,0,84,6,1,0,0,22,0,12,0,4,0,0,2,1,0,4,0,2,11,65,4,0,0,0,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,1,6,0,5,0,0,0,3,6,1,0,0,0,0,1,0,0,0,0,41,0,0,0,18,0,0,3,1,0,1462.80004882812,1415.42004394531
"27",3,0,1,0,0,110,1,0,0,62,1,2,0,2,15,2,2,2,13,0,0,10,10,0,2,0,2,7,35,5,2,0,0,0,0,0,3,0,0,19,1,1,0,0,6,0,0,0,3,1,3,7,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,6,0,2,8,1,0,0,1,0,0,1688,1650.93334960938
"29",0,0,2,0,0,105,0,8,0,47,0,0,0,0,25,2,0,1,3,0,0,12,2,3,5,0,0,12,15,1,1,0,0,0,0,0,0,0,0,10,0,0,0,1,4,0,1,1,0,5,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,3,0,0,6,0,0,1786,1763.36669921875
"31",0,3,7,0,0,52,0,1,0,93,0,0,0,0,12,3,15,1,13,0,0,0,3,0,5,0,2,7,167,1,0,1,0,0,0,0,6,0,0,8,0,0,0,0,3,0,0,0,1,3,1,1,0,0,0,3,2,0,0,2,1,0,0,0,0,0,0,3,1,3,0,0,0,0,4,0,0,1884,1875.80004882812
"34",0,0,5,0,2,63,0,1,0,195,0,0,0,0,10,0,2,3,1,0,0,4,2,0,3,0,1,0,6,0,4,0,0,1,1,0,0,0,1,1,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,3,0,0,2,0,0,2031,2044.44995117188
"40",0,0,0,0,0,59,0,0,0,190,0,0,0,0,5,3,0,1,0,0,0,2,5,0,0,0,0,4,1,1,2,1,0,0,0,0,0,0,0,17,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,10,0,0,0,2,0,0,0,0,0,2325,2381.75
"48",0,0,2,0,0,56,0,0,0,222,0,0,0,1,11,0,0,2,0,0,0,8,5,0,1,0,0,2,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2717,2831.4833984375
