"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Dacryodes-type"," "
"2","",0,"Diospyros"," "
"3","",0,"Alchornea"," "
"4","",0,"Uapaca"," "
"5","",0,"Pycnanthus"," "
"6","",0,"Syzygium"," "
"7","",0,"Commelina-type benghalensis"," "
"8","",0,"Sapotaceae"," "
"9","",0,"Grewia-type"," "
"10","",0,"Gramineae"," "
"11","",0,"Elaeis guineensis"," "
"12","",0,"Tubuliflorae"," "
"13","",0,"Bridelia"," "
"14","",0,"Celastraceae"," "
"15","",0,"Indetermines"," "
"16","",0,"Rhizophora"," "
"17","",0,"Phoenix reclinata-type"," "
"18","",0,"Pandanus"," "
"19","",0,"Lygodium"," "
"20","",0,"Tetrorchidium"," "
"21","",0,"Landolphia-type"," "
"22","",0,"Cyperaceae"," "
"23","",0,"Monocotyledoneae"," "
"24","",0,"Macaranga"," "
"25","",0,"Anthocleista"," "
"26","",0,"Moraceae"," "
"27","",0,"Podocarpus"," "
"28","",0,"Rubiaceae"," "
"29","",0,"Monoletes"," "
"30","",0,"Triletes"," "
"31","",0,"Polypodiaceae"," "
"32","",0,"Caesalpinioideae"," "
"33","",0,"Celosia-type trigyna"," "
"34","",0,"Artemisia"," "
"35","",0,"Vernonieae"," "
"36","",0,"Ipomaea-type"," "
"37","",0,"Acalypha"," "
"38","",0,"Cyathogyne"," "
"39","",0,"Homalium"," "
"40","",0,"Laurembergia tetrandra"," "
"41","",0,"Hymenocardia"," "
"42","",0,"Leguminosae"," "
"43","",0,"Hibiscus-type micranthus"," "
"44","",0,"Mimosa-type pigra"," "
"45","",0,"Nymphaea lotus-type"," "
"46","",0,"Calamus"," "
"47","",0,"Stylosanthes erecta-type"," "
"48","",0,"Vigna-type luteola"," "
"49","",0,"Canthium schimperianum-type"," "
"50","",0,"Gaertnera paniculata-type"," "
"51","",0,"Hallea-type rubrostipulata"," "
"52","",0,"Stipularia africana"," "
"53","",0,"Trema-type orientalis"," "
"54","",0,"Xyris"," "
"55","",0,"Pteris-type"," "
"56","",0,"Crudia-type gabonensis"," "
"57","",0,"Papilionoideae"," "
"58","",0,"Onagraceae"," "
"59","",0,"Anacardiaceae"," "
"60","",0,"Celtis"," "
"61","",0,"Euphorbiaceae"," "
"62","",0,"Loranthaceae"," "
"63","",0,"Rutaceae"," "
"64","",0,"Pancovia"," "
"65","",0,"Lecaniodiscus cupanioides"," "
"66","",0,"Polygala"," "
"67","",0,"Spermacoce"," "
"68","",0,"Tetracera"," "
"69","",0,"Baissea-type"," "
"70","",0,"Sauvagesia erecta"," "
"71","",0,"Guibourtia-type demeusii"," "
"72","",0,"Chrysobalanus-type"," "
"73","",0,"Casuarina"," "
"74","",0,"Abutilon"," "
"75","",0,"Ormocarpum"," "
"76","",0,"Eriocaulon"," "
"77","",0,"Borassus-type aethiopium"," "
"78","Chron1",0,"Sample age"," "
"79","Chron10",0,"Sample age"," "
