"","Rhizopho","Cassipou","Avicenni","Acrostic","Apocynac","Alstonia","Strophan","Funtumia","Hollarhe","Landolph","Tabernae","Alafia.t","Rauvolfi","Euphorbi","Alchorne","Uapaca","Spondian","Antidesm","Jatropha","Bridelia","Sapium","Ricinus.","Hura.cre","Celtis","Chaetacm","Strychno","Anthocle","Ceiba.pe","Bombax","Sapotace","Bequaert","Mimusops","Chrysoph","Trichili","Entandop","Carapa.p","Khaya.ty","Combreta","Terminal","Laguncul","Arecacea","Laccospe","Cocos.nu","Calamus.","Raphia","Elaeis.g","Symphoni","Pentades","Cissus","Leea.gui","Pentachl","Piptaden","Entada.t","Albizia","Acacia","Fabaceae","Milletia","Pterocar","Baphia.t","Drepanoc","Aechynom","Lonchoca","Angiloca","Caesalpi","Cassia","Berlinia","Crudia","Anthonot","Mezoneur","Afzelia.","Triploch","Cola.typ","Sterculi","Mansonia","Nesogord","Pentas","Macrosph","Psychotr","Sherbour","Gaertner","Canthium","Nauclea.","Morelia.","Virecta","Cuviera","Gardenia","Sabicea","Oxyanthu","Oldenlad","Spathode","Newbould","Grewia.t","Triumfet","Glyphaea","Clappert","Lannea.t","Spondias","Anthroca","Diospyro","Monodora","Bosqueia","Antiaris","Adenia.l","Verbenac","Cleroden","Irvingia","Allophyl","Lecaniod","Cardiosp","Deinboll","Blighia","Pancovia","Paullini","Flabella","Parinari","Pycnanth","Zanthoxy","Clausena","Commipho","Canarium","Napoleon","Podocarp","Syzygium","Olax","Dracaena","Erythrox","Tapinant","Dissotis","Adenodol","Desmodiu","Dolichos","Tephrosi","Crotalar","Borreria","Chassali","Stachyta","Cnestis.","Tetracer","Hygrophi","Justicia","Scoparia","Hyptis.t","Jasminum","Talinum.","Polygala","Ipomoea.","Sesamum","Gynandro","Croton","Hippocra","Commelin","Malvacea","Momordic","Luffa.ty","Cucurbit","Citrullu","Asclepia","Caryophy","Cordia","Amaranth","Poaceae","Cyperace","Asterace","Polygonu","Ludwigia","Jussiaea","Drosera","Typha","Nymphea","Araceae","Crinum.t","Cyrtospe","Anchoman","Dinoflag","Spores.m","Lonchiti","Spores.t","Pityrogr","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,100,21,0,1,0,0,0,3,172,0,1,0,0,0,137,0,0,0,0,0,274.665313720703,-85.5734710693359,-159.332656860352
"20",0,0,0,0,0,0,0,2,0,0,0,0,0,0,118,1,0,0,0,0,0,1,0,3,0,0,24,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,35,0,0,0,5,13,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,3,0,1,0,4,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,8,1,15,0,0,5,13,0,0,0,0,1,0,1,0,0,0,0,0,1,19,0,0,0,0,0,294,13,10,2,1,0,0,30,89,0,0,0,0,0,937,0,48,0,1,2,422.338775634766,93.7938766479492,21.8306121826172
"30",1,0,0,0,0,0,0,4,3,0,0,0,0,0,121,5,0,1,0,1,0,0,0,2,0,2,24,1,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,96,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,7,0,0,0,3,1,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,1,5,2,0,0,0,0,0,47,0,0,0,1,0,0,0,0,0,0,0,23,0,30,0,0,6,0,0,0,1,0,0,0,19,0,0,0,1,0,0,10,0,1,0,0,3,261,13,15,0,0,0,1,13,101,1,0,0,0,0,1628,0,250,0,1,1,570.012268066406,273.161224365234,202.993881225586
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35,24,0,0,0,0,0,2,84,0,0,0,0,0,62,0,1,0,0,0,717.685729980469,452.528564453125,384.157135009766
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,57,56,0,1,0,0,0,1,125,0,0,0,0,0,150,0,2,0,1,0,791.5224609375,542.212219238281,474.73876953125
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,27,17,0,1,0,0,0,1,51,0,0,0,0,0,32,0,1,0,2,0,1013.03265380859,811.263244628906,746.483703613281
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,143,27,0,0,4,0,1,3,201,0,0,0,0,0,235,0,6,0,3,0,1160.70617675781,990.630615234375,927.646911621094
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,13,0,0,0,0,0,62,0,1,0,1,0,1234.54284667969,1080.31433105469,1018.22857666016
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,0,13,0,0,0,0,0,134,0,4,0,0,0,1633.26123046875,1564.60607910156,1507.36938476562
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,3,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,1,0,0,0,1,0,0,0,0,0,438,0,0,0,0,0,1780.93469238281,1743.97351074219,1688.53259277344
"120",14,0,0,2,0,0,0,2,0,0,0,0,0,0,74,101,0,1,0,0,0,0,0,20,0,0,2,4,0,4,0,0,0,2,0,0,2,0,18,0,0,0,0,0,0,28,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,11,1,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,2,0,0,0,0,0,2,9,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,79,0,73,0,0,0,0,0,1,1,0,0,0,19,0,4,0,0,0,0,0,0,4,0,0,0,109,13,1,3,69,0,0,1,6,0,0,0,0,0,8105,0,13,0,6,0,1899.07348632812,1887.46740722656,1833.46325683594
"125",24,0,0,4,0,0,0,2,3,0,0,0,0,0,202,132,0,7,0,0,0,0,0,8,1,0,3,4,0,7,0,0,0,10,0,0,3,9,0,0,0,0,0,0,0,22,15,3,3,0,0,3,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,1,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,4,1,0,3,0,4,0,0,0,0,0,0,0,1,0,3,5,4,0,0,0,0,0,40,3,0,0,5,0,0,0,0,1,0,0,60,0,71,0,0,1,16,0,0,1,3,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,114,11,5,1,30,0,0,1,5,0,0,0,0,0,6502,0,8,0,14,0,1972.91015625,1977.15100097656,1924.044921875
"130",19,0,0,7,0,7,0,0,0,2,0,0,0,0,1207,1044,0,2,0,0,0,0,0,12,0,4,11,8,0,5,1,0,0,14,4,3,12,1,7,0,0,0,0,0,0,85,29,5,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,17,12,0,0,1,29,0,0,3,0,6,2,0,0,0,2,0,0,1,0,0,0,5,0,4,3,6,0,3,0,1,1,3,2,4,14,1,0,0,0,1,0,85,0,0,0,0,0,0,0,0,0,0,1,81,0,160,0,0,0,0,0,4,3,0,0,0,33,0,14,0,0,0,1,0,0,0,0,0,0,63,2,8,4,15,0,0,1,8,0,0,0,0,0,2893,0,32,0,23,0,2046.74694824219,2066.83471679688,2014.62658691406
"145",29,0,0,7,0,3,0,8,0,0,0,0,0,0,1271,920,0,0,0,0,0,0,0,20,0,3,9,8,0,11,0,0,0,2,11,6,11,3,0,5,35,0,0,0,0,60,26,5,0,2,0,0,0,1,1,85,13,0,0,0,0,0,0,0,3,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,19,2,6,0,2,12,0,0,0,0,9,0,0,1,1,0,0,0,0,5,2,0,10,0,3,0,1,0,8,0,0,1,4,2,6,21,1,0,0,0,1,0,78,0,0,1,0,0,0,0,2,0,1,1,39,1,263,4,0,1,0,0,2,0,0,0,0,0,0,21,0,0,1,5,0,0,0,0,0,0,77,4,13,5,34,0,0,0,5,0,0,0,0,0,4846,0,44,0,22,0,2268.25708007812,2335.8857421875,2286.37133789062
