"","Abutilon","Acacia.P","Acalypha","Acanthac","Acridoca","Adenia","Afrormos","Afzelia","Aizoacea","Alchorne","Allanbla","Allophyl","Amaranth","Anthonot","Antidesm","Antrocar","Arecacea","Artemisi","Asphodel","Avicenni","Balanite","Baphia.t","Barleria","Basilicu","Blephari","Blighia.","Bombax","Borassus","Borreria","Boscia.t","Bosqueia","Boswelli","Brachypt","Brachyst","Brassica","Bridelia","Burkea","Butyrosp","Cadaba","Caesalpi","Calamus","Calligon","Caloncob","Calvoa","Calycobo","Canthium","Capparis","Caryophy","Cassia.t","Ceiba.pe","Celastra","Celtis","Centaure","Chrozoph","Clausena","Cleome","Cnestis.","Coccinia","Coffea.t","Cola.nit","Combreta","Commicar","Composit","Composit.1","Composit.2","Conocarp","Corchoru","Crateva","Crossopt","Croton.t","Crudia.t","Cussonia","Cuviera","Cyperace","Danielli","Desplats","Detarium","Dialium.","Dictyand","Diospyro","Dodonaea","Dorsteni","Dracaena","Drosera","Elaeis.g","Entada.t","Ephedra","Ericacea","Erytroxy","Euphorbi","Euphorbi.1","Flabella","Flacourt","Funtumia","Gaertner","Galium","Gentiana","Gomphren","Graminea","Grewia","Gynandro","Harpulia","Hedera","Heeria","Heliotro","Heritier","Hygrophi","Hymenoca","Hyperica","Hyphaene","Hypoeste","Icacina","Ilex.cf.","Indigofe","Iodes","Irvingia","Isoberli","Ixora","Jatropha","Justicia","Kedrosti","Khaya","Klainean","Kohautia","Lannea","Leea","Leonotis","Lepidaga","Leptaulu","Leucas","Liliacea","Linocier","Lophira","Lythrace","Macarang","Maerua.t","Maesa","Mallotus","Mammea.P","Manilkar","Melochia","Mesanthe","Milletia","Mimosa.X","Mimusops","Mitracar","Moltkia","Morus.ty","Mussaend","Myrica","Myriophy","Nauclea.","Newbould","Nitraria","Nuphar.l","Ochna","Ochnacea","Ocimum","Olea","Olea.cap","Oleaceae","Osyris","Papilion","Parinari","Paullini","Pavetta","Peganum","Pentacle","Pentas","Petersia","Phyllant","Piliosti","Plantago","Plumbagi","Podocarp","Podocarp.1","Polycarp","Polyceph","Polygala","Polygonu","Polygonu.1","Protea","Pseudopr","Psorospe","Psychotr","Pterocar","Pterolob","Pycnanth","Ranuncul","Rhamnace","Rhizopho","Rhus","Rhynchos","Ricinus.","Rothmann","Rubiacea","Rubiacea.1","Rytigyni","Sabicea","Salix.cf","Salvador","Sapotace","Sauvages","Schreber","Scleroca","Securine","Sesbania","Sherbour","Sindora","Solanum","Spathode","Spondian","Spondias","Sterculi","Stereosp","Syzygium","Tamarind","Tapinant","Tarenna","Teclea.t","Tephrosi","Tetrorch","Thymelae","Tribulus","Trichili","Typha.an","Typha.la","Uapaca","Umbellif","Virectar","Vitaceae","Welwitsc","Ximenia.","Zanthoxy","Zygophyl","Indeterm","Sporomor","Pteris","Monolete","Monolete.1","Monolete.2","Monolete.3","Trilete.","Trilete..1","Trilete..2","Cyathea","Lycopodi","Lygodium","Nephrole","Osmunda","Cheilant","Pteridiu","Pityrogr","Selagine","Chron1"
"5",0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,7,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,3,0,30,2,3,6,0,7,0,3,1,1,0,0,3,0,2,6210
"15",0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,35,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,44,0,0,0,0,0,0,0,0,0,4,0,1,0,2,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,3,5,16,2,2,15,0,0,2,2,0,3,1,0,0,0,0,8070
"35",0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,258,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,4,10,12,4,2,5,0,2,0,1,0,11,0,0,0,0,0,11790
"45",0,0,0,0,0,0,0,0,0,53,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,1,1,5,0,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2,361,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,0,18,0,0,0,0,0,0,0,2,0,12,5,27,8,5,14,0,1,1,0,0,6,0,0,0,0,0,13650
"55",0,2,0,0,0,2,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,5,1,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,0,0,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,122,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0,0,2,0,13,24,67,10,8,17,0,3,1,2,0,18,4,0,0,0,0,15510
"65",0,1,2,0,0,0,0,0,0,29,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,13,0,0,0,0,1,0,0,0,2,1,1,8,0,0,5,0,0,0,0,0,1,0,0,15,0,0,7,2,0,1,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,123,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,77,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,3,0,5,0,0,0,0,0,0,0,5,2,8,18,82,4,18,53,1,5,0,6,0,12,6,0,3,0,4,17370
"75",0,0,0,0,0,0,0,0,0,12,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,1,1,0,0,0,82,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,1,0,2,0,17,31,124,28,10,91,0,7,3,2,1,21,13,0,0,0,7,18922.22265625
"85",0,0,0,0,0,1,0,0,0,17,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,7,0,0,2,0,0,0,0,1,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,1,0,0,6,0,0,0,0,0,0,0,2,0,6,50,124,13,15,66,5,5,0,4,0,23,9,0,0,0,4,20166.666015625
"95",0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,2,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,1,0,1,1,10,44,108,23,21,60,1,7,1,10,0,16,8,0,1,0,5,21411.111328125
"105",0,0,0,0,0,0,0,0,0,23,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,2,6,0,2,2,0,0,0,0,1,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,1,0,0,0,0,0,2,0,1,26,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,4,18,66,4,9,31,1,4,0,1,0,6,1,0,2,0,2,22655.5546875
