"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Abutilon"," "
"2","",0,"Acacia/Parkia"," "
"3","",0,"Acalypha"," "
"4","",0,"Acanthaceae"," "
"5","",0,"Acridocarpus"," "
"6","",0,"Adenia"," "
"7","",0,"Afrormosia"," "
"8","",0,"Afzelia"," "
"9","",0,"Aizoaceae"," "
"10","",0,"Alchornea"," "
"11","",0,"Allanblackia"," "
"12","",0,"Allophylus"," "
"13","",0,"Amaranthaceae/Chenopodiaceae"," "
"14","",0,"Anthonota"," "
"15","",0,"Antidesma-type"," "
"16","",0,"Antrocaryon"," "
"17","",0,"Arecaceae"," "
"18","",0,"Artemisia"," "
"19","",0,"Asphodelus"," "
"20","",0,"Avicennia"," "
"21","",0,"Balanites"," "
"22","",0,"Baphia-type"," "
"23","",0,"Barleria"," "
"24","",0,"Basilicum"," "
"25","",0,"Blepharis"," "
"26","",0,"Blighia-type"," "
"27","",0,"Bombax"," "
"28","",0,"Borassus-type"," "
"29","",0,"Borreria"," "
"30","",0,"Boscia-type"," "
"31","",0,"Bosqueia"," "
"32","",0,"Boswellia"," "
"33","",0,"Brachypterys"," "
"34","",0,"Brachystegia"," "
"35","",0,"Brassicaceae"," "
"36","",0,"Bridelia"," "
"37","",0,"Burkea"," "
"38","",0,"Butyrospermum"," "
"39","",0,"Cadaba"," "
"40","",0,"Caesalpinioideae"," "
"41","",0,"Calamus"," "
"42","",0,"Calligonum"," "
"43","",0,"Caloncoba"," "
"44","",0,"Calvoa"," "
"45","",0,"Calycobolus-type"," "
"46","",0,"Canthium"," "
"47","",0,"Capparis"," "
"48","",0,"Caryophyllaceae"," "
"49","",0,"Cassia-type"," "
"50","",0,"Ceiba pentandra"," "
"51","",0,"Celastraceae/Hippocrateaceae"," "
"52","",0,"Celtis"," "
"53","",0,"Centaurea"," "
"54","",0,"Chrozophora"," "
"55","",0,"Clausena"," "
"56","",0,"Cleome"," "
"57","",0,"Cnestis-type"," "
"58","",0,"Coccinia"," "
"59","",0,"Coffea-type"," "
"60","",0,"Cola nitida-type"," "
"61","",0,"Combretaceae/Melastomataceae"," "
"62","",0,"Commicarpus"," "
"63","",0,"Compositae Liguliflorae"," "
"64","",0,"Compositae Tubuliflorae"," "
"65","",0,"Compositae Vernonieae"," "
"66","",0,"Conocarpus"," "
"67","",0,"Corchorus"," "
"68","",0,"Crateva"," "
"69","",0,"Crossopteryx"," "
"70","",0,"Croton-type"," "
"71","",0,"Crudia-type"," "
"72","",0,"Cussonia cf. C.barteri"," "
"73","",0,"Cuviera"," "
"74","",0,"Cyperaceae"," "
"75","",0,"Daniellia-type"," "
"76","",0,"Desplatsia"," "
"77","",0,"Detarium"," "
"78","",0,"Dialium-type"," "
"79","",0,"Dictyandra"," "
"80","",0,"Diospyros"," "
