,1,5,10,15
Alchornea,1,1,6,9
Caesalpinioideae,0,0,1,0
Cassia-type,0,0,3,2
Celtis (Africa),0,0,4,4
Combretaceae/Melastomataceae,0,0,2,3
Cyperaceae (Africa),6,5,9,10
Euphorbia (Africa),0,0,1,1
Nauclea/Mitragyna,1,0,0,0
Poaceae,0,0,35,23
Podocarpus,0,0,6,0
Rhizophora,0,1,0,2
Sapotaceae/Meliaceae,0,0,0,1
Tetrorchidium,1,0,1,3
Uapaca,0,0,0,1
Indeterminata/Varia,3,1,6,15
Monolete verrucate spores,24,9,42,17
Monolete psilate spores,1,8,20,14
Trilete verrucate spores,6,11,26,17
Trilete psilate spores,4,5,6,5
Fern spores,35,33,94,53
Chron1,330,1650,3300,4950
