,Trilete.,Trilete..1,Trilete..2,Trilete..3,Pteris,Monolete,Monolete.1,Monolete.2,Monolete.3,Monolete.4,Monolete.5,Lycopodi,Dryopter,Zygophyl,Zanthoxy,Ximenia.,Vigna,Uapaca,Typha.an,Trichili,Tribulus,Tiliacea,Thymelae,Tetrorch,Telephiu,Teclea.t,Tarenna,Tapinant,Tamarind,Strychno,Sterculi,Sterculi.1,Spondias,Spondian,Solanum,Sherbour,Sesbania,Securine,Scrophul,Schreber,Sauvages,Sarcospe,Sapotace,Salix.cf,Sabicea,Rubiaceae,Rubiaceae,Rubiaceae,Rothmann,Rosaceae,Ricinus.,Rhynchos,Rhus,Rhizopho,Rhamnace,Sporomor,Raphia,Ranuncul,Pycnanth,Pterocar,Psychotr,Pseudopr,Protea,Ponterid,Polygonu,Polygala,Polycarp,Podocarp,Podocarp.1,Poaceae,Plantago,Piliosti,Phyllant,Petersia,Pentacle,Peganum,Pavetta,Paullini,Parinari,Otomeria,Opilia,Olea.cap,Olea,Ochna,Nuphar.l,Nauclea.,Myriophy,Myrica,Mussaend,Moltkia,Mitracar,Mimosa.X,Milletia,Menyanth,Melochia,Martreti,Manilkar,Mammea.P,Malvacea,Mallotus,Maesa,Maerua.t,Lotus.ty,Lophira,Lonchoca,Liliacea,Leonotis,Leea,Lawsonia,Lannea,Kohautia,Klainean,Khaya,Kedrosti,Justicia,Ixora,Irvingia,Indigofe,Indeterm,Ilex.cf.,Icacina,Hypoeste,Hyphaene,Hyperica,Hymenoca,Hygrophi,Heritier,Heliotro,Harpulia,Gypsophi,Gomphren,Gentiana,Galium,Gaertner,Flacourt,Papilion,Euphorbi,Euphorbi.1,Eugenia.,Erytroxy,Ericacea,Ephedra,Entada.t,Elaeis.g,Dracaena,Dorsteni,Dolichos,Dodonaea,Diospyro,Dialium.,Detarium,Desplats,Delonix,Danielli,Cyperace,Cuviera,Cussonia,Cucurbit,Crudia.t,Croton.t,Crossopt,Crateris,Corchoru,Combreta,Cola.nit,Coffea.t,Coccinia,Cnestis.,Cleome,Clausena,Citrullu,Chrozoph,Amaranth,Centaure,Celtis,Celastra,Cassia.t,Caryophy,Cardiosp,Capparis,Canthium,Calycobo,Calligon,Calamus,Caesalpi,Cadaba,Butyrosp,Burkea,Bridelia,Brassica,Bosqueia,Boscia.t,Borreria,Borassus,Boragina,Blighia.,Bignonia,Isoberli,Barleria,Baphia.t,Balanite,Composit,Composit.1,Artemisi,Arecacea,Araliace,Umbellif,Antidesm,Anacardi,Allophyl,Allanbla,Alchorne,Aizoacea,Agavacea,Afzelia,Afrormos,Adenia,Acanthac,Acalypha,Acacia.P,Chron1
89.5,0,0,25,2,5,18,3,0,0,0,138,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,56,59,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,17,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
101.54,0,0,11,0,2,10,0,0,0,0,42,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,29,16,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
115.96,1,0,20,0,2,8,1,0,0,0,38,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.4,6,5,57,0,4,27,2,0,13,0,109,6,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,96,74,41,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,35,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
144.81,2,3,46,1,4,16,3,0,17,0,127,6,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,32,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
159.23,1,0,37,4,3,19,6,0,8,0,70,4,6,0,0,1,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173.65,1,1,47,2,9,19,3,0,9,1,122,6,3,0,1,0,0,2,1,1,0,0,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,35,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
188.08,3,3,206,4,4,16,4,0,22,2,149,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,81,120,25,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,128365.2031
202.5,4,4,230,4,4,24,3,0,14,0,137,5,3,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,83,129,15,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,135350
216.92,2,5,144,1,3,21,9,0,5,1,115,3,9,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,36,45,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,136792
