,CodeNames,CodeNums,FullNames,Sums
1,,0,Trilete verrucate spores, 
2,,0,Trilete spores, 
3,,0,Trilete psilate spores, 
4,,0,Trilete echinate spores, 
5,,0,Pteris, 
6,,0,Monolete verrucate spores, 
7,,0,Monolete spores with perianth, 
8,,0,Monolete spores, 
9,,0,Monolete scabrate spores, 
10,,0,Monolete reticulate spores, 
11,,0,Monolete psilate spores, 
12,,0,Lycopodium, 
13,,0,Dryopteridaceae, 
14,,0,Zygophyllum, 
15,,0,Zanthoxylum, 
16,,0,Ximenia-type, 
17,,0,Vigna, 
18,,0,Uapaca, 
19,,0,Typha angustifolia-type, 
20,,0,Trichilia, 
21,,0,Tribulus, 
22,,0,Tiliaceae, 
23,,0,Thymelaeaceae, 
24,,0,Tetrorchidium, 
25,,0,Telephium, 
26,,0,Teclea-type, 
27,,0,Tarenna, 
28,,0,Tapinanthus, 
29,,0,Tamarindus/Cryptosepalum, 
30,,0,Strychnos, 
31,,0,Sterculiaceae, 
32,,0,Sterculia-type, 
33,,0,Spondias, 
34,,0,Spondianthus, 
35,,0,Solanum, 
36,,0,Sherbournea, 
37,,0,Sesbania-type, 
38,,0,Securinega, 
39,,0,Scrophulariaceae, 
40,,0,Schrebera, 
41,,0,Sauvagesia, 
42,,0,Sarcosperma, 
43,,0,Sapotaceae/Meliaceae, 
44,,0,Salix cf. Salix chevalieri, 
45,,0,Sabicea, 
46,,0,Rubiaceae undiff., 
47,,0,Rubiaceae undiff., 
48,,0,Rubiaceae undiff., 
49,,0,Rothmannia, 
50,,0,Rosaceae, 
51,,0,Ricinus communis, 
52,,0,Rhynchosia-type, 
53,,0,Rhus, 
54,,0,Rhizophora, 
55,,0,Rhamnaceae, 
56,,0,Sporomorphes reworked, 
57,,0,Raphia, 
58,,0,Ranunculaceae, 
59,,0,Pycnanthus, 
60,,0,Pterocarpus, 
61,,0,Psychotria, 
62,,0,Pseudoprosopis, 
63,,0,Protea, 
64,,0,Ponteridaceae, 
65,,0,Polygonum aviculare-type, 
66,,0,Polygala, 
67,,0,Polycarpon, 
68,,0,Podocarpus big, 
69,,0,Podocarpus small, 
70,,0,Poaceae, 
71,,0,Plantago, 
72,,0,Piliostigma, 
73,,0,Phyllanthus, 
74,,0,Petersianthus macrocarpus, 
75,,0,Pentaclethra, 
76,,0,Peganum, 
77,,0,Pavetta, 
78,,0,Paullinia, 
79,,0,Parinari, 
80,,0,Otomeria, 
81,,0,Opilia, 
82,,0,Olea capensis, 
83,,0,Olea, 
84,,0,Ochna, 
85,,0,Nuphar lutea, 
86,,0,Nauclea/Mitragyna, 
87,,0,Myriophyllum, 
88,,0,Myrica, 
89,,0,Mussaenda, 
90,,0,Moltkia, 
91,,0,Mitracarpus, 
92,,0,Mimosa/Xylia, 
93,,0,Milletia, 
94,,0,Menyanthes, 
95,,0,Melochia, 
96,,0,Martretia, 
97,,0,Manilkara, 
98,,0,Mammea/Pentadesma, 
99,,0,Malvaceae, 
100,,0,Mallotus, 
101,,0,Maesa, 
102,,0,Maerua-type, 
103,,0,Lotus-type, 
104,,0,Lophira, 
105,,0,Lonchocarpus, 
106,,0,Liliaceae, 
107,,0,Leonotis, 
108,,0,Leea, 
109,,0,Lawsonia, 
110,,0,Lannea, 
111,,0,Kohautia, 
112,,0,Klaineanthus, 
113,,0,Khaya, 
114,,0,Kedrostis, 
115,,0,Justicia/Monechma, 
116,,0,Ixora, 
117,,0,Irvingia, 
118,,0,Indigofera-type, 
119,,0,Indeterminata/Varia, 
120,,0,Ilex cf. I. mitis, 
121,,0,Icacina, 
122,,0,Hypoestes-type, 
123,,0,Hyphaene, 
124,,0,Hypericaceae, 
125,,0,Hymenocardia, 
126,,0,Hygrophila-type, 
127,,0,Heritiera-type, 
128,,0,Heliotropium, 
129,,0,Harpulia-type, 
130,,0,Gypsophila, 
131,,0,Gomphrena-type, 
132,,0,Gentianaceae, 
133,,0,Galium, 
134,,0,Gaertnera, 
135,,0,Flacourtia, 
136,,0,Papilionoideae, 
137,,0,Euphorbiaceae, 
138,,0,Euphorbia, 
139,,0,Eugenia/Syzygium, 
140,,0,Erytroxylum, 
141,,0,Ericaceae, 
142,,0,Ephedra, 
143,,0,Entada-type, 
144,,0,Elaeis guineensis, 
145,,0,Dracaena, 
146,,0,Dorstenia subtrangularis-type, 
147,,0,Dolichos, 
148,,0,Dodonaea viscosa, 
149,,0,Diospyros, 
150,,0,Dialium-type, 
151,,0,Detarium, 
152,,0,Desplatsia, 
153,,0,Delonix, 
154,,0,Daniellia-type, 
155,,0,Cyperaceae, 
