"","Dacryode","Diospyro","Alchorne","Uapaca","Pentacle","Pentacle.1","Pycnanth","Ligulifl","Sapotace","Graminea","Elaeis.g","Cardiosp","Tubulifl","Acridoca","Bridelia","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Landolph","Cyperace","Amaranth","Macarang","Anthocle","Moraceae","Ficus","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Caesalpi","Euphorbi","Plagiost","Laurembe","Hymenoca","Legumino","Utricula","Flabella","Abutilon","Hibiscus","Calpocal","Myrianth","Treculia","Trilepis","Syzygium","Nymphaea","Olea.cap","Potamoge","Canthium","Canthium.1","Hallea.t","Pausinys","Psychotr","Stipular","Eriocoel","Lecaniod","Grewia.t","Xyris","Dracaena","Limnophy","Crudia.t","Cleistan","Papilion","Celtis","Combreta","Euphorbi.1","Lannea.t","Lorantha","Tacazzea","Baikiaea","Polygala","Tetracer","Chrysoba","Ceiba.pe","Cercesti","Guibourt","Gaertner","Alstonia","Legumino.1","Chron1","Chron10","Chron20"
"94",2,0,14,0,0,0,0,0,59,87,0,0,0,0,1,0,19,33,0,3,0,29,0,4,1,5,0,0,1,0,4,21,6,1,0,0,0,9,4,0,0,2,0,0,1,1,0,1,41,0,0,0,2,0,0,0,0,14,0,0,0,28,0,0,1,0,5,19,26,1,0,1,0,0,0,3,0,0,0,1,4,0,3,529.799987792969,494.959991455078,435.010009765625
"104.5",0,1,18,0,0,0,0,0,68,84,2,1,1,0,0,1,0,24,0,1,0,27,0,10,0,1,0,0,0,7,0,17,13,3,0,0,0,5,3,3,0,0,1,0,1,0,0,0,34,2,0,0,2,2,1,1,0,14,1,3,0,7,0,0,0,8,4,17,14,0,0,3,0,1,0,1,1,1,0,2,0,0,3,636.900024414062,589.880004882812,550.405029296875
"107.5",0,0,14,1,0,0,0,0,72,55,2,0,0,0,2,0,24,19,0,1,0,26,0,12,0,0,0,0,0,1,1,13,2,2,0,1,0,9,3,2,0,0,0,1,1,0,0,0,27,0,0,0,4,1,0,0,0,17,0,0,0,7,1,0,1,4,5,11,32,1,0,1,2,1,1,1,1,0,0,4,0,0,7,667.5,617,583.375
"110",0,0,13,0,0,0,0,1,48,59,0,0,0,0,2,0,20,19,0,0,0,29,0,8,0,2,0,0,0,2,1,12,3,4,0,0,0,10,3,0,0,0,0,0,2,0,0,0,31,0,0,0,2,1,0,1,0,14,0,2,0,4,0,0,0,0,2,13,21,0,0,0,3,1,0,0,0,0,0,2,0,0,7,693,639.599975585938,610.849975585938
"114",0,0,10,0,0,0,0,1,57,100,0,0,0,0,0,0,16,25,1,1,0,36,0,9,0,0,1,1,0,3,1,27,9,2,0,0,0,16,1,4,0,0,0,0,1,0,0,0,40,0,0,0,5,2,0,0,4,17,1,1,0,10,1,0,0,4,6,17,24,0,0,1,5,0,1,1,0,0,4,1,0,0,11,733.799987792969,675.760009765625,654.809997558594
"117",2,0,14,0,1,0,0,0,65,65,0,0,1,2,0,0,21,16,0,0,0,19,0,8,1,0,0,0,2,4,2,22,3,1,0,1,0,10,0,0,0,0,0,0,2,0,1,0,56,1,0,0,3,2,0,0,1,10,0,0,0,4,1,0,0,8,0,12,33,0,0,3,1,1,1,0,0,0,0,4,0,0,7,764.400024414062,702.880004882812,687.780029296875
"120",0,2,15,1,0,0,1,0,78,103,1,0,1,0,0,1,19,19,0,0,0,35,0,3,1,1,0,2,0,4,0,24,10,6,0,0,0,16,3,8,0,0,0,0,4,0,0,0,37,0,0,1,1,4,0,0,0,23,0,2,0,3,1,0,2,0,2,16,33,6,0,0,3,3,2,2,0,1,0,5,0,0,3,795,730,720.75
"123",3,0,7,1,0,0,0,1,81,77,2,0,0,0,1,0,14,17,0,1,0,18,0,7,0,0,0,0,0,0,1,13,7,3,0,0,1,4,0,0,0,0,0,0,1,0,3,0,30,0,0,0,5,2,0,0,3,12,0,0,0,5,1,0,1,4,7,14,24,0,0,1,3,0,0,0,0,1,0,1,0,0,9,825.599975585938,757.119995117188,753.719970703125
"127",1,1,15,0,0,0,0,42,41,83,3,0,1,0,2,0,20,15,0,1,0,23,0,5,1,0,0,0,0,3,0,23,4,3,0,0,0,16,0,0,1,2,0,0,0,0,5,0,0,1,0,0,3,3,1,1,4,20,0,0,0,7,1,0,1,5,6,16,38,0,1,1,2,0,1,1,0,0,0,1,0,0,7,866.400024414062,793.280029296875,797.679992675781
"131",2,0,11,1,0,0,0,0,84,79,0,0,0,0,0,0,18,19,0,2,0,23,0,5,0,0,0,0,0,0,0,13,3,2,5,0,0,13,0,0,1,0,0,1,1,0,3,0,47,0,1,0,3,2,0,0,1,13,0,0,0,8,1,0,3,1,9,13,38,2,0,1,1,0,1,0,0,2,1,1,0,0,0,907.200012207031,829.440002441406,841.640014648438
