"","Dacryode","Diospyro","Alchorne","Uapaca","Pentacle","Pentacle.1","Syzygium","Cassia.t","Ligulifl","Sapotace","Graminea","Tubulifl","Bridelia","Celastra","Indeterm","Hymenoca","Croton.t","Tetrorch","Landolph","Tacazzea","Cyperace","Monocoty","Macarang","Anthocle","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Drymaria","Evolvulu","Oldfield","Plagiost","Harungan","Pentades","Laurembe","Apodytes","Iodes","Legumino","Flabella","Hibiscus","Calpocal","Entada.t","Mimosa.t","Myrianth","Nymphaea","Olea.cap","Aeschyno","Pterodis","Canthium","Canthium.1","Gaertner","Hallea.t","Pausinys","Stipular","Blighia.","Eriocoel","Lecaniod","Grewia.t","Cleroden","Xyris","Pteris.t","Dracaena","Crudia.t","Cleistan","Papilion","Onagrace","Tetracer","Anacardi","Celtis","Combreta","Euphorbi","Lannea.t","Lorantha","Baikiaea","Rutaceae","Pancovia","Polygala","Spermaco","Treculia","Alstonia","Guibourt","Chrysoba","Mesanthe","Euphorbi.1","Legumino.1","Chron1","Chron10","Chron20"
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,1,22,1,0,0,58,0,1,201,7,0,3,0,39,1,0,1,0,0,2,0,1,0,7,0,13,0,10,0,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,3,8,0,2,1,4,0,3,1,0,0,1,2,2,2,12,2,0,0,0,15,9,2,0,2,0,0,2,0,0,0,0,8,0,0,0,8,0,0,0
"154",0,0,12,0,1,0,40,0,0,162,3,0,6,0,18,0,0,0,0,4,0,0,3,0,1,0,1,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,14,0,0,1,0,0,0,0,0,0,0,0,5,1,3,2,0,1,0,6,17,0,0,1,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0
"159",0,1,11,0,0,0,60,0,5,143,9,0,0,0,38,0,0,1,0,2,0,0,8,0,0,0,11,1,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,0,3,9,0,0,1,0,0,1,0,0,0,1,0,2,1,0,7,0,0,5,6,15,1,0,3,3,0,0,1,1,0,2,5,0,0,0,26,0,0,0
"164.5",0,0,20,0,0,0,46,0,1,185,8,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,9,0,8,0,6,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,9,0,2,5,0,1,1,2,0,0,0,0,0,0,0,4,0,5,2,0,0,0,7,14,5,0,2,3,0,0,0,0,1,0,4,0,0,0,13,0,0,0
"167.5",0,1,8,0,1,0,52,0,0,127,8,0,3,0,20,0,0,1,0,2,0,0,1,1,8,1,2,0,3,2,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,6,8,0,0,0,0,0,0,0,0,0,0,0,4,2,6,4,0,0,0,11,11,0,0,0,4,0,0,0,0,0,0,4,0,0,0,10,0,0,0
"169",0,3,16,3,0,0,69,0,0,206,9,3,3,0,22,0,0,1,0,1,0,1,5,0,6,1,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,14,0,0,0,4,0,0,11,0,0,2,0,4,11,8,14,0,0,0,13,17,7,0,0,4,3,0,0,0,0,3,8,1,0,0,32,0,0,0
"173",0,1,16,0,0,0,112,0,0,145,6,0,3,0,27,0,0,0,0,1,1,0,1,0,6,0,2,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,2,4,0,0,0,6,0,0,0,1,0,0,0,1,1,2,6,0,0,0,15,14,0,0,1,2,0,0,0,0,0,0,2,0,0,0,17,0,0,0
"179",0,0,7,0,0,0,131,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"182",0,0,10,0,0,0,168,0,0,116,2,0,3,0,2,0,0,0,0,0,0,1,5,1,0,0,10,3,3,2,7,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,23,12,0,0,0,2,0,0,0,0,0,1,0,4,3,0,7,0,0,0,0,13,0,0,0,6,0,1,0,1,0,0,2,0,0,0,12,0,0,0
