"","Antrocar","Boscia","Balanite","Diospyro","Alchorne","Uapaca","Meliacea","Cleome","Pycnanth","Baphia","Fagara","Ligulifl","Graminea","Elaeis.g","Tubulifl","Acridoca","Bridelia","Celastra","Indeterm","Rhizopho","Tetrorch","Cyperace","Acanthac","Dodonaea","Macarang","Martreti","Phyllant","Irvingia","Tapinant","Ficus","Podocarp","Rubiacea","Canthium","Allophyl","Typha","Caesalpi","Brachyst","Artemisi","Ephedra","Euphorbi","Hymenoca","Iodes","Acacia","Myrica","Sauvages","Ximenia","Schreber","Solanum","Abrus.ty","Zygophyl","Pinus","Ruellia","Stereosp","Detarium","Antidesm","Grewia","Papilion","Dorsteni","Lophira","Olacacea","Adenia","Mussaend","Salix","Scrophul","Umbellif","Urticace","Tribulus","Anacardi","Celtis","Cupressa","Lythrace","Malvacea","Rhamnace","Rutaceae","Rauvolfi","Caryophy","Linaceae","Plantago","Justicia","Lannea","Ilex","Cassia","Maerua","Olea","Polygala","Protea","Parinari","Thymelea","Ceiba","Polycarp","Mallotus","Kohautia","Mitracar","Betula","Bombax","Cordia","Danielli","Erica","Quercus","Guttifer","Icacina","Liliacea","Trichili","Mimosa.p","Bosqueia","Olea.hoc","Pterocar","Pavetta","Ampeloci","Fagonia","Dialium","Polycarp.1","Blighia","Cussonia","Barleria","Spondian","Combreta","Crudia","Cissus","Erythrop","Indigofe","Maproune","Pentacle","Sabicea","Sesbania","Sherbour","Borassus","Rhynchos","Acanthus","Aizoacea","Myriophy","Chenopod","Bignonia","Hypoeste","Palmae","Blephari","Acioa","Afrormos","Allanbla","Alnus","Amphimas","Aurates","Berlinia","Boswelli","Brassica","Burkea","Calligon","Caloncob","Chassali","Citrullu","Clausena","Cnestis","Cola","Corylus","Crateris","Crossopt","Crozopho","Cryptose","Cuviera","Desplati","Drepanoc","Entada.P","Flacourt","Gaertner","Gilberti","Glyphaea","Haplocoe","Heliotro","Heliotro.1","Heritier","Ixora","Khaja.ty","Leonotis","Leucas","Lonchoca","Lotus.ty","Manilkar","Meliacea.1","Melochia","Moltkia","Nauclea","Nitraria","Ochna","Olea.chr","Ormocarp","Otomeria","Pentas","Phytolac","Rhinopte","Rytigyni","Salvador","Sarcospe","Spathode","Scleroca","Sterculi","Syzygium","Tarenna.","Telephiu","Tilia","Trianthe","Ulmus","Lycodium","Monolete","Monolete.1","Trilete.","Trilete..1","Trilete..2","Chron1"
"5",0,0,0,0,27,3,1,0,0,0,1,0,83,6,2,0,1,1,24,23,2,42,0,15,0,0,2,0,1,0,12,0,5,0,2,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,6,2,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,2,7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,536,149,28,0,35,3,0
"25",0,1,0,0,35,9,2,0,0,0,1,0,44,1,2,0,1,1,21,13,0,35,1,11,0,0,3,0,0,0,34,1,3,0,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,420,163,18,0,26,1,2055.3359375
"40",0,1,0,0,28,3,0,0,0,0,0,0,38,0,0,0,0,0,14,19,0,28,0,18,0,0,2,0,0,0,33,0,2,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,1,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,6,0,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,259,96,8,0,23,1,3596.837890625
"60",0,0,0,0,10,6,3,0,0,0,1,0,60,2,1,0,0,1,21,24,1,35,0,15,0,0,0,0,0,0,38,0,3,1,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,8,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,146,16,0,28,0,5652.173828125
"75",0,1,0,0,22,8,1,0,0,0,0,0,44,1,1,0,0,0,25,30,1,45,0,2,1,0,0,0,1,0,33,2,1,1,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,5,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,713,132,22,0,28,0,7193.67578125
"89",0,0,0,0,18,4,0,1,0,0,0,0,40,0,4,0,0,0,17,37,0,47,0,8,3,0,2,0,1,0,24,1,1,0,0,0,0,2,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,2,0,1,0,0,0,0,7,0,1,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,8,8,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,135,15,0,35,3,8632.4111328125
"108",0,1,0,3,29,7,3,0,0,0,0,0,49,1,1,0,0,0,23,21,0,50,0,3,0,0,1,0,0,0,23,0,4,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,1,4,2,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,154,137,25,0,28,0,10584.98046875
"124",0,0,0,0,19,7,0,0,0,1,1,0,70,0,3,0,0,0,25,22,0,55,0,12,0,0,1,0,0,0,28,1,3,0,0,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,159,96,15,0,23,0,12229.2490234375
"139",1,1,0,0,22,2,2,0,0,0,0,0,49,0,2,0,0,0,17,9,0,73,0,3,0,0,1,0,0,0,25,0,1,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,1,0,0,0,0,0,9,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,5,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,69,15,0,25,0,13625
"159",0,0,0,0,9,1,1,0,0,1,0,0,48,1,4,0,0,0,12,13,0,93,0,2,0,0,1,0,0,0,76,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,278,88,14,0,23,0,15291.6669921875
"175",0,0,0,0,3,2,1,0,0,0,0,0,50,0,2,0,0,0,14,6,0,121,0,3,0,0,0,0,0,0,61,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,59,5,0,31,0,16625
"195",1,0,0,0,14,0,1,0,0,0,0,0,67,0,3,0,1,0,15,2,0,105,0,1,0,0,0,0,0,0,65,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,85,2,0,17,0,18291.666015625
"215",0,0,0,0,8,1,2,0,0,0,1,0,56,0,2,0,0,0,7,2,1,107,1,2,0,0,0,0,0,0,67,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,70,5,0,9,1,19958.333984375
