"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Boscia",""
"3","",0,"Balanites",""
"4","",0,"Diospyros",""
"5","",0,"Alchornea",""
"6","",0,"Uapaca",""
"7","",0,"Meliaceae",""
"8","",0,"Cleome",""
"9","",0,"Pycnanthus",""
"10","",0,"Baphia",""
"11","",0,"Fagara",""
"12","",0,"Liguliflorae",""
"13","",0,"Gramineae",""
"14","",0,"Elaeis guineensis",""
"15","",0,"Tubuliflorae",""
"16","",0,"Acridocarpus",""
"17","",0,"Bridelia",""
"18","",0,"Celastraceae",""
"19","",0,"Indetermines",""
"20","",0,"Rhizophora",""
"21","",0,"Tetrorchidium",""
"22","",0,"Cyperaceae",""
"23","",0,"Acanthaceae",""
"24","",0,"Dodonaea",""
"25","",0,"Macaranga",""
"26","",0,"Martretia",""
"27","",0,"Phyllanthus",""
"28","",0,"Irvingia",""
"29","",0,"Tapinanthus",""
"30","",0,"Ficus",""
"31","",0,"Podocarpus",""
"32","",0,"Rubiaceae",""
"33","",0,"Canthium",""
"34","",0,"Allophylus",""
"35","",0,"Typha",""
"36","",0,"Caesalpinioideae",""
"37","",0,"Brachystegia",""
"38","",0,"Artemisia",""
"39","",0,"Ephedra",""
"40","",0,"Euphorbia",""
"41","",0,"Hymenocardia",""
"42","",0,"Iodes",""
"43","",0,"Acacia",""
"44","",0,"Myrica",""
"45","",0,"Sauvagesia",""
"46","",0,"Ximenia",""
"47","",0,"Schrebera",""
"48","",0,"Solanum",""
"49","",0,"Abrus-type",""
"50","",0,"Zygophyllum",""
"51","",0,"Pinus",""
"52","",0,"Ruellia",""
"53","",0,"Stereospermum",""
"54","",0,"Detarium",""
"55","",0,"Antidesma",""
"56","",0,"Grewia",""
"57","",0,"Papilionoideae",""
"58","",0,"Dorstenia",""
"59","",0,"Lophira",""
"60","",0,"Olacaceae",""
"61","",0,"Adenia",""
"62","",0,"Mussaenda",""
"63","",0,"Salix",""
"64","",0,"Scrophulariaceae",""
"65","",0,"Umbelliferae",""
"66","",0,"Urticaceae",""
"67","",0,"Tribulus",""
"68","",0,"Anacardiaceae",""
"69","",0,"Celtis",""
"70","",0,"Cupressaceae",""
"71","",0,"Lythraceae",""
"72","",0,"Malvaceae",""
"73","",0,"Rhamnaceae",""
"74","",0,"Rutaceae",""
"75","",0,"Rauvolfia",""
"76","",0,"Caryophyllaceae",""
"77","",0,"Linaceae",""
"78","",0,"Plantago",""
"79","",0,"Justicia",""
"80","",0,"Lannea",""
"81","",0,"Ilex",""
"82","",0,"Cassia",""
"83","",0,"Maerua",""
"84","",0,"Olea",""
"85","",0,"Polygala",""
"86","",0,"Protea",""
"87","",0,"Parinari",""
"88","",0,"Thymeleaceae",""
"89","",0,"Ceiba"," "
"90","",0,"Polycarpaea",""
"91","",0,"Mallotus",""
"92","",0,"Kohautia",""
"93","",0,"Mitracarpus",""
"94","",0,"Betula",""
"95","",0,"Bombax",""
"96","",0,"Cordia",""
"97","",0,"Daniellia",""
"98","",0,"Erica",""
"99","",0,"Quercus",""
"100","",0,"Guttiferae",""
"101","",0,"Icacina",""
"102","",0,"Liliaceae",""
"103","",0,"Trichilia",""
"104","",0,"Mimosa pigra",""
"105","",0,"Bosqueia",""
"106","",0,"Olea hochstetteri",""
"107","",0,"Pterocarpus",""
"108","",0,"Pavetta",""
"109","",0,"Ampelocissus",""
"110","",0,"Fagonia",""
"111","",0,"Dialium",""
"112","",0,"Polycarpon",""
"113","",0,"Blighia",""
"114","",0,"Cussonia",""
"115","",0,"Barleria",""
"116","",0,"Spondianthus",""
"117","",0,"Combretaceae/Melastomataceae",""
"118","",0,"Crudia",""
"119","",0,"Cissus",""
"120","",0,"Erythrophleum",""
"121","",0,"Indigofera",""
"122","",0,"Maprounea",""
"123","",0,"Pentaclethra",""
"124","",0,"Sabicea",""
"125","",0,"Sesbania",""
"126","",0,"Sherbournia",""
"127","",0,"Borassus",""
