"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Boscia"," "
"3","",0,"Balanites"," "
"4","",0,"Diospyros"," "
"5","",0,"Alchornea"," "
"6","",0,"Uapaca"," "
"7","",0,"Allanblackia-type"," "
"8","",0,"Cleome"," "
"9","",0,"Pycnanthus"," "
"10","",0,"Baphia"," "
"11","",0,"Fagara"," "
"12","",0,"Liguliflorae"," "
"13","",0,"Gramineae"," "
"14","",0,"Elaeis guineensis"," "
"15","",0,"Tubuliflorae"," "
"16","",0,"Acridocarpus"," "
"17","",0,"Bridelia"," "
"18","",0,"Celastraceae"," "
"19","",0,"Indetermines"," "
"20","",0,"Rhizophora"," "
"21","",0,"Flacourtiaceae"," "
"22","",0,"Tetrorchidium"," "
"23","",0,"Cyperaceae"," "
"24","",0,"Acanthaceae"," "
"25","",0,"Dodonaea"," "
"26","",0,"Martretia"," "
"27","",0,"Phyllanthus"," "
"28","",0,"Moraceae"," "
"29","",0,"Podocarpus"," "
"30","",0,"Rubiaceae"," "
"31","",0,"Canthium"," "
"32","",0,"Allophylus"," "
"33","",0,"Typha"," "
"34","",0,"Caesalpinioideae"," "
"35","",0,"Artemisia"," "
"36","",0,"Ephedra"," "
"37","",0,"Acalypha"," "
"38","",0,"Euphorbia"," "
"39","",0,"Hymenocardia"," "
"40","",0,"Acacia"," "
"41","",0,"Myrica"," "
"42","",0,"Sauvagesia"," "
"43","",0,"Schrebera"," "
"44","",0,"Solanum"," "
"45","",0,"Tamarix"," "
"46","",0,"Pinus"," "
"47","",0,"Echium"," "
"48","",0,"Papilionoideae"," "
"49","",0,"Lophira"," "
"50","",0,"Tephrosia"," "
"51","",0,"Rumex"," "
"52","",0,"Borreria"," "
"53","",0,"Mussaenda"," "
"54","",0,"Scrophulariaceae"," "
"55","",0,"Umbelliferae"," "
"56","",0,"Tribulus"," "
"57","",0,"Anacardiaceae"," "
"58","",0,"Celtis"," "
"59","",0,"Commiphora"," "
"60","",0,"Cupressaceae"," "
"61","",0,"Ericaceae"," "
"62","",0,"Loranthaceae"," "
"63","",0,"Rhamnaceae"," "
"64","",0,"Rutaceae"," "
"65","",0,"Caryophyllaceae"," "
"66","",0,"Linaceae"," "
"67","",0,"Plantago"," "
"68","",0,"Justicia"," "
"69","",0,"Lannea"," "
"70","",0,"Rhus"," "
"71","",0,"Ilex"," "
"72","",0,"Cassia"," "
"73","",0,"Maerua"," "
"74","",0,"Olea"," "
"75","",0,"Vigna"," "
"76","",0,"Polygala"," "
"77","",0,"Parinari"," "
"78","",0,"Teclea"," "
"79","",0,"Polycarpaea"," "
"80","",0,"Mallotus"," "
"81","",0,"Kohautia"," "
"82","",0,"Hygrophila"," "
"83","",0,"Betula"," "
"84","",0,"Bombax"," "
"85","",0,"Cordia"," "
"86","",0,"Daniellia"," "
"87","",0,"Capparis"," "
"88","",0,"Quercus"," "
"89","",0,"Icacina"," "
"90","",0,"Liliaceae"," "
"91","",0,"Mimosa pigra"," "
"92","",0,"Bosqueia"," "
"93","",0,"Commicarpus"," "
"94","",0,"Oleaceae"," "
"95","",0,"Olea hochstetteri"," "
"96","",0,"Pterocarpus"," "
"97","",0,"Rosaceae"," "
"98","",0,"Pavetta"," "
"99","",0,"Lycopodium"," "
"100","",0,"Dialium"," "
"101","",0,"Polycarpon"," "
"102","",0,"Blighia"," "
"103","",0,"Cussonia"," "
"104","",0,"Barleria"," "
"105","",0,"Ranunculaceae"," "
"106","",0,"Combretaceae/Melastomataceae"," "
"107","",0,"Crudia"," "
"108","",0,"Campanulaceae"," "
"109","",0,"Cissus"," "
"110","",0,"Indigofera"," "
"111","",0,"Olax"," "
"112","",0,"Pentaclethra"," "
"113","",0,"Sabicea"," "
"114","",0,"Sesbania"," "
"115","",0,"Sherbournia"," "
"116","",0,"Stachyothyrsus"," "
"117","",0,"Borassus"," "
"118","",0,"Hippocrateaceae"," "
"119","",0,"Pseudospondias"," "
