"","Rhizopho","Acrostic","Avicenni","Syzygium","Alafia.t","Hollarhe","Alstonia","Strophan","Nelsonia","Tabernae","Landolph","Euphorbi","Uapaca","Alchorne","Antidesm","Maproune","Macarang","Mallotus","Euphorbi.1","Securine","Celtis","Chaetacm","Trema.ty","Anthocle","Sapotace","Carapa.p","Bequaert","Combreta","Laguncul","Terminal","Arecacea","Cocos.nu","Raphia","Elaeis.g","Calamus.","Phoenix","Symphoni","Pentades","Ceiba.pe","Cissus","Leea.gui","Pentachl","Piptaden","Entada.t","Acacia","Aubrevil","Albizia","Fabaceae","Drepanoc","Lonchoca","Pterocar","Milletia","Caesalpi","Berlinia","Dialium","Cassia.t","Detarium","Cordia","Brachyst","Afzelia.","Erythrox","Mezoneur","Triploch","Cola.typ","Sterculi","Mansonia","Oldenlad","Canthium","Cuviera","Mitragyn","Oxyanthu","Gardenia","Morelia.","Sabicea","Chassali","Macrosph","Fadogia.","Psychotr","Pavetta.","Gartnera","Spathode","Newbould","Grewia.t","Clappert","Triumfet","Lannea.t","Spondias","Anthroca","Diospyro","Annonace","Annona.s","Bosqueia","Adenia.l","Vitex.ty","Cleroden","Stachyta","Irvingia","Cnestis.","Tetracer","Deinboll","Allophyl","Pancovia","Blighia.","Lecaniod","Cardiosp","Paullini","Dodonaea","Jasminum","Flabella","Parinari","Cassipou","Merremia","Ipomoea.","Secamone","Pycnanth","Zanthoxy","Clausena","Lophira","Burserac","Canarium","Napoleon","Podocarp","Polycarp","Pandanus","Luffa.ty","Momordic","Icacinac","Sesamum","Talinum.","Cleome","Acanthac","Hyptis.t","Hippocra","Mitragyn.1","Borreria","Nauclea.","Vigna.ty","Crotalar","Canavali","Desmodiu","Tephrosi","Aechynom","Croton.t","Cucurlig","Poaceae","Cyperace","Asterace","Asterace.1","Amaranth","Polygonu","Ludwigia","Crinum.t","Araceae","Typha","Nymphea","Dinoflag","Spores.m","Spores.t","Selagine","Cyclosor","Pteris.t","Ceratopt","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"0",6,4,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,608,42,0,0,0,16,1,1,0,4,1,0,372,0,0,0,0,0,3,2,0,0,0
"10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,39,0,0,1,12,0,0,0,5,0,0,258,2,0,0,0,0,6,0,0,0,0
"20",3,3,0,0,0,3,1,0,0,0,0,0,0,214,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,461,26,1,0,1,12,0,0,0,5,2,0,298,0,0,0,0,0,8,0,0,0,0
"30",2,2,1,0,0,5,0,0,0,0,0,0,0,168,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,38,0,0,0,18,0,4,0,10,2,0,334,0,0,0,0,0,0,0,0,0,0
"40",14,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,16,2,1,1,23,0,3,0,3,2,0,208,1,0,0,0,0,8,1,0,0,0
"50",1,0,0,0,0,1,1,0,0,0,0,0,0,167,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1347,293,0,0,0,55,0,4,0,1,2,0,163,1,0,0,0,0,0,0,0,0,0
"60",1,0,0,0,0,1,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,10,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,5,0,0,0,0,0,0,223,24,2,0,0,3,0,6,0,4,1,0,451,2,0,0,0,0,0,2,0,0,0
"70",7,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1213,238,0,0,1,146,0,1,0,1,0,0,1724,3,0,0,0,0,0,1,0,0,0
"80",16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,736,1,0,0,13,0,0,0,2,0,0,379,0,0,0,0,0,0,0,0,0,0
"90",23,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,57,20,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,1,1,0,0,0
