"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Rhizophora racemosa-type"," "
"2","",0,"Acrostichum aureum"," "
"3","",0,"Avicennia"," "
"4","",0,"Syzygium-type"," "
"5","",0,"Alafia-type"," "
"6","",0,"Hollarhena-tpe"," "
"7","",0,"Alstonia"," "
"8","",0,"Strophanthus-type"," "
"9","",0,"Nelsonia"," "
"10","",0,"Tabernaemontana"," "
"11","",0,"Landolphia-type"," "
"12","",0,"Euphorbiaceae undiff."," "
"13","",0,"Uapaca"," "
"14","",0,"Alchornea cordifolia-type"," "
"15","",0,"Antidesma-type"," "
"16","",0,"Maprounea"," "
"17","",0,"Macaranga-type"," "
"18","",0,"Mallotus-type"," "
"19","",0,"Euphorbia-type"," "
"20","",0,"Securinega"," "
"21","",0,"Celtis"," "
"22","",0,"Chaetacme aristata"," "
"23","",0,"Trema-type"," "
"24","",0,"Anthocleista vogelii-type"," "
"25","",0,"Sapotaceae/Meliaceae"," "
"26","",0,"Carapa procera"," "
"27","",0,"Bequaertiodendron"," "
"28","",0,"Combretaceae/Melastomataceae"," "
"29","",0,"Laguncularia racemosa"," "
"30","",0,"Terminalia-type"," "
"31","",0,"Arecaceae undiff."," "
"32","",0,"Cocos nucifera"," "
"33","",0,"Raphia"," "
"34","",0,"Elaeis guineensis"," "
"35","",0,"Calamus deeratus"," "
"36","",0,"Phoenix"," "
"37","",0,"Symphonia globulifera"," "
"38","",0,"Pentadesma"," "
"39","",0,"Ceiba pentandra"," "
"40","",0,"Cissus"," "
"41","",0,"Leea guineensis"," "
"42","",0,"Pentachletra macrophylla"," "
"43","",0,"Piptadeniastrum-type africanum"," "
"44","",0,"Entada-type"," "
"45","",0,"Acacia"," "
"46","",0,"Aubrevillea"," "
"47","",0,"Albizia"," "
"48","",0,"Fabaceae undiff."," "
"49","",0,"Drepanocarpus lunatus-type"," "
"50","",0,"Lonchocarpus-type"," "
"51","",0,"Pterocarpus-type"," "
"52","",0,"Milletia-type"," "
"53","",0,"Caesalpiniaceae unfiff."," "
"54","",0,"Berlinia-type"," "
"55","",0,"Dialium"," "
"56","",0,"Cassia-type"," "
"57","",0,"Detarium"," "
"58","",0,"Cordia"," "
"59","",0,"Brachystegia"," "
"60","",0,"Afzelia africana-type"," "
"61","",0,"Erythroxylum"," "
"62","",0,"Mezoneuron-type"," "
"63","",0,"Triplochiton scleroxylon-type"," "
"64","",0,"Cola-type"," "
"65","",0,"Sterculia-type"," "
"66","",0,"Mansonia-type"," "
"67","",0,"Oldenladia-type"," "
"68","",0,"Canthium subcordata"," "
"69","",0,"Cuviera"," "
"70","",0,"Mitragyna"," "
"71","",0,"Oxyanthus-type"," "
"72","",0,"Gardenia-type imperialis"," "
"73","",0,"Morelia senegalensis"," "
"74","",0,"Sabicea"," "
"75","",0,"Chassalia-type"," "
"76","",0,"Macrosphyra-type"," "
"77","",0,"Fadogia-type"," "
"78","",0,"Psychotria-type"," "
"79","",0,"Pavetta-type"," "
"80","",0,"Gartnera paniculata-type"," "
"81","",0,"Spathodea-type campanulata"," "
"82","",0,"Newbouldia laevis"," "
"83","",0,"Grewia-type"," "
"84","",0,"Clappertonia ficifolia"," "
"85","",0,"Triumfetta-type"," "
"86","",0,"Lannea-type"," "
"87","",0,"Spondias-type mombin"," "
"88","",0,"Anthrocaryon-type"," "
"89","",0,"Diospyros"," "
"90","",0,"Annonaceae undiff."," "
"91","",0,"Annona senegalensis"," "
"92","",0,"Bosqueia-type"," "
"93","",0,"Adenia lobata-type"," "
"94","",0,"Vitex-type"," "
"95","",0,"Clerodendrum"," "
"96","",0,"Stachytarfeta-type"," "
"97","",0,"Irvingia-type gabonensis"," "
"98","",0,"Cnestis ferruginea-type"," "
"99","",0,"Tetracera alnifolia-type"," "
"100","",0,"Deinbollia"," "
"101","",0,"Allophylus africanus-type"," "
"102","",0,"Pancovia-type"," "
"103","",0,"Blighia-type"," "
"104","",0,"Lecaniodiscus-type"," "
"105","",0,"Cardiospermum halicacabum-type"," "
"106","",0,"Paullinia pinnata"," "
"107","",0,"Dodonaea"," "
"108","",0,"Jasminum-type"," "
"109","",0,"Flabellaria-type paniculata"," "
"110","",0,"Parinari-type"," "
"111","",0,"Cassipourea-type"," "
"112","",0,"Merremia-type"," "
"113","",0,"Ipomoea-type"," "
"114","",0,"Secamone-type"," "
"115","",0,"Pycnanthus angolensis-type"," "
"116","",0,"Zanthoxylum-type"," "
"117","",0,"Clausena anisata"," "
"118","",0,"Lophira"," "
"119","",0,"Burseraceae undiff."," "
"120","",0,"Canarium-type"," "
"121","",0,"Napoleona-type"," "
"122","",0,"Podocarpus"," "
"123","",0,"Polycarpaceae undiff."," "
"124","",0,"Pandanus"," "
"125","",0,"Luffa-type cylindrica"," "
"126","",0,"Momordica-type"," "
"127","",0,"Icacinaceae"," "
"128","",0,"Sesamum"," "
"129","",0,"Talinum-type"," "
"130","",0,"Cleome"," "
"131","",0,"Acanthaceae undiff."," "
"132","",0,"Hyptis-type"," "
"133","",0,"Hippocratea-type"," "
"134","",0,"Mitragyna-type"," "
"135","",0,"Borreria"," "
"136","",0,"Nauclea-type"," "
"137","",0,"Vigna-type"," "
"138","",0,"Crotalaria-type"," "
"139","",0,"Canavalia-type"," "
"140","",0,"Desmodium-type"," "
"141","",0,"Tephrosia-type"," "
"142","",0,"Aechynomene-type"," "
"143","",0,"Croton-type"," "
"144","",0,"Cucurligo"," "
"145","",0,"Poaceae"," "
"146","",0,"Cyperaceae"," "
"147","",0,"Asteraceae fenestree"," "
"148","",0,"Asteraceae echinulee"," "
"149","",0,"Amaranthaceae/Chenopodiaceae"," "
"150","",0,"Polygonum pulchrum-type"," "
"151","",0,"Ludwigia-type"," "
"152","",0,"Crinum-type natans"," "
"153","",0,"Araceae"," "
"154","",0,"Typha"," "
"155","",0,"Nymphea"," "
"156","",0,"Dinoflagelles"," "
"157","",0,"Spores monoletes"," "
"158","",0,"Spores triletes"," "
"159","",0,"Selaginella"," "
"160","",0,"Cyclosorus striatus-type"," "
"161","",0,"Pteris-type"," "
"162","",0,"Ceratopteris cornuta"," "
"163","",0,"Indetermines"," "
"164","",0,"Indeterminables"," "
"165","Chron1",0,"Sample age"," "
"166","Chron10",0,"Sample age"," "
"167","Chron20",0,"Sample age"," "
