"","Dracaena","Alchorne","Syzygium","Fagara","Graminea","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Umbellif","Urticace","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Justicia","Rhus","Ilex","Polyscia","Croton","Apodytes","Olea","Kotschya","Vigna","Polygala","Protea","Clematis","Hagenia","Trema","Sapium","Ziziphus","Pavetta","Maytenus","Dombeya","Haloraga","Mitragyn","Cissus","Indigofe","Ocimum","Kalancho","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Basella","Hyptis","Markhami"
"10",0,0,0,1,128,0,0,0,398,1,29,1,0,0,7,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"20",0,0,0,0,153,49,2,0,324,0,24,1,0,0,5,2,0,0,4,0,0,4,0,4,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"30",0,0,1,1,120,73,1,0,407,0,23,0,0,0,5,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40",1,0,1,1,132,29,0,1,270,0,33,2,0,0,5,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"50",0,0,1,4,148,43,0,1,242,0,23,1,0,0,1,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,141,97,1,2,233,0,12,1,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"70",0,0,0,0,123,51,1,1,287,0,32,2,0,0,1,6,0,0,9,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"80",0,2,1,0,85,153,1,0,250,0,31,2,1,0,0,15,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0,4,3,0,1,0,0,0,3,1,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0
"90",0,0,1,1,142,119,2,1,268,0,5,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"100",0,0,0,0,158,42,1,3,130,0,24,1,0,0,5,10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
