"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Diospyros"," "
"2","",0,"Alchornea"," "
"3","",0,"Uapaca"," "
"4","",0,"Pycnanthus"," "
"5","",0,"Syzygium"," "
"6","",0,"Amaranthaceae/Chenopodiaceae"," "
"7","",0,"Cassia-type"," "
"8","",0,"Liguliflorae"," "
"9","",0,"Sapotaceae"," "
"10","",0,"Grewia-type"," "
"11","",0,"Gramineae"," "
"12","",0,"Elaeis guineensis"," "
"13","",0,"Tubuliflorae"," "
"14","",0,"Bridelia"," "
"15","",0,"Celastraceae"," "
"16","",0,"Indetermines"," "
"17","",0,"Indeterminables"," "
"18","",0,"Rhizophora"," "
"19","",0,"Tetrorchidium"," "
"20","",0,"Cyperaceae"," "
"21","",0,"Acanthaceae"," "
"22","",0,"Monocotyledoneae"," "
"23","",0,"Dodonaea"," "
"24","",0,"Macaranga"," "
"25","",0,"Ficus"," "
"26","",0,"Podocarpus"," "
"27","",0,"Rubiaceae"," "
"28","",0,"Allophylus"," "
"29","",0,"Typha"," "
"30","",0,"Monoletes"," "
"31","",0,"Triletes"," "
"32","",0,"Brachystegia"," "
"33","",0,"Combretum molle-type"," "
"34","",0,"Artemisia"," "
"35","",0,"Ephedra"," "
"36","",0,"Euphorbia"," "
"37","",0,"Hymenocardia"," "
"38","",0,"Iodes"," "
"39","",0,"Nymphaea lotus-type"," "
"40","",0,"Spermacoce-type"," "
"41","",0,"Anthocerotaceae"," "
"42","",0,"Pteris-type"," "
"43","",0,"Lygodium microphyllum"," "
"44","",0,"Pinus"," "
"45","",0,"Achyranthes-type aspera"," "
"46","",0,"Detarium"," "
"47","",0,"Papilionoideae"," "
"48","",0,"Parkia"," "
"49","",0,"Phoenix"," "
"50","",0,"Lophira"," "
"51","",0,"Polygonum senegalense"," "
"52","",0,"Umbelliferae"," "
"53","",0,"Urticaceae"," "
"54","",0,"Tribulus"," "
"55","",0,"Ceratopteris cornuta"," "
"56","",0,"Acacia groupe I"," "
"57","",0,"Celtis"," "
"58","",0,"Combretaceae"," "
"59","",0,"Euphorbiaceae"," "
"60","",0,"Labiatae"," "
"61","",0,"Lannea-type"," "
"62","",0,"Rhamnaceae"," "
"63","",0,"Apocynaceae"," "
"64","",0,"Maerua-type"," "
"65","",0,"Vernonia perrottetii-type"," "
"66","",0,"Acacia groupe III"," "
"67","",0,"Ilex"," "
"68","",0,"Polygala"," "
"69","",0,"Protea"," "
"70","",0,"Zanthoxylum"," "
"71","",0,"Trema"," "
"72","",0,"Aerva lanata-type"," "
"73","",0,"Alternanthera"," "
"74","",0,"Ceiba"," "
"75","",0,"Polycarpaea"," "
"76","",0,"Combretum aculeatum-type"," "
"77","",0,"Ambrosia"," "
"78","",0,"Tetracera"," "
"79","",0,"Anthostema"," "
"80","",0,"Erythrococca"," "
"81","",0,"Securinega"," "
"82","",0,"Chrysobalanus/Parinari"," "
"83","",0,"Mitracarpus"," "
"84","",0,"Mitragyna inermis-type"," "
"85","",0,"Spores indeterminees"," "
"86","",0,"Triletes lisses"," "
"87","",0,"Hygrophila"," "
"88","",0,"Cordia"," "
"89","",0,"Isoberlinia"," "
"90","",0,"Caryophyllaceae/Chenopodiaceae"," "
"91","",0,"Cornulaca-type"," "
"92","",0,"Farsetia-type"," "
"93","",0,"Juniperus"," "
"94","",0,"Erica"," "
"95","",0,"Micrococca"," "
"96","",0,"Phyllanthus amarus-type"," "
"97","",0,"Malpighiaceae"," "
"98","",0,"Hibiscus-type"," "
"99","",0,"Mimosoideae"," "
"100","",0,"Prosopis/Entada"," "
"101","",0,"Morus"," "
"102","",0,"Musanga"," "
"103","",0,"Borassus/Hyphaene"," "
"104","",0,"Lotus arabicus-type"," "
"105","",0,"Canthium subcordatum"," "
"106","",0,"Canthium-type"," "
"107","",0,"Gardenia"," "
"108","",0,"Mitragyna stipulosa-type"," "
"109","",0,"Pavetta"," "
"110","",0,"Lycopodium"," "
"111","",0,"Lycopodium cernuum"," "
"112","",0,"Polycarpon"," "
"113","",0,"Aphania"," "
"114","",0,"Blighia"," "
"115","",0,"Avicennia"," "
"116","",0,"Bombax costatum"," "
"117","",0,"Copaifera salikunda-type"," "
"118","",0,"Monotes"," "
"119","",0,"Cissampelos"," "
"120","Chron1",0,"Sample age"," "
