"","Trichosc","Dracaena","Dacryode","Berlinia","Maranthe","Diospyro","Anthoste","Alchorne","Uapaca","Symphoni","Irvingia","Pentacle","Pycnanth","Syzygium","Strombos","Fagara","Aidia.ty","Pausinys","Sapotace","Graminea","Elaeis.g","Acridoca","Celastra","Indeterm","Hallea","Alstonia","Pandanus","Calpocal","Polygonu","Croton.t","Tetrorch","Cyperace","Monocoty","Amaranth","Composit","Macarang","Martreti","Phyllant","Anthocle","Tapinant","Moraceae","Ficus","Trilepis","Nymphaea","Campylos","Raphia","Podocarp","Anopyxis","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Caesalpi","Vernonie","Plagiost","Newtonia","Parkia.t","Canthium","Antidesm","Ganophyl","Grewia","Microdes","Papilion","Phoenix","Sclerosp","Urticace","Tetracer","Combreta","Chron1","Chron10","Chron20"
"2",0,0,0,4,6,2,3,6,0,0,2,1,0,7,5,0,11,9,19,7,4,5,5,29,59,0,16,13,0,5,1,3,0,0,0,4,4,4,10,3,1,0,1,0,0,8,0,70,4,1,19,10,4,15,0,0,0,0,3,16,0,0,0,0,3,0,0,7,31,112.222221374512,200.888885498047,248.83332824707
"10",0,0,4,0,2,1,3,5,2,0,0,0,8,4,2,0,32,0,2,3,2,4,1,8,57,0,2,12,0,0,0,23,0,0,0,0,12,0,8,0,2,0,0,0,0,2,2,18,0,1,12,3,7,13,0,0,0,0,0,1,0,0,13,6,0,0,2,3,36,175.185180664062,254.407409667969,299.944458007812
"14",1,0,1,0,0,0,3,7,0,3,5,0,1,1,2,0,1,0,1,12,9,0,1,8,14,2,29,3,2,0,0,42,4,0,1,25,0,0,0,0,7,1,0,1,0,21,0,0,1,0,24,3,2,3,0,2,1,0,0,0,3,0,0,4,0,0,1,1,6,206.66667175293,281.166656494141,325.5
"21",0,0,1,2,0,0,3,6,0,0,4,0,0,4,7,1,9,1,5,1,1,0,3,17,44,1,7,9,0,0,1,19,2,0,0,10,29,6,3,0,1,0,0,0,1,12,0,22,5,0,6,2,2,12,0,0,1,1,0,6,2,2,0,5,0,0,1,2,30,261.759246826172,327.995361328125,370.222229003906
"26",1,2,1,0,0,1,2,2,0,3,18,0,4,0,0,0,0,12,5,9,15,5,0,18,19,0,19,4,0,0,0,27,0,0,1,21,2,1,0,0,0,0,1,4,0,20,0,0,2,0,40,13,0,6,0,0,0,0,1,1,1,1,0,4,0,0,3,3,8,301.111114501953,361.444458007812,402.166656494141
"37",1,0,0,0,0,4,5,8,3,3,19,1,3,5,2,0,0,16,0,14,9,2,0,20,15,1,29,1,1,0,0,42,2,0,0,14,0,2,0,4,3,1,1,2,0,15,0,0,0,0,27,23,1,9,0,0,0,0,2,2,1,1,0,4,0,0,5,1,5,387.685180664062,435.032409667969,472.444458007812
"51",1,0,0,1,1,1,1,2,0,1,3,2,8,2,1,0,15,0,10,1,1,1,3,20,22,0,0,16,0,1,0,5,0,0,0,5,0,7,3,2,0,0,0,1,1,1,0,32,9,0,6,0,2,6,0,0,0,0,1,0,0,0,0,3,0,0,5,3,25,497.870361328125,528.689819335938,561.888916015625
"67",0,1,3,1,0,0,0,4,4,1,4,0,2,4,0,2,1,8,2,13,11,0,0,8,17,0,30,1,0,0,0,11,0,0,0,13,1,0,0,0,6,1,0,2,0,8,0,2,1,0,21,17,3,7,1,0,0,0,0,0,1,0,0,2,0,0,1,1,5,623.796325683594,635.726867675781,664.111083984375
"78",0,0,0,1,0,0,1,9,1,1,5,1,4,5,0,0,2,7,0,8,7,4,0,10,12,0,39,2,0,0,4,12,0,0,1,9,4,1,0,0,0,0,0,0,0,9,0,1,1,0,20,15,2,2,0,0,2,1,2,1,2,1,0,2,0,0,0,7,1,710.370361328125,709.314819335938,734.388916015625
"100",0,0,1,0,0,0,2,10,3,0,2,0,0,2,0,0,8,0,0,29,12,1,1,8,6,0,44,3,0,0,0,11,0,0,0,11,2,0,0,0,0,0,0,0,1,14,0,0,1,0,30,24,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,5,883.518493652344,856.49072265625,874.944458007812
"107",3,0,0,0,0,0,3,11,0,1,3,0,0,5,0,0,3,2,0,20,1,0,1,9,19,0,52,0,0,0,4,47,7,0,0,22,2,1,0,0,0,0,1,1,0,8,0,0,2,0,49,23,0,2,0,1,1,1,1,1,6,0,0,3,0,0,7,0,5,938.611083984375,903.319458007812,919.666687011719
"116",0,0,2,1,0,2,2,18,4,3,7,1,3,5,0,0,3,22,0,20,4,0,0,10,15,0,81,4,0,1,2,32,3,1,1,32,3,1,0,2,1,0,1,0,0,12,0,0,0,0,67,41,4,3,0,7,0,0,0,1,1,0,1,0,0,0,3,11,4,1009.44445800781,963.527770996094,977.166687011719
"137",0,0,2,3,0,1,4,16,4,7,5,0,7,5,0,0,0,11,3,17,8,4,0,17,25,0,55,6,0,0,1,10,0,0,1,17,9,3,1,0,7,1,1,1,1,8,0,0,3,0,48,50,7,9,0,0,0,0,2,6,5,1,0,0,0,0,0,1,9,1174.72216796875,1104.01391601562,1111.33337402344
