"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Trichoscypha-type"," "
"2","",0,"Dracaena"," "
"3","",0,"Dacryodes-type"," "
"4","",0,"Berlinia-type"," "
"5","",0,"Maranthes-type"," "
"6","",0,"Diospyros"," "
"7","",0,"Anthostema-type"," "
"8","",0,"Alchornea"," "
"9","",0,"Uapaca"," "
"10","",0,"Symphonia globulifera"," "
"11","",0,"Irvingia-type"," "
"12","",0,"Pentaclethra macrophylla"," "
"13","",0,"Pycnanthus"," "
"14","",0,"Syzygium"," "
"15","",0,"Strombosia-type"," "
"16","",0,"Fagara"," "
"17","",0,"Aidia-type"," "
"18","",0,"Pausinystalia"," "
"19","",0,"Sapotaceae"," "
"20","",0,"Gramineae"," "
"21","",0,"Elaeis guineensis"," "
"22","",0,"Acridocarpus"," "
"23","",0,"Celastraceae"," "
"24","",0,"Indetermines"," "
"25","",0,"Hallea"," "
"26","",0,"Alstonia-type"," "
"27","",0,"Pandanus"," "
"28","",0,"Calpocalyx-type"," "
"29","",0,"Polygonum"," "
"30","",0,"Croton-type"," "
"31","",0,"Tetrorchidium"," "
"32","",0,"Cyperaceae"," "
"33","",0,"Monocotyledoneae"," "
"34","",0,"Amaranthaceae"," "
"35","",0,"Compositae"," "
"36","",0,"Macaranga"," "
"37","",0,"Martretia"," "
"38","",0,"Phyllanthus"," "
"39","",0,"Anthocleista"," "
"40","",0,"Tapinanthus"," "
"41","",0,"Moraceae"," "
"42","",0,"Ficus"," "
"43","",0,"Trilepisium"," "
"44","",0,"Nymphaea"," "
"45","",0,"Campylospermum"," "
"46","",0,"Raphia"," "
"47","",0,"Podocarpus"," "
"48","",0,"Anopyxis"," "
"49","",0,"Rubiaceae"," "
"50","",0,"Allophylus"," "
"51","",0,"Monoletes"," "
"52","",0,"Triletes"," "
"53","",0,"Polypodiaceae"," "
"54","",0,"Caesalpinioideae"," "
"55","",0,"Vernonieae"," "
"56","",0,"Plagiostyles africana"," "
"57","",0,"Newtonia-type"," "
"58","",0,"Parkia-type"," "
"59","",0,"Canthium schimperianum-type"," "
"60","",0,"Antidesma"," "
"61","",0,"Ganophyllum"," "
"62","",0,"Grewia"," "
"63","",0,"Microdesmis"," "
"64","",0,"Papilionoideae"," "
"65","",0,"Phoenix"," "
"66","",0,"Sclerosperma"," "
"67","",0,"Urticaceae"," "
"68","",0,"Tetracera alnifolia"," "
"69","",0,"Combretaceae"," "
"70","Chron1",0,"Sample age"," "
"71","Chron10",0,"Sample age"," "
"72","Chron20",0,"Sample age"," "
