"","Antrocar","Haematos","Lannea.t","Rhus.typ","Sorindei","Apocynac","Rauvolfi","Saba.typ","Voacanga","Ilex.mit","Araliace","Polyscia","Scheffle","Tacazzea","Avicenni","Balanite","Bombax.c","Cordia","Burserac","Commipho","Santiria","Buxus","Copaifer","Crudia.t","Cynometr","Danielli","Detarium","Dialium","Erythrop","Isoberli","Loesener","Piliosti","Maerua.t","Cassine.","Catha.ty","Celastra","Maytenus","Garcinia","Symphoni","Cochlosp","Combreta","Calycobo","Tetracer","Dioscore","Monotes.","Diospyro","Ericacea","Alchorne","Amanoa.t","Antidesm","Bridelia","Drypetes","Erythroc","Flueggea","Klainean","Macarang","Mallotus","Mareya.t","Margarit","Microdes","Phyllant","Spondian","Tetrorch","Thecacor","Uapaca","Uapaca.h","Uapaca.t","Pterocar","Sesbania","Homalium","Harungan","Hymenoca","Salacia.","Iodes","Leptaulu","Stachyan","Irvingia","Anthocle","Acridoca","Flabella","Flabella.1","Triaspis","Khaya.ty","Trichili","Acacia","Albizia.","Entada.t","Mimosa","Mimosa.p","Pentacle","Tetraple","Xylia.ty","Ficus","Myrianth","Treculia","Trilepis","Myrica","Pycnanth","Syzygium","Campylos","Lophira","Strombos","Jasminum","Olea","Olea.cap","Olea.eur","Schreber","Calamus.","Elaeis.g","Hyphaene","Phoenix.","Pandanus","Podocarp","Protea.t","Lasiodis","Ziziphus","Rhizopho","Aidia.ty","Crossopt","Catunare","Dictyand","Gaertner","Gardenie","Hallea.t","Ixora.ty","Keetia.t","Mitragyn","Morelia.","Morinda","Nauclea.","Pausinys","Psydrax.","Psydrax..1","Uncaria.","Vangueri","Citrus","Clausena","Rutaceae","Zanthoxy","Zanthoxy.1","Salix","Allophyl","Aphania.","Deinboll","Dodonaea","Ganophyl","Paullini","Sapindac","Sapotace","Manilkar","Hildegar","Triploch","Grewia.t","Celtis","Chaetacm","Holoptel","Vitex.ty","Vernonie","Caesalpi","Dracaena","Croton.t","Euphorbi","Fabaceae","Monocoty","Rubiacea","Apiaceae","Verbenac","Acanthac","Acanthus","Asystasi","Barleria","Brillant","Hygrophi","Hypoeste","Lepidaga","Aizoacea","Achyrant","Aerva.ty","Celosia.","Cyathula","Psilotri","Sericoco","Amaranth","Isonema.","Ambrosia","Artemisi","Centaure","Cichorie","Asterace","Impatien","Heliotro","Cassia.t","Cassia.t.1","Drymaria","Polycarp","Polycarp.1","Suaeda.m","Convolvu","Jacquemo","Ascolepi","Cyperace","Cyperus.","Ephedra.","Mesanthe","Cyathogy","Euphorbi.1","Micrococ","Ricinus.","Crotalar","Rhynchos","Halorrha","Laurembe","Lamiacea","Leucas.t","Asparagu","Chloroph","Urginea.","Nesaea.t","Abutilon","Malvacea","Sida","Cissampe","Neptunia","Commicar","Machaeri","Nymphaea","Poaceae.","Polygala","Polygonu","Rumex","Potamoge","Resedace","Galium.t","Kohautia","Mitracar","Oldenlan","Spermaco","Stipular","Solanace","Solanum.","Gnidia.t","Corchoru","Typha","Urticace","Cayratia","Cissus","Vitaceae","Anthocer","Cyathea","Polypodi","Acrostic","Pteris.t","Monolete","Triletes","Lygodium","Undeterm","Chron1","Chron10"
"36.2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,106,0,1,0,0,0,1,0,9,0,0,2,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,110,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,29,19,0,15,3845.03833007812,3798.53344726562
"44",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,2,0,65,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,74,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,160,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,20,0,11,4107.595703125,4105.33349609375
"66.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,0,1,0,0,26,0,0,2,167,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,23,4868.3388671875,4994.2666015625
"81.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,35,0,1,0,0,0,0,0,12,0,0,3,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,30,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,253,0,0,0,0,0,0,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,35,7,0,18,5363.15869140625,5572.466796875
"103.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,20,6117.16943359375,6453.533203125
"120.5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,31,0,0,0,0,0,0,0,14,3,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,5,3,0,0,1,0,0,1,10,0,0,0,204,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,33,6,0,18,6682.677734375,7114.33349609375
"142",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,28,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,6,0,0,0,0,0,0,0,11,0,0,1,208,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7,71,8,0,27,6865.75341796875,7349.96142578125
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,6,0,3,0,11,0,2,0,0,1,0,28,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,3,0,0,0,6,0,0,0,0,1,1,1,4,0,0,1,120,0,0,0,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,197,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,34,1,0,35,7103.1962890625,7671.93408203125
"220.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,7,0,0,0,11,0,1,1,0,0,0,24,0,1,0,0,0,0,0,15,0,0,1,0,0,0,1,0,23,1,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4,0,1,0,7,0,0,0,0,0,0,2,1,0,0,0,140,0,0,0,0,0,1,1,4,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,2,0,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,266,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,1,0,1,0,2,69,5,0,33,7332.92236328125,7983.44287109375
"281.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,10,0,0,0,0,1,0,35,0,3,0,0,1,0,0,34,0,0,2,0,0,0,1,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,10,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,138,0,0,0,0,0,0,3,0,2,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,8,0,0,0,0,1,0,1,0,0,36,5,0,25,7693.2421875,8472.0361328125
