"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Haematostaphis-type barteri"," "
"3","",0,"Lannea-type"," "
"4","",0,"Rhus-type"," "
"5","",0,"Sorindeia-type"," "
"6","",0,"Apocynaceae undiff."," "
"7","",0,"Rauvolfia"," "
"8","",0,"Saba-type comorensis"," "
"9","",0,"Voacanga-type"," "
"10","",0,"Ilex mitis"," "
"11","",0,"Araliaceae undiff."," "
"12","",0,"Polyscias"," "
"13","",0,"Schefflera"," "
"14","",0,"Tacazzea-type apiculata"," "
"15","",0,"Avicennia"," "
"16","",0,"Balanites"," "
"17","",0,"Bombax costatum-type"," "
"18","",0,"Cordia"," "
"19","",0,"Burseraceae undiff."," "
"20","",0,"Commiphora"," "
"21","",0,"Santiria-type trimera"," "
"22","",0,"Buxus"," "
"23","",0,"Copaifera-type"," "
"24","",0,"Crudia-type"," "
"25","",0,"Cynometra-type"," "
"26","",0,"Daniellia"," "
"27","",0,"Detarium"," "
"28","",0,"Dialium"," "
"29","",0,"Erythrophleum-type"," "
"30","",0,"Isoberlinia-type"," "
"31","",0,"Loesenera-type"," "
"32","",0,"Piliostigma"," "
"33","",0,"Maerua-type"," "
"34","",0,"Cassine-type"," "
"35","",0,"Catha-type"," "
"36","",0,"Celastraceae/Hippocrateaceae undiff."," "
"37","",0,"Maytenus"," "
"38","",0,"Garcinia"," "
"39","",0,"Symphonia globulifera"," "
"40","",0,"Cochlospermum"," "
"41","",0,"Combretaceae undiff."," "
"42","",0,"Calycobolus-type"," "
"43","",0,"Tetracera alnifolia-type"," "
"44","",0,"Dioscorea"," "
"45","",0,"Monotes kerstingii-type"," "
"46","",0,"Diospyros"," "
"47","",0,"Ericaceae undiff."," "
"48","",0,"Alchornea"," "
"49","",0,"Amanoa-type"," "
"50","",0,"Antidesma-type"," "
"51","",0,"Bridelia-type"," "
"52","",0,"Drypetes-type"," "
"53","",0,"Erythrococca-type"," "
"54","",0,"Flueggea-type virosa"," "
"55","",0,"Klaineanthus gaboniae"," "
"56","",0,"Macaranga-type"," "
"57","",0,"Mallotus-type"," "
"58","",0,"Mareya-type micrantha"," "
"59","",0,"Margaritaria discoidea"," "
"60","",0,"Microdesmis"," "
"61","",0,"Phyllanthus-type reticulatus"," "
"62","",0,"Spondianthus-type preussii"," "
"63","",0,"Tetrorchidium"," "
"64","",0,"Thecacoris-type"," "
"65","",0,"Uapaca"," "
"66","",0,"Uapaca heudelotii-type"," "
"67","",0,"Uapaca togoensis-type"," "
"68","",0,"Pterocarpus-type"," "
"69","",0,"Sesbania"," "
"70","",0,"Homalium"," "
"71","",0,"Harungana madagascariensis-type"," "
"72","",0,"Hymenocardia"," "
"73","",0,"Salacia senegalensis-type"," "
"74","",0,"Iodes"," "
"75","",0,"Leptaulus"," "
"76","",0,"Stachyanthus"," "
"77","",0,"Irvingia-type"," "
"78","",0,"Anthocleista"," "
"79","",0,"Acridocarpus"," "
"80","",0,"Flabellaria-type paniculata"," "
"81","",0,"Flabellariopsis acuminata"," "
"82","",0,"Triaspis-type"," "
"83","",0,"Khaya-type"," "
"84","",0,"Trichilia-type"," "
"85","",0,"Acacia"," "
"86","",0,"Albizia-type"," "
"87","",0,"Entada-type"," "
"88","",0,"Mimosa"," "
"89","",0,"Mimosa pigra-type"," "
"90","",0,"Pentaclethra macrophylla"," "
"91","",0,"Tetrapleura tetraptera-type"," "
"92","",0,"Xylia-type"," "
"93","",0,"Ficus"," "
"94","",0,"Myrianthus-type serratus"," "
"95","",0,"Treculia africana-type"," "
"96","",0,"Trilepisium-type madagascariensis"," "
