,Acacia,hcanthac,Adenia,Adiantum,Afraegle,Afzelia,Aiz.Verb,Albizia,Alchorne,Burnatia,Allophyl,Alstonia,Alternat,Amarant,Anacard,Annona,Anthocl,Antiaris,Antidesm,Aphania,Landolph,Apocynaceae,Arecace,Tub,Baissea,Balanite,Berlinia,Blighia,Bombax,Borass,Borreri,Crucifer,Bridelia,Bursera,Caesalp,Calamus,Canarium,Canthium,Capparis,Cardio,Cassia,Ceiba,Celtis,Ceratopt,Cissus,Clematis,Cnestis,Cola,Combreta,Commelin,Convolvu,Cordia,Croton,Crudia,Cucurund,Cussonia,Cycloso,Cynometr,Cyp,Dalber,Danielli,Desmodiu,Dialium,Diospyr,Dolichos,Drepano,Drypetes,Eichhorn,Elaeis,Erica,Erythro,Eugenia,Euphorbi,Fabac,Fagara,Ficus,Malphigi,Flacourt,Cucurb1,Glyphaea,Holoptel,Hymenoca,indet.,Ipomoea,Irvingia,Ixora,Justicia,Khaya,Labiatae,Leonotis,Lactucea,Lannea,Lasiod,Lauremb,Loranth,Ludwig,Macaran,Mallotus,Malvacea,Apocyn1,Menisper,Mimosa,Mimosac,Mitracar,Mitragy,Monocot,Moracea,Morelia,Morinda,Mussaend,Musanga,Nauclea,Neptunia,Nesogord,Nymphaea,Olea,Ouratea,tarinari,Passif,Paullini,Pentades,Pentodon,Tacazzea,Phoenix,Phyllant,Piptade,Poa,Podocarp,Polyga,Polyg,Portulac,Protea,Pteroc,Pteropsi,Pteropsi.1,Pycnant,Raphia,Rhizopho,Rothman,Rubiacea,Rutaceae,Saba,Salvinia,Sapinda,Sapotac,Securine,Solanum,Sterculi,Syzgi,Tetraple,Triploch,Typha,Uapaca,unknown,Urticace,Verbena,Celastra,Vitex
1,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,46,0,501,0,0,0,0,0,0,3,0,2,2,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,6,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,188,0,0,4,1,0,0,2,2,0,0,1,0,0,0,0,0,1,5,3,0,0,0,0,0,1,0,11,0,0,0,0
22,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,3,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,135,1,617,0,0,0,0,1,0,8,0,0,8,0,0,0,0,5,0,1,0,0,0,0,0,0,10,1,0,0,0,0,5,0,0,2,0,0,1,3,0,2,0,0,0,5,0,0,11,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,288,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0
41,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,26,0,240,0,0,0,0,0,0,1,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0
61,0,0,0,0,0,0,0,0,14,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,3,0,1,0,0,3,0,0,0,0,0,0,0,237,0,115,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2,1,2,0,1,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,2,5,1,5,0,0,0,0,1,1,8,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,467,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,29,0,0,0,0,0,0,1,0,3,0,0,0,0
92,0,4,0,0,0,0,0,0,14,0,0,0,1,2,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,1,36,1,0,0,0,4,0,0,0,0,0,0,0,139,0,268,0,0,0,2,1,0,0,0,0,5,0,0,1,1,2,0,4,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,104,0,0,1,0,0,0,0,0,4,0,0,0,0
113,0,1,0,0,1,0,0,0,11,0,0,0,1,1,0,1,1,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,15,35,0,2,1,0,8,2,0,0,0,0,0,0,59,5,267,0,2,0,3,2,0,0,0,0,3,0,0,0,1,3,0,8,0,2,0,0,0,0,10,1,0,2,0,0,0,0,0,4,0,0,0,5,1,6,0,0,0,2,0,0,2,3,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,219,0,0,0,0,0,2,1,0,2,0,1,0,3,0,0,3,0,79,1,0,1,0,0,1,1,0,5,0,0,0,0
145,0,1,2,0,0,0,0,0,15,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,4,0,55,6,2,1,0,2,11,0,0,0,0,0,0,0,91,2,142,0,0,0,4,5,0,0,0,0,6,0,0,0,0,2,3,19,0,0,0,0,0,3,13,0,0,2,0,0,1,0,0,0,0,0,0,3,1,11,0,0,0,1,0,0,2,6,0,8,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,351,0,0,0,0,0,0,3,1,0,2,4,0,1,0,0,0,0,86,0,0,2,2,0,0,1,2,13,0,0,0,1
167,0,0,3,0,0,0,0,0,11,0,0,1,0,2,1,2,0,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,21,5,0,4,0,0,7,0,0,0,0,1,0,0,59,3,56,0,1,0,1,0,0,0,0,0,14,0,0,3,1,5,7,18,1,3,1,0,1,0,13,0,0,0,0,0,0,0,0,2,1,0,1,1,4,10,0,0,0,1,0,0,3,3,3,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,197,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,1,2,81,1,0,3,4,0,0,1,0,5,3,0,0,0
192,0,1,1,0,0,0,0,0,14,0,1,0,0,5,0,0,0,1,2,0,0,0,2,1,3,0,0,0,0,1,0,0,3,0,13,0,0,0,1,0,3,0,17,0,1,2,0,0,9,0,0,0,0,0,0,0,86,3,91,0,0,0,2,0,0,3,0,0,32,0,0,2,0,7,8,2,0,0,0,0,4,4,11,0,0,0,0,0,0,4,0,2,0,0,2,2,5,35,0,0,1,0,0,0,1,7,0,15,0,0,1,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,89,1,0,1,1,0,0,0,0,15,1,0,0,0
212,0,0,1,0,0,0,0,0,16,0,1,0,2,1,1,0,0,1,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,2,0,39,4,0,2,0,0,1,0,0,0,0,0,0,0,101,6,78,0,1,0,0,1,0,0,0,0,9,0,0,2,0,3,17,26,0,4,0,0,6,0,23,0,0,2,0,0,0,0,1,2,0,0,0,0,4,7,0,0,0,1,0,0,16,0,0,6,0,0,1,6,0,0,3,0,1,0,1,0,0,1,0,0,1,2,271,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,2,82,0,0,1,2,0,0,1,0,9,2,0,0,2
