,CodeNames,CodeNums,FullNames,Sums
1,Acacia,0,Acacia, 
2,hcanthac,0,Acanthaceae, 
3,Adenia,0,Adenia, 
4,Adiantum,0,Adiantaceae, 
5,Afraegle,0,Afraegle, 
6,Afzelia,0,Afzelia, 
7,Aiz/Verb,0,Aizoaceae, 
8,Albizia,0,Albizia, 
9,Alchorne,0,Alchornea, 
10,Burnatia,0,Alismataceae cf.Burnatia, 
11,Allophyl,0,Allophyllus, 
12,Alstonia,0,Alstonia congensis, 
13,Alternat,0,Alternathera, 
14,Amarant,0,Amaranthaceae/Chenopodiaceae, 
15,Anacard,0,Anacardiaceae undiff., 
16,Annona,0,Annonaceae undiff., 
17,Anthocl,0,Anthocleista vogelii, 
18,Antiaris,0,Antiaris, 
19,Antidesm,0,Antidesma, 
20,Aphania,0,Aphania senegalensis, 
21,Landolph,0,Apocynaceae cf. Landolphia, 
22,Apocynaceae,0,Apocynaceae undiff., 
23,Arecace,0,Arecaceae undiff., 
24,Tub,0,Asteroideae, 
25,Baissea,0,Baissea, 
26,Balanite,0,Balanites wilsoniana, 
27,Berlinia,0,Berlinia, 
28,Blighia,0,Blighia, 
29,Bombax,0,Bombax, 
30,Borass,0,Borassus, 
31,Borreri,0,Borreria, 
32,Crucifer,0,Brassicaceae, 
33,Bridelia,0,Bridelia, 
34,Bursera,0,Burseraceae undiff., 
35,Caesalp,0,Caesalpiniaceae undiff., 
36,Calamus,0,Calamus deerratus, 
37,Canarium,0,Canarium schweinfurthii, 
38,Canthium,0,Canthium, 
39,Capparis,0,Capparis, 
40,Cardio,0,Cardiospermum, 
41,Cassia,0,Cassia, 
42,Ceiba,0,Ceiba pentandra, 
43,Celtis,0,Celtis, 
44,Ceratopt,0,Ceratopteris, 
45,Cissus,0,Cissus, 
46,Clematis,0,Clematis, 
47,Cnestis,0,Cnestis, 
48,Cola,0,Cola, 
49,Combreta,0,Combretaceae/Melastomataceae, 
50,Commelin,0,Commelina, 
51,Convolvu,0,Convolvulaceae, 
52,Cordia,0,Cordia, 
53,Croton,0,Croton, 
54,Crudia,0,Crudia, 
55,Cucurund,0,Cucurbitaceae undiff., 
56,Cussonia,0,Cussonia, 
57,Cycloso,0,Cyclosorus, 
58,Cynometr,0,Cynometra, 
59,Cyp,0,Cyperaceae, 
60,Dalber,0,Dalbergia, 
61,Danielli,0,Daniellia cf. D.pynaertii, 
62,Desmodiu,0,Desmodium cf. D.adscendens, 
63,Dialium,0,Dialium, 
64,Diospyr,0,Diospyros, 
65,Dolichos,0,Dolichos, 
66,Drepano,0,Drepanocarpus lunatus, 
67,Drypetes,0,Drypetes, 
68,Eichhorn,0,Eichhornia, 
69,Elaeis,0,Elaeis guineensis, 
70,Erica,0,Ericaceae, 
