"","Alchorne","Cleistan","Uapaca","Pentacle","Pycnanth","Syzygium","Ligulifl","Sapotace","Graminea","Elaeis.g","Tubulifl","Bridelia","Indeterm","Croton.t","Tetrorch","Landolph","Tacazzea","Cyperace","Acanthac","Monocoty","Macarang","Anthocle","Moraceae","Ficus","Campylos","Tiliacea","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Commelin","Laurembe","Hymenoca","Utricula","Flabella","Calpocal","Entada.t","Trilepis","Nymphaea","Canthium","Canthium.1","Gaertner","Hallea.t","Pausinys","Stipular","Xyris","Dracaena","Crudia.t","Papilion","Anacardi","Celtis","Combreta","Lorantha","Sapindac","Rutaceae","Harungan","Polygala","Spermaco","Tetracer","Guibourt","Teclea.t","Chron1","Chron10","Chron20"
"41",20,0,0,0,0,132,0,8,41,1,0,0,12,0,0,0,1,4,0,0,8,0,1,0,17,0,0,2,8,9,4,6,1,1,1,0,0,0,0,1,0,0,1,7,0,6,4,19,0,0,0,0,2,48,0,0,1,1,0,0,0,0,0,1113.63635253906,966.636352539062,996.772705078125
"47",34,5,0,1,0,86,0,9,50,2,0,0,18,2,0,0,1,7,0,1,7,1,2,0,19,0,0,1,11,8,4,1,1,3,0,0,0,0,0,1,0,0,7,13,0,8,9,20,0,0,0,4,6,85,2,0,2,0,0,0,0,0,0,1566.36364746094,1488.36364746094,1497.22729492188
"48",20,0,0,0,0,116,0,12,30,0,1,0,14,1,0,1,0,2,0,0,5,0,0,0,26,0,0,1,25,10,0,4,0,1,0,0,0,0,0,0,0,0,10,6,0,8,6,16,0,0,0,3,0,63,0,0,2,0,0,0,0,0,0,1641.81823730469,1575.31823730469,1580.63635253906
"54",20,4,0,0,1,130,0,9,52,0,0,0,17,1,0,0,2,1,0,0,5,0,1,0,20,0,0,2,8,8,2,5,0,0,2,0,0,1,0,0,0,0,3,2,0,13,7,27,0,0,2,6,7,53,1,1,0,0,1,0,0,0,0,2094.54541015625,2097.04541015625,2081.0908203125
"58",19,0,0,0,0,35,0,4,101,1,0,0,9,0,1,0,0,1,0,0,6,0,2,0,4,0,0,0,4,5,6,0,0,0,4,0,0,0,0,0,0,0,0,2,0,5,37,44,0,1,0,4,12,21,1,1,0,0,0,1,0,0,0,2344,2402.88745117188,2392.42504882812
"63",21,3,0,0,1,166,0,6,6,0,0,0,13,6,0,0,0,0,1,0,4,0,0,0,20,0,0,0,18,9,1,2,0,0,0,0,1,0,1,0,0,0,5,1,0,7,1,3,0,0,1,3,3,59,1,0,0,0,0,0,1,0,0,2634,2767.69995117188,2772.30004882812
"68",26,0,0,0,0,139,0,13,6,0,0,0,27,5,0,0,0,0,0,0,9,0,1,0,20,0,0,0,13,9,1,3,0,1,0,0,0,0,0,0,0,5,2,10,0,5,4,9,0,0,0,0,5,72,2,0,0,0,0,0,0,0,4,2924,3132.51245117188,3152.17504882812
"73",7,0,0,0,0,135,0,5,4,0,1,0,19,4,0,0,0,0,0,0,4,0,0,0,52,0,0,0,9,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,1,31,2,0,0,1,0,0,0,0,0,3214,3497.32495117188,3532.05004882812
"80",15,1,0,0,0,133,0,6,6,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,20,0,0,1,8,7,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,5,1,1,0,0,1,3,2,23,0,0,0,0,0,0,0,0,0,3620,4008.0625,4063.875
"81",11,2,0,0,0,151,0,8,5,0,0,0,15,4,0,0,0,1,0,0,2,0,1,0,25,0,0,1,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,10,1,0,1,0,3,4,0,52,2,0,1,0,0,0,0,0,0,3678,4081.02490234375,4139.85009765625
"86",29,0,0,0,0,189,1,128,6,0,0,0,20,3,0,0,0,0,0,0,12,1,0,0,17,0,0,0,18,11,1,5,0,0,0,0,0,0,0,0,0,9,1,4,0,12,3,2,0,0,3,0,1,35,0,0,0,1,0,0,2,2,4,3968,4445.83740234375,4519.72509765625
"94",6,0,0,0,0,167,0,7,1,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,14,0,1,0,13,2,0,3,0,1,0,0,0,0,0,0,1,1,5,12,0,7,5,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,4432,5029.53759765625,5127.52490234375
"95",12,3,1,0,0,184,0,29,2,0,1,1,13,2,0,0,1,0,0,0,1,0,0,0,25,0,0,2,20,3,0,4,0,1,0,1,2,0,0,0,0,1,6,3,0,10,0,3,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,4490,5102.5,5203.5
"97",7,3,0,0,0,98,0,46,1,0,0,0,10,2,0,0,1,0,0,0,5,0,1,0,29,0,0,0,13,3,0,4,0,1,0,0,0,0,0,0,0,0,2,4,0,14,0,0,0,0,3,1,0,24,0,0,0,1,0,0,2,0,0,4606,5248.4248046875,5355.4501953125
"100",20,1,0,1,1,212,0,27,7,0,0,0,16,5,0,0,0,0,0,0,5,0,0,2,24,1,0,0,9,2,0,1,0,0,0,0,1,0,0,0,0,0,5,2,0,7,1,2,1,0,0,0,2,53,0,0,0,0,0,0,2,0,0,4780,5467.3125,5583.375
