"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Alchornea"," "
"2","",0,"Cleistanthus"," "
"3","",0,"Uapaca"," "
"4","",0,"Pentaclethra macrophylla"," "
"5","",0,"Pycnanthus"," "
"6","",0,"Syzygium"," "
"7","",0,"Liguliflorae"," "
"8","",0,"Sapotaceae"," "
"9","",0,"Gramineae"," "
"10","",0,"Elaeis guineensis"," "
"11","",0,"Tubuliflorae"," "
"12","",0,"Bridelia"," "
"13","",0,"Indetermines"," "
"14","",0,"Croton-type"," "
"15","",0,"Tetrorchidium"," "
"16","",0,"Landolphia-type"," "
"17","",0,"Tacazzea apiculata-type"," "
"18","",0,"Cyperaceae"," "
"19","",0,"Acanthaceae"," "
"20","",0,"Monocotyledoneae"," "
"21","",0,"Macaranga"," "
"22","",0,"Anthocleista"," "
"23","",0,"Moraceae"," "
"24","",0,"Ficus"," "
"25","",0,"Campylospermum"," "
"26","",0,"Tiliaceae"," "
"27","",0,"Podocarpus"," "
"28","",0,"Rubiaceae"," "
"29","",0,"Allophylus"," "
"30","",0,"Monoletes"," "
"31","",0,"Triletes"," "
"32","",0,"Polypodiaceae"," "
"33","",0,"Commelina benghalensis-type"," "
"34","",0,"Laurembergia tetrandra"," "
"35","",0,"Hymenocardia"," "
"36","",0,"Utricularia"," "
"37","",0,"Flabellaria-type paniculata"," "
"38","",0,"Calpocalyx-type letestui"," "
"39","",0,"Entada-type"," "
"40","",0,"Trilepisium-type madagascariensis"," "
"41","",0,"Nymphaea lotus-type"," "
"42","",0,"Canthium gueinzii-type"," "
"43","",0,"Canthium schimperianum-type"," "
"44","",0,"Gaertnera paniculata-type"," "
"45","",0,"Hallea-type rubrostipulata"," "
"46","",0,"Pausinystalia-type macroceras"," "
"47","",0,"Stipularia africana"," "
"48","",0,"Xyris"," "
"49","",0,"Dracaena steudneri-type"," "
"50","",0,"Crudia-type gabonensis"," "
"51","",0,"Papilionoideae"," "
"52","",0,"Anacardiaceae"," "
"53","",0,"Celtis"," "
"54","",0,"Combretaceae"," "
"55","",0,"Loranthaceae"," "
"56","",0,"Sapindaceae"," "
"57","",0,"Rutaceae"," "
"58","",0,"Harungana"," "
"59","",0,"Polygala"," "
"60","",0,"Spermacoce"," "
"61","",0,"Tetracera"," "
"62","",0,"Guibourtia-type demeusii"," "
"63","",0,"Teclea-type"," "
"64","Chron1",0,"Sample age"," "
"65","Chron10",0,"Sample age"," "
"66","Chron20",0,"Sample age"," "
