"","Antrocar","Dacryode","Diospyro","Alchorne","Cleistan","Uapaca","Pentacle","Pentacle.1","Pycnanth","Syzygium","Cassia.t","Ligulifl","Sapotace","Graminea","Elaeis.g","Bridelia","Indeterm","Croton.t","Tetrorch","Landolph","Tacazzea","Cyperace","Monocoty","Macarang","Anthocle","Moraceae","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Caesalpi","Harungan","Pentades","Laurembe","Iodes","Legumino","Flabella","Calpocal","Trilepis","Canthium","Canthium.1","Hallea.t","Pausinys","Spermaco","Stipular","Lecaniod","Cleroden","Xyris","Sphagnum","Crudia.t","Papilion","Tetracer","Anacardi","Celtis","Combreta","Euphorbi","Lorantha","Baikiaea","Rutaceae","Eriocaul","Olea","Polygala","Commelin","Treculia","Legumino.1","Chron1","Chron10","Chron20"
"5",0,0,0,18,4,1,0,0,1,247,1,0,10,31,1,0,13,4,0,0,0,2,3,8,0,1,12,0,18,21,5,1,1,0,0,0,1,0,1,1,0,0,0,4,0,8,0,2,0,1,17,0,0,3,2,0,5,41,1,3,0,0,0,0,1,0,0,0,2626.66674804688,2707.5,2706.16674804688
"15",4,8,0,22,1,2,1,1,0,247,0,1,19,33,0,1,28,6,0,0,1,1,0,7,0,0,11,1,2,19,4,5,5,0,1,0,2,1,3,0,0,1,1,8,1,12,0,0,0,0,15,0,0,5,1,0,9,54,0,1,1,0,1,1,0,1,0,0,2720,2864.5,2847.5
"35",0,5,0,17,2,0,0,0,0,97,0,0,4,71,0,0,8,0,1,0,0,3,0,6,0,0,14,0,4,15,3,7,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,2,0,5572.173828125,6318.4130859375,6316.63037109375
"50",0,3,1,16,0,0,1,0,1,162,0,0,4,74,2,0,24,0,1,0,0,7,0,14,0,2,18,0,10,14,18,4,1,0,0,0,3,0,1,0,0,0,0,3,0,3,0,3,1,0,63,0,0,0,1,0,1,56,0,0,0,0,0,0,0,0,0,0,6810,7700.5,7709
"70",0,1,0,16,0,0,0,0,0,89,0,0,7,44,0,0,9,3,0,0,0,4,0,3,1,0,22,0,5,11,9,2,2,4,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,0,34,0,0,0,0,0,1,30,0,1,0,0,1,0,0,1,1,0,8160,9140.5,9162.3330078125
"95",0,7,0,15,1,0,0,0,0,138,0,0,4,18,0,0,19,1,0,0,1,0,1,3,0,0,14,0,1,17,12,1,1,0,2,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,14,0,0,0,1,0,1,37,0,0,0,0,1,0,0,0,0,0,9847.5,10940.5,10979
"125",0,10,0,18,1,0,0,0,0,162,0,0,7,13,0,0,8,1,1,0,3,0,1,7,0,0,15,0,1,11,8,1,3,0,2,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,18,0,2,0,1,0,2,46,0,1,0,0,2,0,0,0,0,0,11872.5,13100.5,13159
"160",0,8,1,19,1,0,0,0,0,151,0,0,8,27,0,0,9,1,0,0,0,4,0,7,1,0,26,0,12,13,15,3,3,0,0,0,1,0,0,0,0,0,0,8,0,2,1,1,0,0,24,0,2,0,0,0,3,48,0,2,0,0,0,0,0,0,2,0,14235,15620.5,15702.3330078125
"170",0,5,0,24,0,0,0,0,0,134,0,0,15,34,0,0,7,0,0,0,2,1,0,6,1,0,25,0,14,22,18,1,3,0,0,0,1,0,3,0,0,0,1,14,0,4,0,0,0,0,22,0,0,0,0,0,1,67,0,0,0,0,2,0,0,0,0,0,14910,16340.5,16429
"185",0,10,0,14,0,0,0,0,0,236,0,0,10,14,0,0,22,0,0,1,0,0,1,7,0,0,16,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,11,0,1,0,0,11,0,0,1,2,0,4,72,0,0,0,0,0,0,0,0,0,0,15922.5,17420.5,17519
"210",0,7,0,32,0,0,0,0,0,152,0,0,10,23,0,0,8,1,0,0,0,1,0,3,0,0,25,0,11,18,14,4,1,0,0,0,2,0,4,0,0,0,0,5,0,13,0,0,0,0,15,0,0,1,0,0,2,92,0,1,0,0,0,0,0,0,0,0,17610,19220.5,19335.666015625
"235",0,3,0,19,0,1,0,1,0,72,0,0,4,67,3,1,6,2,2,0,0,3,0,10,0,0,23,0,10,11,17,2,1,0,0,0,1,0,1,3,0,0,0,6,0,9,0,1,0,0,98,0,0,0,0,0,7,32,0,1,0,0,0,0,0,0,0,0,19297.5,21020.5,21152.333984375
"255",0,6,0,24,1,0,0,0,0,79,0,0,5,38,0,0,4,1,1,0,0,3,0,9,0,0,13,0,8,10,11,1,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,6,0,0,32,0,0,0,0,0,3,43,0,2,0,0,0,0,0,0,0,0,20647.5,22460.5,22605.666015625
"290",0,4,0,92,0,0,0,0,0,22,0,4,2,72,2,0,26,0,1,0,1,1,0,10,0,1,9,0,2,2,74,4,1,0,1,0,13,0,0,3,0,0,5,1,0,2,0,1,0,0,17,3,0,0,0,0,4,38,0,1,0,1,0,0,1,0,0,0,23010,24980.5,25149
