"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Dacryodes-type"," "
"3","",0,"Diospyros"," "
"4","",0,"Alchornea"," "
"5","",0,"Cleistanthus"," "
"6","",0,"Uapaca"," "
"7","",0,"Pentaclethra eetveldeana"," "
"8","",0,"Pentaclethra macrophylla"," "
"9","",0,"Pycnanthus"," "
"10","",0,"Syzygium"," "
"11","",0,"Cassia-type"," "
"12","",0,"Liguliflorae"," "
"13","",0,"Sapotaceae"," "
"14","",0,"Gramineae"," "
"15","",0,"Elaeis guineensis"," "
"16","",0,"Bridelia"," "
"17","",0,"Indetermines"," "
"18","",0,"Croton-type"," "
"19","",0,"Tetrorchidium"," "
"20","",0,"Landolphia-type"," "
"21","",0,"Tacazzea apiculata-type"," "
"22","",0,"Cyperaceae"," "
"23","",0,"Monocotyledoneae"," "
"24","",0,"Macaranga"," "
"25","",0,"Anthocleista"," "
"26","",0,"Moraceae"," "
"27","",0,"Campylospermum"," "
"28","",0,"Podocarpus"," "
"29","",0,"Rubiaceae"," "
"30","",0,"Allophylus"," "
"31","",0,"Monoletes"," "
"32","",0,"Triletes"," "
"33","",0,"Polypodiaceae"," "
"34","",0,"Caesalpinioideae"," "
"35","",0,"Harungana madagascariensis"," "
"36","",0,"Pentadesma"," "
"37","",0,"Laurembergia tetrandra"," "
"38","",0,"Iodes"," "
"39","",0,"Leguminosae"," "
"40","",0,"Flabellaria-type paniculata"," "
"41","",0,"Calpocalyx-type letestui"," "
"42","",0,"Trilepisium-type madagascariensis"," "
"43","",0,"Canthium gueinzii-type"," "
"44","",0,"Canthium schimperianum-type"," "
"45","",0,"Hallea-type rubrostipulata"," "
"46","",0,"Pausinystalia-type macroceras"," "
"47","",0,"Spermacoce-type"," "
"48","",0,"Stipularia africana"," "
"49","",0,"Lecaniodiscus-type cupanioides"," "
"50","",0,"Clerodendron"," "
"51","",0,"Xyris"," "
"52","",0,"Sphagnum"," "
"53","",0,"Crudia-type gabonensis"," "
"54","",0,"Papilionoideae"," "
"55","",0,"Tetracera alnifolia"," "
"56","",0,"Anacardiaceae"," "
"57","",0,"Celtis"," "
"58","",0,"Combretaceae"," "
"59","",0,"Euphorbiaceae"," "
"60","",0,"Loranthaceae"," "
"61","",0,"Baikiaea"," "
"62","",0,"Rutaceae"," "
"63","",0,"Eriocaulaceae"," "
"64","",0,"Olea"," "
"65","",0,"Polygala"," "
"66","",0,"Commelina benghalensis"," "
"67","",0,"Treculia africana"," "
"68","",0,"Leguminosae Sp1"," "
"69","Chron1",0,"Sample age"," "
"70","Chron10",0,"Sample age"," "
"71","Chron20",0,"Sample age"," "
