"","Diospyro","Alchorne","Cleistan","Pycnanth","Syzygium","Rhus.typ","Cassia.t","Ligulifl","Sapotace","Graminea","Tubulifl","Bridelia","Celastra","Indeterm","Croton.t","Tetrorch","Cyperace","Monocoty","Macarang","Anthocle","Tapinant","Ficus","Campylos","Podocarp","Rubiacea","Allophyl","Typha","Monolete","Triletes","Caesalpi","Ilex.mit","Ascolepi","Chaetoca","Garcinia","Hypericu","Pentades","Psorospe","Laurembe","Hymenoca","Iodes","Legumino","Flabella","Entada.t","Myrianth","Trilepis","Myrica","Nymphaea","Anacolos","Olea.cap","Canthium","Gaertner","Hymenodi","Rubia.ty","Stipular","Zanthoxy","Blighia.","Trema.ty","Verbenac","Cleroden","Anthocer","Sphagnum","Sericost","Begonia","Antidesm","Papilion","Urticace","Celtis","Combreta","Euphorbi","Gentiana","Lannea.t","Trichosc","Cucurbit","Phyllant","Ekebergi","Polygala","Clematis","Securine","Parinari","Achyrant","Haematos","Treculia","Guibourt","Indigofe","Rhynchos","Commelin","Hypoeste","Vangueri","Eriocaul","Gilberti","Bombax.b","Teclea.t"
"0",0,10,0,0,241,0,0,0,4,35,0,1,0,2,1,4,3,12,6,0,0,1,6,0,0,6,0,18,1,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0
"1",0,27,0,0,182,0,0,0,0,9,0,0,0,10,1,0,0,2,6,0,0,0,44,0,0,19,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,81,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"5",0,3,0,0,536,0,1,0,0,26,0,0,0,17,0,0,2,2,8,0,0,0,278,0,0,7,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,11,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"9",0,3,4,0,290,0,0,0,2,4,1,0,0,8,1,2,5,0,5,1,7,0,7,1,3,21,0,27,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,11,5,0,70,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10.4",0,6,0,0,555,0,0,1,0,15,0,0,0,3,0,1,1,0,7,0,0,0,9,3,11,2,0,18,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,47,0,1,0,0,0,0,0,0,0,0,0,9,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12.5",0,2,0,0,1113,1,2,0,0,14,0,0,0,3,0,3,1,0,15,1,0,0,8,5,0,2,0,15,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,2,0,7,0,0,0,1,0,0,0,0,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15.5",0,1,0,0,568,1,1,2,2,23,0,0,0,5,0,2,1,0,16,1,0,0,9,14,0,2,0,7,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,11,1,1,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,3,0,0,996,0,4,3,0,4,0,0,0,4,0,5,0,0,18,1,0,0,1,5,1,3,0,42,2,0,0,0,0,0,0,0,2,6,0,0,2,2,0,0,0,0,0,0,0,1,3,5,0,49,0,0,0,1,0,0,0,0,0,6,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"20.5",0,4,0,0,612,0,0,0,0,8,0,0,0,3,1,7,1,0,20,0,0,0,1,0,0,1,0,54,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,4,0,3,0,40,1,0,0,7,0,0,0,0,0,1,0,3,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,2,0,0,473,0,0,1,1,9,0,0,0,5,2,5,1,0,25,0,1,0,1,4,0,1,0,43,0,0,0,3,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,3,4,5,0,51,0,0,0,1,0,0,0,0,0,1,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
