"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Diospyros"," "
"2","",0,"Alchornea",""
"3","",0,"Cleistanthus",""
"4","",0,"Pycnanthus",""
"5","",0,"Syzygium",""
"6","",0,"Rhus-type",""
"7","",0,"Cassia-type",""
"8","",0,"Liguliflorae",""
"9","",0,"Sapotaceae",""
"10","",0,"Gramineae",""
"11","",0,"Tubuliflorae",""
"12","",0,"Bridelia",""
"13","",0,"Celastraceae",""
"14","",0,"Indetermines",""
"15","",0,"Croton-type",""
"16","",0,"Tetrorchidium",""
"17","",0,"Cyperaceae",""
"18","",0,"Monocotyledoneae",""
"19","",0,"Macaranga",""
"20","",0,"Anthocleista",""
"21","",0,"Tapinanthus",""
"22","",0,"Ficus",""
"23","",0,"Campylospermum",""
"24","",0,"Podocarpus",""
"25","",0,"Rubiaceae",""
"26","",0,"Allophylus",""
"27","",0,"Typha",""
"28","",0,"Monoletes",""
"29","",0,"Triletes",""
"30","",0,"Caesalpinioideae",""
"31","",0,"Ilex mitis",""
"32","",0,"Ascolepis",""
"33","",0,"Chaetocarpus-type",""
"34","",0,"Garcinia",""
"35","",0,"Hypericum",""
"36","",0,"Pentadesma",""
"37","",0,"Psorospermum febrifugum-type",""
"38","",0,"Laurembergia tetrandra",""
"39","",0,"Hymenocardia",""
"40","",0,"Iodes",""
"41","",0,"Leguminosae",""
"42","",0,"Flabellaria-type paniculata",""
"43","",0,"Entada-type",""
"44","",0,"Myrianthus-type holstii",""
"45","",0,"Trilepisium-type madagascariensis",""
"46","",0,"Myrica",""
"47","",0,"Nymphaea lotus-type",""
"48","",0,"Anacolosa uncifera",""
"49","",0,"Olea capensis",""
"50","",0,"Canthium gueinzii-type",""
"51","",0,"Gaertnera paniculata-type",""
"52","",0,"Hymenodictyon-type floribundum",""
"53","",0,"Rubia-type",""
"54","",0,"Stipularia africana",""
"55","",0,"Zanthoxylum-type usambarense",""
"56","",0,"Blighia-type unijugata",""
"57","",0,"Trema-type orientalis",""
"58","",0,"Verbenaceae",""
"59","",0,"Clerodendron",""
"60","",0,"Anthocerotaceae",""
"61","",0,"Sphagnum",""
"62","",0,"Sericostachys-type scandens",""
"63","",0,"Begonia",""
"64","",0,"Antidesma",""
"65","",0,"Papilionoideae",""
"66","",0,"Urticaceae",""
"67","",0,"Celtis",""
"68","",0,"Combretaceae",""
"69","",0,"Euphorbiaceae",""
"70","",0,"Gentianaceae",""
"71","",0,"Lannea-type",""
"72","",0,"Trichoscypha-type arborea",""
"73","",0,"Cucurbitaceae",""
"74","",0,"Phyllanthus niruri",""
"75","",0,"Ekebergia",""
"76","",0,"Polygala",""
"77","",0,"Clematis",""
"78","",0,"Securinega virosa",""
"79","",0,"Parinari",""
"80","",0,"Achyranthes aspera",""
"81","",0,"Haematostaphis barteri",""
"82","",0,"Treculia africana",""
"83","",0,"Guibourtia-type demeusii",""
"84","",0,"Indigofera",""
"85","",0,"Rhynchosia",""
"86","",0,"Commelina forskalaei",""
"87","",0,"Hypoestes",""
"88","",0,"Vangueria",""
"89","",0,"Eriocaulon",""
"90","",0,"Gilbertiodendron-type mayombense",""
"91","",0,"Bombax buonopozense-type",""
"92","",0,"Teclea-type",""
