,Aizoacea,Alchorne,Anacardi,Arecacea,Artemisi,Composit,Composit.1,Balanite,Blighia.,Borreria,Boscia.t,Brassica,Bridelia,Burkea,Cadaba,Canthium,Capparid,Caryophy,Cassia.t,Celtis..,Amaranth,Clausena,Clematis,Cnestis.,Combreta,Corbicho,Cyperace,Diospyro,Dodonaea,Ericacea,Euphorbi,Indeterm,Lannea,Lophira,Manilkar,Meliacea,Mimosoid,Mitracar,Mitragyn,Myrica..,Nauclea.,Oleaceae,Phyllant,Pinus,Poaceae,Podocarp,Protea,Pycnanth,Rhamnace,Rhizopho,Rhus type,Rhynchos,Rubiacea,Salvador,Sopubia,Syzygium,Tetrorch,Thymelae,Trichili,Typha.an,Uapaca,Urticace,Zygophyl,Monolete,Monolete.1,Pteris,Trilete.,Trilete..1,Fern.spo,Chron1
41,0,13,1,2,5,0,0,0,1,0,2,0,0,0,0,1,0,0,5,4,0,0,1,4,4,0,8,1,0,0,2,0,1,0,0,2,0,0,0,1,14,0,1,0,20,14,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,34,10,4,9,8,65,5220
52,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,19020
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3,21000
71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000
81,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,21,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,3,1,10,25300
92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,27370
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,28900
111,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,2,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,0,4,1,20,31400
122,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,34040
131,0,3,0,0,4,0,5,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,3,1,1,26,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,43,20,0,1,0,3,0,0,1,0,0,0,0,3,0,1,1,0,0,5,14,0,3,1,23,36200
142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,38840
151,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,12,41000
161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,43400
172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,46040
181,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,0,13,48200
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,50839
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,1,2,12,53229
212,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,6,55502
221,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,1,0,13,56600
231,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,2,5,0,18,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,61,18,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,9,8,1,5,0,23,59600
242,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,1,16,62830
252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,7,65010
262,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,3,2,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,16,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,20,3,0,0,7,30,66110
