,CodeNames,CodeNums,FullNames,Sums
1,,0,Aizoaceae, 
2,,0,Alchornea, 
3,,0,Anacardiaceae, 
4,,0,Arecaceae, 
5,,0,Artemisia (Africa), 
6,,0,Compositae Liguliflorae, 
7,,0,Compositae Tubuliflorae, 
8,,0,Balanites, 
9,,0,Blighia-type, 
10,,0,Borreria, 
11,,0,Boscia-type, 
12,,0,Brassicaceae, 
13,,0,Bridelia, 
14,,0,Burkea, 
15,,0,Cadaba, 
16,,0,Canthium, 
17,,0,Capparidaceae, 
18,,0,Caryophyllaceae, 
19,,0,Cassia-type, 
20,,0,Celtis (Africa), 
21,,0,Amaranthaceae/Chenopodiaceae, 
22,,0,Clausena, 
23,,0,Clematis-type, 
24,,0,Cnestis-type, 
25,,0,Combretaceae/Melastomataceae, 
26,,0,Corbichonia, 
27,,0,Cyperaceae (Africa), 
28,,0,Diospyros, 
29,,0,Dodonaea viscosa, 
30,,0,Ericaceae (Africa), 
31,,0,Euphorbiaceae (Africa), 
32,,0,Indeterminata/Varia, 
33,,0,Lannea, 
34,,0,Lophira, 
35,,0,Manilkara, 
36,,0,Meliaceae, 
37,,0,Mimosoideae, 
38,,0,Mitracarpus, 
39,,0,Mitragyna, 
40,,0,Myrica (Africa), 
41,,0,Nauclea/Mitragyna, 
42,,0,Oleaceae (Africa), 
43,,0,Phyllanthus, 
44,,0,Pinus, 
45,,0,Poaceae Undiff., 
46,,0,Podocarpus, 
47,,0,Protea, 
48,,0,Pycnanthus, 
49,,0,Rhamnaceae (Africa), 
50,,0,Rhizophora, 
51,,0,Rhus-type, 
52,,0,Rhynchosia-type, 
53,,0,Rubiaceae (Africa), 
54,,0,Salvadora persica, 
55,,0,Sopubia, 
56,,0,Syzygium-type, 
57,,0,Tetrorchidium, 
58,,0,Thymelaeaceae (Africa), 
59,,0,Trichilia, 
60,,0,Typha angustifolia-type, 
61,,0,Uapaca, 
62,,0,Urticaceae (Africa), 
63,,0,Zygophyllum, 
64,,0,Monolete psilate spores, 
65,,0,Monolete verrucate spores, 
66,,0,Pteris, 
67,,0,Trilete psilate spores, 
68,,0,Trilete verrucate spores, 
69,,0,Fern spores, 
70,Chron1,0,Sample age, 
