"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Acalypha"," "
"2","",0,"Acanthaceae diporate"," "
"3","",0,"Acanthaceae prolate"," "
"4","",0,"Aizoaceae"," "
"5","",0,"Alchornea"," "
"6","",0,"Ambrosiinae"," "
"7","",0,"Antidesma"," "
"8","",0,"Artemisia"," "
"9","",0,"Bauhinia"," "
"10","",0,"Brachylaena"," "
"11","",0,"Cadaba"," "
"12","",0,"Caesalpinioideae"," "
"13","",0,"Capparis"," "
"14","",0,"Celtis"," "
"15","",0,"Combretaceae/Melastomataceae"," "
"16","",0,"Commiphora"," "
"17","",0,"Cyperaceae"," "
"18","",0,"Dorstenia"," "
"19","",0,"Elaeis guineensis"," "
"20","",0,"Equisetum"," "
"21","",0,"Ericaceae"," "
"22","",0,"Euphorbia"," "
"23","",0,"Fagara"," "
"24","",0,"Faurea"," "
"25","",0,"Ficus"," "
"26","",0,"Gramineae"," "
"27","",0,"Helichrysum"," "
"28","",0,"Hippocratea"," "
"29","",0,"Holoptelea"," "
"30","",0,"Hymenocardia"," "
"31","",0,"Julbernardia"," "
"32","",0,"Liliaceae"," "
"33","",0,"Lycopodium"," "
"34","",0,"Maesa"," "
"35","",0,"Malvaceae"," "
"36","",0,"Meliaceae"," "
"37","",0,"Monoletes"," "
"38","",0,"Myrica"," "
"39","",0,"Olea"," "
"40","",0,"Palmae"," "
"41","",0,"Pandanus"," "
"42","",0,"Phyllanthus"," "
"43","",0,"Pinus"," "
"44","",0,"Podocarpus"," "
"45","",0,"Polypodiaceae"," "
"46","",0,"Pteridium"," "
"47","",0,"Salix"," "
"48","",0,"Salvadoraceae"," "
"49","",0,"Selaginella"," "
"50","",0,"Syzygium"," "
"51","",0,"Tapinanthus"," "
"52","",0,"Taxodiaceae"," "
"53","",0,"Trilete echinate"," "
"54","",0,"Trilete psilate"," "
"55","",0,"Trilete rugulate"," "
"56","",0,"Trilete verrucate"," "
"57","",0,"Typha"," "
"58","",0,"Urticaceae/Moraceae"," "
"59","",0,"Indetermines"," "
"60","",0,"Indeterminables"," "
"61","Chron1",0,"Sample age"," "
"62","Chron10",0,"Sample age"," "
