"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Alchornea"," "
"2","",0,"Syzygium"," "
"3","",0,"Fagara"," "
"4","",0,"Gramineae"," "
"5","",0,"Bridelia"," "
"6","",0,"Pteridophytae"," "
"7","",0,"Indetermines"," "
"8","",0,"Polygonum"," "
"9","",0,"Cyperaceae"," "
"10","",0,"Amaranthaceae"," "
"11","",0,"Compositae"," "
"12","",0,"Dodonaea"," "
"13","",0,"Macaranga"," "
"14","",0,"Phyllanthus"," "
"15","",0,"Ficus"," "
"16","",0,"Nymphaea"," "
"17","",0,"Podocarpus"," "
"18","",0,"Canthium"," "
"19","",0,"Allophylus"," "
"20","",0,"Typha"," "
"21","",0,"Acalypha"," "
"22","",0,"Euphorbia"," "
"23","",0,"Hypericum"," "
"24","",0,"Hymenocardia"," "
"25","",0,"Myrica"," "
"26","",0,"Jasminum"," "
"27","",0,"Solanum"," "
"28","",0,"Grewia"," "
"29","",0,"Pygeum"," "
"30","",0,"Umbelliferae"," "
"31","",0,"Urticaceae"," "
"32","",0,"Tribulus"," "
"33","",0,"Celtis"," "
"34","",0,"Combretaceae"," "
"35","",0,"Ericaceae"," "
"36","",0,"Impatiens"," "
"37","",0,"Loranthaceae"," "
"38","",0,"Schefflera"," "
"39","",0,"Albizzia"," "
"40","",0,"Harungana"," "
"41","",0,"Justicia"," "
"42","",0,"Rhus"," "
"43","",0,"Ilex"," "
"44","",0,"Polyscias"," "
"45","",0,"Croton"," "
"46","",0,"Symphonia"," "
"47","",0,"Apodytes"," "
"48","",0,"Aloe"," "
"49","",0,"Bersama"," "
"50","",0,"Olea"," "
"51","",0,"Kotschya"," "
"52","",0,"Vigna"," "
"53","",0,"Polygala"," "
"54","",0,"Protea"," "
"55","",0,"Hagenia"," "
"56","",0,"Prunus"," "
"57","",0,"Galiniera"," "
"58","",0,"Trema"," "
"59","",0,"Capparis"," "
"60","",0,"Sapium"," "
"61","",0,"Pterocarpus"," "
"62","",0,"Ziziphus"," "
"63","",0,"Maytenus"," "
"64","",0,"Dombeya"," "
"65","",0,"Haloragaceae"," "
"66","",0,"Chrysophyllum"," "
"67","",0,"Cissus"," "
"68","",0,"Indigofera"," "
"69","",0,"Psychotria"," "
"70","",0,"Triumfetta"," "
"71","",0,"Cassipourea"," "
"72","",0,"Tricalysia"," "
"73","",0,"Ocimum"," "
"74","",0,"Kalanchoe"," "
"75","",0,"Cadaba"," "
"76","",0,"Maesa"," "
"77","",0,"Carapa/Ekebergia"," "
"78","",0,"Entandrophragma"," "
"79","",0,"Strombosia"," "
"80","",0,"Neoboutonia"," "
"81","",0,"Abutilon"," "
"82","",0,"Sideroxylon"," "
"83","",0,"Lawsonia"," "
"84","",0,"Ludwigia"," "
"85","",0,"Agrocharis"," "
"86","Chron1",0,"Sample age"," "
"87","Chron10",0,"Sample age"," "
