"","Diospyro","Alchorne","Uapaca","Meliacea","Pycnanth","Syzygium","Sapotace","Graminea","Bridelia","Indeterm","Flacourt","Croton.t","Landolph","Cyperace","Amaranth","Composit","Macarang","Phyllant","Tiliacea","Podocarp","Rubiacea","Canthium","Allophyl","Typha","Euclea","Hypericu","Hymenoca","Utricula","Lobelia","Jasminum","Alchemil","Anthospe","Antidesm","Linocier","Rumex","Potamoge","Umbellif","Anacardi","Capparid","Celtis","Combreta","Ericacea","Euphorbi","Impatien","Labiatae","Lorantha","Caryophy","Clutia","Albizzia","Crucifer","Cucurbit","Harungan","Ilex","Polyscia","Cassia","Ipomaea","Symphoni","Apodytes","Olea","Kotschya","Vigna","Polygala","Clematis","Hagenia","Parinari","Prunus","Zanthoxy","Ficalhoa","Trema","Hygrophi","Convolvu","Sapium","Liliacea","Pterocar","Polygona","Rosaceae","Pavetta","Maytenus","Dombeya","Haloraga","Cissus","Psychotr","Cassipou","Erythrin","Crotalar","Eugenia","Bignonia","Maesa","Strombos","Proteace","Newtonia","Afrocran","Chron1","Chron10"
"5",0,0,0,0,0,28,0,27,0,17,0,1,0,65,0,15,17,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.78048801422119,6.56097555160522
"45",0,1,0,3,3,19,0,101,0,16,0,0,0,498,6,72,44,1,2,23,0,0,0,1,0,4,1,0,2,1,1,0,1,0,0,8,0,0,0,8,4,2,3,90,1,0,0,0,3,0,0,0,2,0,0,0,0,3,11,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,4,0,0,79.0243911743164,59.0487823486328
"55",0,1,0,1,0,9,0,62,0,11,0,0,0,884,1,106,16,0,1,36,1,0,0,2,0,6,1,0,0,0,1,0,0,0,0,5,0,0,0,11,0,10,1,154,0,0,0,0,0,0,0,0,3,1,0,0,0,0,28,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,96.5853652954102,72.1707305908203
"85",0,1,0,2,3,8,1,75,0,6,0,0,0,747,4,84,26,0,1,33,0,1,0,0,0,19,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,18,2,120,0,0,0,0,0,0,0,0,2,1,0,0,0,1,15,0,0,0,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,149.268295288086,111.536582946777
"95",0,3,0,4,0,5,0,144,0,34,0,1,0,71,3,116,31,0,1,19,18,1,0,0,0,21,0,0,0,0,1,0,0,0,0,8,0,0,0,3,1,5,0,117,0,0,0,0,21,0,0,0,3,0,0,0,0,0,20,0,0,0,0,71,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,166.82926940918,124.658538818359
"115",0,0,0,0,0,6,0,65,0,11,0,1,1,151,0,66,6,0,0,6,0,0,0,0,0,10,1,0,1,0,1,0,0,0,0,5,0,0,0,2,2,3,1,34,0,0,0,0,2,0,0,0,4,0,0,0,0,0,9,0,0,0,0,35,0,0,1,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,201.951217651367,150.902435302734
"125",0,0,0,0,0,2,0,43,0,9,0,0,0,558,10,128,22,0,0,23,0,0,0,2,0,32,0,0,0,0,2,0,2,0,0,6,1,0,0,4,0,5,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,62,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,219.512191772461,164.024383544922
"145",0,2,0,5,1,5,0,47,0,6,0,0,0,616,6,97,27,0,1,54,1,2,0,0,0,34,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,17,0,120,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,0,0,1,0,107,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,254.634140014648,190.268295288086
"155",0,0,0,0,0,1,0,78,0,10,0,0,0,29,1,39,22,0,2,12,0,1,0,0,0,23,0,0,0,1,0,0,0,0,0,8,1,0,0,7,0,0,2,48,0,0,0,0,2,0,0,0,1,1,0,0,0,0,12,0,0,0,0,45,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,272.195129394531,203.390243530273
"165",0,2,0,1,0,4,2,39,0,7,0,0,0,667,4,95,20,0,0,34,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,3,0,138,0,0,2,0,0,0,0,1,5,0,0,0,0,0,14,0,0,0,0,67,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,289.756103515625,216.512191772461
"175",0,3,0,4,0,6,0,39,0,16,0,1,0,654,4,105,29,0,1,39,1,0,0,1,0,48,0,0,0,0,0,0,0,0,0,7,0,3,0,1,3,3,0,79,0,1,0,0,0,0,0,0,9,0,1,0,0,0,36,0,0,1,0,89,2,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,307.317077636719,229.634140014648
"185",1,1,0,1,0,4,0,87,0,20,0,1,0,554,4,86,7,0,1,42,0,2,0,0,0,17,1,0,0,0,0,0,0,0,0,14,0,1,0,1,0,4,2,159,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,324.878051757812,242.756103515625
"195",0,4,0,2,1,2,0,91,0,11,0,0,0,403,3,81,26,0,1,65,0,0,1,0,0,28,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,4,0,115,0,0,0,0,0,0,0,1,6,0,0,0,0,0,18,0,0,0,0,102,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,342.439025878906,255.878051757812
"205",1,1,0,1,2,2,0,82,0,17,0,0,0,441,5,113,21,0,1,68,0,2,0,3,0,4,1,0,0,2,0,0,0,0,0,1,0,1,0,2,0,5,0,127,0,0,0,0,0,0,0,0,6,0,0,0,0,1,21,0,0,2,0,86,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,360,269
"215",0,0,0,2,0,1,0,23,0,2,0,0,0,18,2,44,5,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,2,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462.5,373.299987792969
