"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Diospyros"," "
"2","",0,"Alchornea"," "
"3","",0,"Uapaca"," "
"4","",0,"Meliaceae"," "
"5","",0,"Pycnanthus"," "
"6","",0,"Syzygium"," "
"7","",0,"Sapotaceae"," "
"8","",0,"Gramineae"," "
"9","",0,"Bridelia"," "
"10","",0,"Indetermines"," "
"11","",0,"Flacourtiaceae"," "
"12","",0,"Croton-type"," "
"13","",0,"Landolphia-type"," "
"14","",0,"Cyperaceae"," "
"15","",0,"Amaranthaceae"," "
"16","",0,"Compositae"," "
"17","",0,"Macaranga"," "
"18","",0,"Phyllanthus"," "
"19","",0,"Tiliaceae"," "
"20","",0,"Podocarpus"," "
"21","",0,"Rubiaceae"," "
"22","",0,"Canthium"," "
"23","",0,"Allophylus"," "
"24","",0,"Typha"," "
"25","",0,"Euclea"," "
"26","",0,"Hypericum"," "
"27","",0,"Hymenocardia"," "
"28","",0,"Utricularia"," "
"29","",0,"Lobelia"," "
"30","",0,"Jasminum"," "
"31","",0,"Alchemilla"," "
"32","",0,"Anthospermum"," "
"33","",0,"Antidesma"," "
"34","",0,"Linociera"," "
"35","",0,"Rumex"," "
"36","",0,"Potamogeton"," "
"37","",0,"Umbelliferae"," "
"38","",0,"Anacardiaceae"," "
"39","",0,"Capparidaceae"," "
"40","",0,"Celtis"," "
"41","",0,"Combretaceae"," "
"42","",0,"Ericaceae"," "
"43","",0,"Euphorbiaceae"," "
"44","",0,"Impatiens"," "
"45","",0,"Labiatae"," "
"46","",0,"Loranthaceae"," "
"47","",0,"Caryophyllaceae"," "
"48","",0,"Clutia"," "
"49","",0,"Albizzia"," "
"50","",0,"Cruciferae"," "
"51","",0,"Cucurbitaceae"," "
"52","",0,"Harungana"," "
"53","",0,"Ilex"," "
"54","",0,"Polyscias"," "
"55","",0,"Cassia"," "
"56","",0,"Ipomaea"," "
"57","",0,"Symphonia"," "
"58","",0,"Apodytes"," "
"59","",0,"Olea"," "
"60","",0,"Kotschya"," "
"61","",0,"Vigna"," "
"62","",0,"Polygala"," "
"63","",0,"Clematis"," "
"64","",0,"Hagenia"," "
"65","",0,"Parinari"," "
"66","",0,"Prunus"," "
"67","",0,"Zanthoxylum"," "
"68","",0,"Ficalhoa"," "
"69","",0,"Trema"," "
"70","",0,"Hygrophila"," "
"71","",0,"Convolvulaceae"," "
"72","",0,"Sapium"," "
"73","",0,"Liliaceae"," "
"74","",0,"Pterocarpus"," "
"75","",0,"Polygonaceae"," "
"76","",0,"Rosaceae"," "
"77","",0,"Pavetta"," "
"78","",0,"Maytenus"," "
"79","",0,"Dombeya"," "
"80","",0,"Haloragaceae"," "
"81","",0,"Cissus"," "
"82","",0,"Psychotria"," "
"83","",0,"Cassipourea"," "
"84","",0,"Erythrina"," "
"85","",0,"Crotalaria"," "
"86","",0,"Eugenia"," "
"87","",0,"Bignoniaceae"," "
"88","",0,"Maesa"," "
"89","",0,"Strombosia"," "
"90","",0,"Proteaceae"," "
"91","",0,"Newtonia"," "
"92","",0,"Afrocrania"," "
"93","Chron1",0,"Sample age"," "
"94","Chron10",0,"Sample age"," "
