"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Diospyros"," "
"2","",0,"Alchornea"," "
"3","",0,"Uapaca"," "
"4","",0,"Symphonia globulifera"," "
"5","",0,"Amaranthaceae/Chenopodiaceae"," "
"6","",0,"Vitex"," "
"7","",0,"Gramineae"," "
"8","",0,"Elaeis guineensis"," "
"9","",0,"Indetermines"," "
"10","",0,"Rhizophora"," "
"11","",0,"Cyperaceae"," "
"12","",0,"Compositae"," "
"13","",0,"Macaranga"," "
"14","",0,"Rubiaceae"," "
"15","",0,"Monoletes"," "
"16","",0,"Triletes"," "
"17","",0,"Ilex mitis"," "
"18","",0,"Ricinus communis"," "
"19","",0,"Pycnanthus angolensis"," "
"20","",0,"Cocos nucifera"," "
"21","",0,"Holoptelea grandis"," "
"22","",0,"Celtis"," "
"23","",0,"Phoenix reclinata"," "
"24","",0,"Ceiba pentandra"," "
"25","",0,"Capparis"," "
"26","",0,"Maytenus senegalensis"," "
"27","",0,"Commelina-type"," "
"28","",0,"Antidesma venosum"," "
"29","",0,"Bridelia micrantha"," "
"30","",0,"Ximenia americana"," "
"31","",0,"Pandanus candelabrum"," "
"32","",0,"Vitex doniana"," "
"33","",0,"Combretaceae/Melastomataceae"," "
"34","",0,"Calamus deeratus"," "
"35","",0,"Crudia"," "
"36","",0,"Martretia quadricornis"," "
"37","",0,"Mitragyna ciliata"," "
"38","",0,"Mitragyna stipulosa"," "
"39","",0,"Nauclea latifolia"," "
"40","",0,"Uapaca heudelotii"," "
"41","",0,"Uapaca paludosa-type"," "
"42","",0,"Bosqueia angolensis"," "
"43","",0,"Irvingia gabonensis"," "
"44","",0,"Myrianthus arboreus"," "
"45","",0,"Podococcus barteri"," "
"46","",0,"Bridelia ferruginea"," "
"47","",0,"Podocarpus milanjianus"," "
"48","",0,"Uncaria africana"," "
"49","",0,"Borreria chaetocephala"," "
"50","",0,"Morelia senegalensis"," "
"51","",0,"Raphia vinifera"," "
"52","",0,"Lonchocarpus sericeus"," "
"53","",0,"Syzygium guineense"," "
"54","",0,"Cleome ciliata-type"," "
"55","",0,"Corchorus olitorius"," "
"56","",0,"Chlorophytum-type"," "
"57","Chron1",0,"Sample age"," "
"58","Chron10",0,"Sample age"," "
