"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Acacia/Parkia"," "
"2","",0,"Acalypha"," "
"3","",0,"Acanthaceae"," "
"4","",0,"Adenandra"," "
"5","",0,"Adenia"," "
"6","",0,"Afraegle"," "
"7","",0,"Afzelia"," "
"8","",0,"Aizoaceae"," "
"9","",0,"Alchornea"," "
"10","",0,"Allanblackia"," "
"11","",0,"Allophylus"," "
"12","",0,"Amaranthaceae/Chenopodiaceae"," "
"13","",0,"Ambrosia-type"," "
"14","",0,"Anthocleista"," "
"15","",0,"Antidesma-type"," "
"16","",0,"Antrocaryon"," "
"17","",0,"Apocynaceae"," "
"18","",0,"Arecaceae"," "
"19","",0,"Artemisia (Africa)"," "
"20","",0,"Ochnaceae undifferentiated"," "
"21","",0,"Avicennia"," "
"22","",0,"Balanites"," "
"23","",0,"Baphia-type"," "
"24","",0,"Barleria"," "
"25","",0,"Bertiera"," "
"26","",0,"Bignoniaceae"," "
"27","",0,"Blighia-type"," "
"28","",0,"Bombax"," "
"29","",0,"Borassus-type"," "
"30","",0,"Borreria"," "
"31","",0,"Boscia-type"," "
"32","",0,"Bosqueia"," "
"33","",0,"Boswellia"," "
"34","",0,"Brachystegia"," "
"35","",0,"Brassicaceae"," "
"36","",0,"Bridelia"," "
"37","",0,"Burchellia"," "
"38","",0,"Burkea"," "
"39","",0,"Burseraceae"," "
"40","",0,"Butyrospermum"," "
"41","",0,"Caesalpinioideae"," "
"42","",0,"Calligonum"," "
"43","",0,"Calvoa"," "
"44","",0,"Calycobolus-type"," "
"45","",0,"Campanulaceae"," "
"46","",0,"Canthium"," "
"47","",0,"Capparis"," "
"48","",0,"Cardiospermum"," "
"49","",0,"Caryophyllaceae"," "
"50","",0,"Cassia-type"," "
"51","",0,"Celastraceae/Hippocrateaceae"," "
"52","",0,"Celsia"," "
"53","",0,"Celtis"," "
"54","",0,"Centaurea (Africa)"," "
"55","",0,"Chiarinia"," "
"56","",0,"Chrozophora"," "
"57","",0,"Chrysophyllum"," "
"58","",0,"Clausena"," "
"59","",0,"Cleome"," "
"60","",0,"Clutia"," "
"61","",0,"Cnestis-type"," "
"62","",0,"Cocos"," "
"63","",0,"Coffea-type"," "
"64","",0,"Cola cordifolia"," "
"65","",0,"Colpothrinax"," "
"66","",0,"Combretaceae/Melastomataceae"," "
"67","",0,"Commiphora"," "
"68","",0,"Compositae Liguliflorae"," "
"69","",0,"Compositae Tubuliflorae"," "
"70","",0,"Compositae Vernonieae"," "
"71","",0,"Corchorus"," "
"72","",0,"Craterispermum"," "
"73","",0,"Crossopteryx"," "
"74","",0,"Crotalaria"," "
"75","",0,"Croton-type"," "
"76","",0,"Crudia-type"," "
"77","",0,"Cucurbitaceae"," "
"78","",0,"Cussonia"," "
"79","",0,"Cuviera"," "
"80","",0,"Cyperaceae (Africa)"," "
"81","",0,"Dalbergia"," "
"82","",0,"Daniellia-type"," "
"83","",0,"Desplatsia"," "
"84","",0,"Detarium"," "
"85","",0,"Dialium-type"," "
"86","",0,"Dioscorea"," "
"87","",0,"Diospyros"," "
"88","",0,"Dodonaea viscosa"," "
"89","",0,"Dolichos"," "
"90","",0,"Dracaena"," "
"91","",0,"Drosanthenum-type"," "
"92","",0,"Duparquetia"," "
"93","",0,"Elaeis guineensis"," "
"94","",0,"Entada-type"," "
"95","",0,"Ephedra"," "
"96","",0,"Ericaceae undifferentiated"," "
"97","",0,"Erythrina"," "
"98","",0,"Eugenia/Syzygium"," "
"99","",0,"Euphorbia-type"," "
"100","",0,"Euphorbiaceae undifferentiated"," "
"101","",0,"Flacourtia"," "
"102","",0,"Funtumia"," "
"103","",0,"Gaertnera"," "
"104","",0,"Galium"," "
"105","",0,"Gazania-type"," "
"106","",0,"Glyphaea"," "
"107","",0,"Gomphrena-type"," "
"108","",0,"Poaceae undifferentiated"," "
"109","",0,"Grewia"," "
"110","",0,"Gymnosporia"," "
"111","",0,"Gypsophila"," "
"112","",0,"Hedera"," "
"113","",0,"Heliotropium"," "
"114","",0,"Heritiera-type"," "
"115","",0,"Hermannia"," "
"116","",0,"Hygrophila-type"," "
"117","",0,"Hymenocardia"," "
"118","",0,"Hyphaene"," "
"119","",0,"Hypoestes type"," "
"120","",0,"Ilex cf. I. mitis"," "
"121","",0,"Indeterminata"," "
"122","",0,"Indigofera-type"," "
"123","",0,"Iodes"," "
"124","",0,"Irvingia"," "
