"","Antrocar","Picralim","Balanite","Berlinia","Diospyro","Anthoste","Alchorne","Irvingia","Meliacea","Pentacle","Pycnanth","Syzygium","Heisteri","Strombos","Cassia.t","Fagara","Commelin","Sapotace","Graminea","Elaeis.g","Cardiosp","Acridoca","Bridelia","Celastra","Indeterm","Rhizopho","Calpocal","Polygonu","Myrianth","Croton.t","Tetrorch","Landolph","Sterculi","Cyperace","Monocoty","Amaranth","Composit","Dodonaea","Martreti","Phyllant","Anthocle","Moraceae","Campylos","Raphia","Rubiacea","Canthium","Allophyl","Typha","Monolete","Triletes","Convolvu","Euphorbi","Hymenoca","Raphiost","Utricula","Entada.t","Antiaris","Myrica","Eucalypt","Ximenia","Baphia.t","Desmodiu","Mussaend","Oldenlan","Solanum.","Sterculi.1","Holoptel","Anthocer","Pinus","Stereosp","Grewia","Papilion","Adenia","Portulac","Portulac.1","Borreria","Crossopt","Oricia","Triploch","Urticace","Anacardi","Celtis","Combreta","Lannea.t","Malvacea","Rutaceae","Apocynac","Rauvolfi","Harungan","Aeschyno","Clematis","Parinari","Hymenodi","Teclea","Trema","Mallotus","Mitracar","Ceiba.pe","Cordia","Cynometr","Danielli","Erythrop","Calycobo","Amanoa.t","Drypetes","Sacoglot","Malpighi","Mimosoid","Mimosa.p","Bosqueia","Musanga","Treculia","Lophira.","Oleaceae","Pterocar","Gardenia","Rothmann","Dialium","Maytenus","Aphania","Blighia","Avicenni","Spondian","Morelia.","Aidia","Canarium","Cissus","Cylicodi","Diodia","Erythrop.1","Flabella","Funtumia","Heteropt","Hevea.br","Hugonia","Icacinac","Indigofe","Klainean","Loesener","Macarang","Maproune","Nesogord","Pandanus","Periploc","Psychotr","Rinorea","Rytigini","Sabicea","Salacia.","Santiria","Sherbour","Sorindei","Stachyot","Trichosc","Triumfet","Uapaca.s","Vernonia","Vismia","Selagine","Adina","Afraegle","Anthonot","Baissea","Borassus","Burserac","Cassine.","Casuarin","Celastru","Cnestis.","Cocos.nu","Coffea","Copaifer","Corchoru","Cressa.t","Cryptose","Desplats","Dichoste","Dideloti","Distemon","Entada.g","Erythrox","Hippocra","Leptonyc","Limonias","Morinda.","Nypa","Ochnacea","Octolobu","Oxystigm","Pentabra","Piptaden","Plagiost","Pleiocar","Pleurost","Pseudosp","Rhus.lon","Rhynchos","Ricinus.","Talinum","Tarenna","Theccaco","Chron1","Chron10"
"1.5",0,0,0,1,0,1,49,3,0,0,0,0,0,0,0,0,0,8,44,7,0,3,3,0,15,0,0,0,0,0,2,0,0,57,0,4,2,1,11,0,0,0,0,0,0,1,0,0,74,40,0,0,25,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,0,0,1,3,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,4,20,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,16.7796611785889,15.6355934143066
"2.5",0,0,0,1,0,0,42,2,2,0,1,0,0,0,2,3,0,17,120,23,0,0,0,0,5,0,0,0,0,2,8,0,0,80,0,1,0,1,15,0,0,0,0,0,0,3,0,2,72,28,0,0,41,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,4,10,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,1,19,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,3,0,0,0,0,1,0,0,0,0,3,0,1,10,1,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,27.9661026000977,26.0593223571777
"3.5",0,0,0,6,0,1,96,3,1,1,6,0,0,0,2,2,0,22,252,17,1,1,3,0,10,0,0,0,0,1,8,1,0,87,0,1,20,1,25,10,1,0,0,0,1,8,0,0,134,17,0,0,70,0,0,5,0,0,0,0,1,0,0,0,11,3,1,12,0,0,1,1,1,0,0,0,1,1,0,0,0,6,8,5,0,0,0,0,0,0,0,0,9,0,2,1,1,2,0,6,0,0,0,0,23,0,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,11,1,0,0,1,3,19,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,25,0,1,9,3,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,39.1525421142578,36.4830513000488
"4.5",0,0,0,4,0,0,38,5,0,1,4,0,0,0,1,3,2,12,136,12,0,1,3,0,6,0,0,1,0,1,4,0,0,86,0,4,7,1,10,4,1,0,0,0,0,3,0,0,76,20,1,0,39,0,0,0,1,0,0,0,0,0,0,1,4,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,3,0,0,0,0,20,0,0,1,0,0,0,1,5,0,1,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,7,4,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,16,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50.338981628418,46.9067802429199
"5.5",0,1,0,8,0,0,59,3,2,0,3,0,0,0,7,3,1,19,138,13,1,2,2,0,13,1,0,0,0,2,4,1,0,103,0,4,9,2,30,5,2,0,0,0,0,5,0,2,145,17,0,1,57,0,0,0,0,0,0,0,1,0,0,0,2,2,1,9,0,0,0,1,5,0,0,0,0,0,0,1,0,13,4,6,0,0,0,0,0,0,0,1,8,0,1,2,0,1,1,15,0,0,0,0,18,0,3,1,0,1,1,0,14,0,1,0,0,7,1,0,0,0,0,4,2,0,1,1,0,0,1,0,0,1,1,0,1,0,14,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,61.5254249572754,57.330509185791
"6.5",0,0,0,1,0,0,32,4,5,0,3,0,0,0,2,0,0,15,83,4,0,1,0,0,11,0,0,0,1,0,8,0,0,52,0,1,3,1,19,4,0,1,0,0,0,0,0,0,103,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,5,1,0,17,1,0,1,3,1,0,0,0,0,0,0,1,0,8,6,3,0,0,1,0,0,1,0,1,8,0,0,2,0,0,0,7,0,2,0,0,16,0,0,1,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,72.7118606567383,67.7542343139648
"7.5",0,0,0,4,1,0,24,3,2,0,2,1,0,0,2,1,0,12,93,7,0,0,0,0,6,0,0,0,0,0,0,0,0,33,0,0,4,0,15,3,0,0,0,1,0,7,0,0,73,6,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,5,0,0,0,0,16,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,83.898307800293,78.1779632568359
"8.5",0,0,0,4,0,0,16,4,0,0,2,0,0,0,0,0,0,5,57,2,0,0,0,0,2,0,0,0,0,1,2,0,0,39,0,1,4,0,13,1,0,0,0,0,0,0,0,0,68,10,0,0,10,0,0,2,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0847473144531,88.601692199707
"9.5",0,0,0,3,0,0,45,2,3,0,1,0,0,0,1,2,0,11,135,15,0,0,3,0,5,0,0,0,0,1,3,0,0,94,0,1,0,0,20,2,5,0,0,0,1,5,0,0,72,48,0,0,35,0,3,2,0,0,0,0,1,0,1,0,6,9,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,0,6,0,1,6,0,0,0,3,0,0,0,1,22,0,3,0,0,4,0,0,15,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,8,0,0,0,1,0,0,1,1,0,1,0,0,4,1,0,27,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.271186828613,99.0254211425781
"10.5",0,0,0,5,0,0,47,4,3,0,2,0,0,0,2,0,0,14,67,3,0,0,3,0,13,0,0,0,0,1,6,0,0,24,0,0,0,2,11,7,1,0,0,0,0,0,0,2,79,6,0,0,26,0,0,1,0,0,0,0,1,0,1,0,3,4,2,14,1,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,5,0,1,3,0,0,0,6,0,0,0,0,10,0,1,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,15,0,0,5,3,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,117.457626342773,109.449150085449
