"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Picralima-type"," "
"3","",0,"Balanites"," "
"4","",0,"Berlinia-type"," "
"5","",0,"Diospyros"," "
"6","",0,"Anthostema-type"," "
"7","",0,"Alchornea"," "
"8","",0,"Irvingia-type"," "
"9","",0,"Meliaceae"," "
"10","",0,"Pentaclethra macrophylla"," "
"11","",0,"Pycnanthus"," "
"12","",0,"Syzygium"," "
"13","",0,"Heisteria-type"," "
"14","",0,"Strombosia-type"," "
"15","",0,"Cassia-type"," "
"16","",0,"Fagara"," "
"17","",0,"Commelina-type benghalensis"," "
"18","",0,"Sapotaceae"," "
"19","",0,"Gramineae"," "
"20","",0,"Elaeis guineensis"," "
"21","",0,"Cardiospermum"," "
"22","",0,"Acridocarpus"," "
"23","",0,"Bridelia"," "
"24","",0,"Celastraceae"," "
"25","",0,"Indetermines"," "
"26","",0,"Rhizophora"," "
"27","",0,"Calpocalyx-type"," "
"28","",0,"Polygonum"," "
"29","",0,"Myrianthus-type"," "
"30","",0,"Croton-type"," "
"31","",0,"Tetrorchidium"," "
"32","",0,"Landolphia-type"," "
"33","",0,"Sterculiaceae"," "
"34","",0,"Cyperaceae"," "
"35","",0,"Monocotyledoneae"," "
"36","",0,"Amaranthaceae"," "
"37","",0,"Compositae"," "
"38","",0,"Dodonaea"," "
"39","",0,"Martretia"," "
"40","",0,"Phyllanthus"," "
"41","",0,"Anthocleista"," "
"42","",0,"Moraceae"," "
"43","",0,"Campylospermum"," "
"44","",0,"Raphia"," "
"45","",0,"Rubiaceae"," "
"46","",0,"Canthium"," "
"47","",0,"Allophylus"," "
"48","",0,"Typha"," "
"49","",0,"Monoletes"," "
"50","",0,"Triletes"," "
"51","",0,"Convolvulus-type"," "
"52","",0,"Euphorbia"," "
"53","",0,"Hymenocardia"," "
"54","",0,"Raphiostylis"," "
"55","",0,"Utricularia"," "
"56","",0,"Entada-type"," "
"57","",0,"Antiaris-type toxicaria"," "
"58","",0,"Myrica"," "
"59","",0,"Eucalyptus"," "
"60","",0,"Ximenia"," "
