"","Pseudosp","Berlinia","Diospyro","Anthoste","Alchorne","Irvingia","Meliacea","Pycnanth","Syzygium","Heisteri","Strombos","Cassia.t","Fagara","Eriocoel","Commelin","Sapotace","Graminea","Elaeis.g","Acridoca","Bridelia","Indeterm","Indeterm.1","Calpocal","Polygonu","Croton.t","Tetrorch","Cyperace","Monocoty","Amaranth","Composit","Dodonaea","Martreti","Phyllant","Anthocle","Tapinant","Moraceae","Canthium","Allophyl","Typha","Monolete","Triletes","Convolvu","Euphorbi","Hymenoca","Raphiost","Abutilon","Myrica","Jasminum","Olea.cap","Baphia.t","Polygala","Oldenlan","Solanum.","Sterculi","Holoptel","Cleroden","Pinus","Lepidaga","Coula.ed","Ganophyl","Grewia","Papilion","Desmodiu","Adenia","Bertiera","Triploch","Araliace","Celtis","Combreta","Cupressa","Lannea.t","Sapindac","Pancovia","Rauvolfi","Margarit","Symphoni","Aeschyno","Protea","Clematis","Parinari","Hymenodi","Teclea","Trema","Mallotus","Mitracar","Alstonia","Tabernae","Ceiba.pe","Cordia","Cynometr","Calycobo","Amanoa.t","Drypetes","Guttifer","Sacoglot","Malpighi","Bosqueia","Treculia","Lophira.","Pterocar","Ziziphus","Gardenia","Dialium","Blighia","Ranuncul","Ouratea.","Morelia.","Abrus","Aidia","Aporrhiz","Bauhinia","Bersama.","Campanul","Canarium","Cissus","Cylicodi","Diodia","Erythrop","Eugenia.","Flabella","Funtumia","Heteropt","Hevea.br","Hugonia","Icacinac","Indigofe","Ixora.ty","Jatropha","Klainean","Lamiacea","Leonardo","Leptaulu","Lippia.t","Loesener","Macarang","Maproune","Milletia","Nesogord","Nuxia.ty","Ochthoco","Olax","Oncoba.t","Pandanus","Penianth","Pentacle","Periploc","Piptaden","Podocarp","Prosopis","Protomeg","Psychotr","Rhus.lon","Rinorea","Rytigini","Sabicea","Salacia.","Santiria","Sapium.t","Sesbania","Sherbour","Sorindei","Stachyot","Stephani","Trichocl","Trichosc","Triumfet","Uapaca.s","Vernonia","Vismia","Voacanga","Waltheri","Selagine","Chron1","Chron10","Chron20"
"1.1",0,14,0,0,95,1,1,0,0,0,0,0,4,0,0,29,61,34,1,16,11,17,0,0,0,3,205,0,1,7,0,37,1,0,3,3,2,0,0,4,6,3,0,73,0,0,1,0,1,0,0,0,0,0,1,0,1,0,3,1,2,4,2,1,0,1,0,16,6,0,4,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,1,0,37,0,11,26,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,-15.4263563156128,28.7213611602783,36.0792427062988
"16.4",0,16,0,0,28,5,1,0,1,3,0,0,2,0,0,31,59,24,0,12,24,23,0,1,0,6,125,0,1,4,0,43,2,0,0,0,1,0,0,18,7,1,1,39,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,1,2,0,3,0,0,0,10,9,0,2,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,0,1,0,54,0,9,24,0,0,2,0,2,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,0,0,0,0,22,0,0,0,0,0,221.782943725586,250.973297119141,260.900939941406
"39.3",0,0,0,0,47,2,0,3,0,0,0,0,3,0,0,26,61,18,1,10,16,32,1,0,0,2,215,1,0,1,0,24,2,0,0,0,3,0,0,35,7,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,1,0,0,0,10,3,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,42,0,4,33,0,4,0,1,1,6,1,0,0,0,0,0,0,2,0,0,0,0,13,0,0,1,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,12,5,0,1,1,0,1,0,0,0,2,0,0,3,0,0,2,0,0,0,0,2,8,0,0,0,0,7,1,0,0,0,19,0,0,0,0,0,576.821716308594,583.624877929688,597.398803710938
"61.6",0,8,0,0,103,4,1,6,0,0,1,0,10,0,0,36,106,28,3,14,13,0,0,0,0,40,76,0,4,4,0,27,5,0,0,0,0,0,0,31,25,0,0,104,0,0,1,0,2,0,1,0,3,0,0,0,0,0,3,0,0,2,0,8,0,1,0,16,2,0,4,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,1,1,16,0,7,51,0,1,0,22,1,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,18,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,3,1,0,0,3,4,0,0,1,0,6,0,0,0,0,51,0,0,0,0,15,922.55810546875,907.560729980469,925.080078125
"84.1",0,4,0,1,39,2,1,1,0,0,0,2,5,0,0,29,53,34,0,11,6,18,0,0,0,9,21,0,2,1,2,36,3,0,0,0,0,0,0,17,14,0,0,49,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,18,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,17,0,2,29,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,22,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,18,0,0,0,0,3,1271.39538574219,1234.40173339844,1255.7001953125
"106",2,1,0,0,80,10,0,2,0,0,0,1,5,0,0,35,57,88,2,24,11,19,1,0,0,15,45,1,2,1,4,29,6,0,0,0,14,0,0,2,6,4,2,79,0,0,0,0,2,0,0,0,4,1,0,0,1,0,3,0,0,9,0,2,0,0,0,29,8,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,54,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,5,0,2,0,0,33,0,0,0,0,0,1610.93017578125,1552.52709960938,1577.50390625
"128.5",0,3,0,0,65,2,3,2,1,0,0,0,7,0,0,14,46,25,3,22,8,14,0,0,0,16,288,0,0,3,0,18,5,0,0,1,0,0,0,7,12,0,0,87,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,13,6,0,5,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,17,0,5,27,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,3,0,2,0,0,0,0,0,2,0,1,0,0,0,0,4,1,0,0,0,4,3,0,0,1,0,3,0,0,0,0,28,0,0,0,0,2,1939.68005371094,1877.85498046875,1903.875
"151",0,2,0,0,84,2,1,3,1,0,0,1,5,0,0,23,33,14,0,16,5,11,0,0,0,18,40,0,0,2,0,18,2,0,0,0,0,0,0,24,20,0,0,52,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,9,5,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,10,0,4,28,0,0,0,1,1,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,2,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,15,0,0,0,0,6,2188.080078125,2197.1298828125,2213.25
"175.8",0,3,0,0,109,2,0,2,2,0,1,2,0,0,0,30,77,3,1,7,10,6,0,0,0,15,74,0,2,7,0,53,5,0,0,2,2,0,0,21,16,0,3,47,0,0,0,0,2,0,1,0,3,0,0,0,0,0,5,0,0,2,0,4,0,0,0,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,47,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,16,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,2464.83422851562,2550.05004882812,2555.81860351562
"197.1",0,2,1,0,16,2,0,0,0,0,0,5,3,0,0,15,21,0,0,3,19,23,0,0,0,2,151,0,0,1,0,41,0,0,0,0,4,0,0,3,3,2,0,47,1,0,0,0,0,0,0,0,7,2,0,0,0,0,2,0,0,1,0,1,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,14,0,2,21,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,1,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,2,2,0,0,0,0,4,0,2,0,0,7,0,0,0,1,0,2735.0400390625,2864.22509765625,2867.25512695312
