"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Pseudospondias-type"," "
"2","",0,"Berlinia-type"," "
"3","",0,"Diospyros"," "
"4","",0,"Anthostema-type"," "
"5","",0,"Alchornea"," "
"6","",0,"Irvingia-type"," "
"7","",0,"Meliaceae"," "
"8","",0,"Pycnanthus"," "
"9","",0,"Syzygium"," "
"10","",0,"Heisteria-type"," "
"11","",0,"Strombosia-type"," "
"12","",0,"Cassia-type"," "
"13","",0,"Fagara"," "
"14","",0,"Eriocoelum-type"," "
"15","",0,"Commelina-type benghalensis"," "
"16","",0,"Sapotaceae"," "
"17","",0,"Gramineae"," "
"18","",0,"Elaeis guineensis"," "
"19","",0,"Acridocarpus"," "
"20","",0,"Bridelia"," "
"21","",0,"Indetermines"," "
"22","",0,"Indeterminables"," "
"23","",0,"Calpocalyx-type"," "
"24","",0,"Polygonum"," "
"25","",0,"Croton-type"," "
"26","",0,"Tetrorchidium"," "
"27","",0,"Cyperaceae"," "
"28","",0,"Monocotyledoneae"," "
"29","",0,"Amaranthaceae"," "
"30","",0,"Compositae"," "
"31","",0,"Dodonaea"," "
"32","",0,"Martretia"," "
"33","",0,"Phyllanthus"," "
"34","",0,"Anthocleista"," "
"35","",0,"Tapinanthus"," "
"36","",0,"Moraceae"," "
"37","",0,"Canthium"," "
"38","",0,"Allophylus"," "
"39","",0,"Typha"," "
"40","",0,"Monoletes"," "
"41","",0,"Triletes"," "
"42","",0,"Convolvulus-type"," "
"43","",0,"Euphorbia"," "
"44","",0,"Hymenocardia"," "
"45","",0,"Raphiostylis"," "
"46","",0,"Abutilon-type"," "
"47","",0,"Myrica"," "
"48","",0,"Jasminum"," "
"49","",0,"Olea capensis"," "
"50","",0,"Baphia-type"," "
"51","",0,"Polygala-type"," "
"52","",0,"Oldenlandia-type"," "
"53","",0,"Solanum-type"," "
"54","",0,"Sterculia-type"," "
"55","",0,"Holoptelea grandis"," "
"56","",0,"Clerodendron"," "
"57","",0,"Pinus"," "
"58","",0,"Lepidagathis"," "
"59","",0,"Coula edulis"," "
"60","",0,"Ganophyllum"," "
"61","",0,"Grewia"," "
"62","",0,"Papilionoideae"," "
"63","",0,"Desmodium-type"," "
"64","",0,"Adenia"," "
"65","",0,"Bertiera-type"," "
"66","",0,"Triplochiton scleroxylon"," "
"67","",0,"Araliaceae"," "
"68","",0,"Celtis"," "
"69","",0,"Combretaceae"," "
"70","",0,"Cupressaceae"," "
"71","",0,"Lannea-type"," "
"72","",0,"Sapindaceae"," "
"73","",0,"Pancovia"," "
"74","",0,"Rauvolfia"," "
"75","",0,"Margaritaria"," "
"76","",0,"Symphonia"," "
"77","",0,"Aeschynomene"," "
"78","",0,"Protea"," "
"79","",0,"Clematis"," "
"80","",0,"Parinari"," "
"81","",0,"Hymenodictyon"," "
"82","",0,"Teclea"," "
"83","",0,"Trema"," "
"84","",0,"Mallotus"," "
"85","",0,"Mitracarpus"," "
"86","",0,"Alstonia"," "
"87","",0,"Tabernaemontana-type"," "
"88","",0,"Ceiba pentandra"," "
"89","",0,"Cordia"," "
"90","",0,"Cynometra-type"," "
"91","",0,"Calycobolus"," "
"92","",0,"Amanoa-type"," "
"93","",0,"Drypetes"," "
"94","",0,"Guttiferae"," "
"95","",0,"Sacoglottis gabonensis"," "
"96","",0,"Malpighiaceae"," "
"97","",0,"Bosqueia"," "
"98","",0,"Treculia africana"," "
"99","",0,"Lophira alata"," "
"100","",0,"Pterocarpus"," "
"101","",0,"Ziziphus"," "
"102","",0,"Gardenia"," "
"103","",0,"Dialium"," "
"104","",0,"Blighia"," "
"105","",0,"Ranunculaceae"," "
"106","",0,"Ouratea-type"," "
"107","",0,"Morelia senegalensis"," "
"108","",0,"Abrus"," "
"109","",0,"Aidia"," "
"110","",0,"Aporrhiza-type"," "
"111","",0,"Bauhinia"," "
"112","",0,"Bersama abyssinica-type"," "
"113","",0,"Campanulaceae"," "
"114","",0,"Canarium-type"," "
"115","",0,"Cissus"," "
"116","",0,"Cylicodiscus"," "
"117","",0,"Diodia"," "
"118","",0,"Erythrophleum"," "
"119","",0,"Eugenia-type"," "
"120","",0,"Flabellaria-type"," "
"121","",0,"Funtumia"," "
"122","",0,"Heteropteris"," "
"123","",0,"Hevea brasiliensis"," "
"124","",0,"Hugonia"," "
"125","",0,"Icacinaceae"," "
"126","",0,"Indigofera"," "
"127","",0,"Ixora-type"," "
"128","",0,"Jatropha-type"," "
"129","",0,"Klaineanthus gaboniae"," "
"130","",0,"Lamiaceae"," "
"131","",0,"Leonardoxa-type"," "
"132","",0,"Leptaulus"," "
"133","",0,"Lippia-type"," "
"134","",0,"Loesenera-type"," "
"135","",0,"Macaranga-type"," "
"136","",0,"Maprounea"," "
"137","",0,"Milletia-type"," "
"138","",0,"Nesogordonia"," "
"139","",0,"Nuxia-type"," "
"140","",0,"Ochthocosmus"," "
"141","",0,"Olax"," "
"142","",0,"Oncoba-type"," "
"143","",0,"Pandanus-type"," "
"144","",0,"Penianthus-type"," "
"145","",0,"Pentaclethra"," "
"146","",0,"Periplocaceae"," "
"147","",0,"Piptadeniastrum africanum"," "
"148","",0,"Podocarpus latifolius"," "
"149","",0,"Prosopis"," "
"150","",0,"Protomegabaria-type"," "
"151","",0,"Psychotria"," "
"152","",0,"Rhus longipes"," "
"153","",0,"Rinorea"," "
"154","",0,"Rytiginia"," "
"155","",0,"Sabicea"," "
"156","",0,"Salacia-type"," "
"157","",0,"Santiria trimera"," "
"158","",0,"Sapium-type"," "
"159","",0,"Sesbania"," "
"160","",0,"Sherbournia"," "
"161","",0,"Sorindeia"," "
"162","",0,"Stachyothyrsus"," "
"163","",0,"Stephania-type"," "
