"","Antrocar","Trichosc","Berlinia","Maranthe","Diospyro","Anthoste","Alchorne","Uapaca","Symphoni","Pentacle","Pycnanth","Syzygium","Fagara","Pausinys","Sapotace","Graminea","Elaeis.g","Acridoca","Bridelia","Celastra","Combreta","Indeterm","Indeterm.1","Rhizopho","Alstonia","Pandanus","Calpocal","Tetrorch","Cyperace","Monocoty","Amaranth","Composit","Macarang","Irvingia","Anthocle","Tapinant","Moraceae","Ficus","Raphia","Podocarp","Canthium","Allophyl","Typha","Monolete","Triletes","Polypodi","Caesalpi","Harungan","Piptaden","Nymphaea","Polygonu","Hallea.t","Stipular","Lygodium","Ganophyl","Grewia","Papilion","Phoenix","Sclerosp","Olacacea","Urticace","Tetracer","Phyllant","Chron1","Chron10"
"1",0,0,0,2,0,0,6,0,18,0,1,4,0,0,0,26,17,1,0,0,1,11,26,6,0,1,0,0,68,2,2,5,2,0,0,0,0,1,24,0,0,0,4,83,1,16,0,1,0,0,0,11,0,6,0,0,1,3,0,0,3,0,0,2636.75561523438,2761.02661132812
"5",0,0,0,1,0,0,3,0,4,0,0,4,0,0,0,22,10,0,0,0,1,6,16,1,0,1,0,0,59,0,1,2,0,0,0,0,1,2,50,0,0,0,8,113,2,0,0,0,0,0,0,5,0,2,0,0,1,1,0,0,5,1,0,2687.13745117188,2824.14111328125
"10",0,2,0,2,0,0,0,0,11,0,2,4,0,11,1,20,22,1,0,0,1,10,17,1,4,3,0,0,65,2,0,4,1,0,1,0,2,0,86,0,1,0,22,176,4,0,0,2,0,0,0,6,0,5,1,0,3,11,0,0,1,3,11,2750.11450195312,2903.03442382812
"23",0,1,0,10,0,2,1,0,9,0,2,11,0,0,1,20,3,0,0,0,1,41,14,3,4,3,0,0,19,0,0,2,3,0,1,0,1,1,28,0,1,0,2,71,1,2,0,0,0,0,0,17,0,5,0,0,1,0,0,0,0,6,0,2913.85498046875,3108.15649414062
"35",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,7,6,1,0,3,0,0,30,0,0,0,0,0,0,0,0,0,41,0,1,0,0,326,2,0,4,0,1,0,2,6,1,2,0,0,0,0,0,0,0,1,0,3065,3297.5
"40",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,16,0,4,0,0,82,0,0,0,0,0,0,0,1,0,46,1,0,0,0,108,0,0,5,0,0,5,2,2,1,0,0,0,1,0,0,0,0,0,0,3127.97705078125,3376.39306640625
"78",0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,9,1,172,0,3,0,0,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,30,4,6,6,0,0,0,0,3,1,3,0,0,0,1,0,0,0,1,0,3606.60302734375,3975.98095703125
"100",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,219,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3883.70239257812,4323.11083984375
"134",0,0,0,1,0,1,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,26,4,155,0,13,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,18,0,0,0,0,1,0,0,0,0,1,0,4164.28564453125,4662.89306640625
"178",0,1,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,21,4,153,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,4,0,4535.9091796875,5178
"225",0,0,1,0,0,2,0,0,0,0,6,6,0,0,0,6,3,0,0,0,7,35,15,159,0,40,3,0,3,2,0,3,8,0,0,1,0,0,0,0,1,0,0,16,5,0,0,0,0,0,0,33,0,0,0,0,4,0,0,0,0,1,0,4969.375,5717.8125
"236",0,2,7,1,0,9,1,0,0,0,4,13,0,2,0,5,9,1,0,0,13,35,11,135,1,43,3,1,6,6,0,0,4,0,4,0,0,0,0,1,4,0,0,7,7,2,0,0,0,0,0,24,0,1,0,0,5,0,0,0,0,5,0,5051.5625,5830.0703125
"306",0,6,6,3,0,12,0,0,0,0,0,11,0,4,1,7,1,0,0,0,7,28,15,138,1,44,1,0,10,8,0,0,6,0,1,0,0,0,0,5,8,0,0,11,7,6,0,0,0,0,0,37,0,4,0,0,11,8,3,0,0,4,1,5503.9716796875,6357.07958984375
"340",0,3,4,0,0,1,0,0,6,0,0,17,0,0,0,4,2,0,0,0,7,12,8,160,0,38,2,0,4,0,0,0,2,0,3,0,4,0,0,0,3,0,0,20,1,2,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,2,0,5716.17041015625,6593.271484375
