"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Amaranthaceae"," "
"2","",0,"Isoberlinia"," "
"3","",0,"Terminalia"," "
"4","",0,"Combretaceae/Melastomaceae"," "
"5","",0,"Compositae"," "
"6","",0,"Cyperaceae"," "
"7","",0,"Ericaceae"," "
"8","",0,"Alchornea"," "
"9","",0,"Macaranga"," "
"10","",0,"Maprounea"," "
"11","",0,"Gramineae"," "
"12","",0,"Anthocleista"," "
"13","",0,"Mimosoideae"," "
"14","",0,"Carapa"," "
"15","",0,"Myrtaceae"," "
"16","",0,"Nymphaea"," "
"17","",0,"Oleaceae"," "
"18","",0,"Raphia"," "
"19","",0,"Podocarpus"," "
"20","",0,"Canthium"," "
"21","",0,"Teclea"," "
"22","",0,"Cola"," "
"23","",0,"Corchorus"," "
"24","",0,"Umbelliferae"," "
"25","",0,"Celtis"," "
"26","",0,"Monolete spore"," "
"27","",0,"Trilete spore"," "
"28","",0,"Unknown"," "
