"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Dacryodes-type"," "
"2","",0,"Diospyros"," "
"3","",0,"Alchornea"," "
"4","",0,"Antidesma-type"," "
"5","",0,"Pentaclethra eetveldeana"," "
"6","",0,"Pentaclethra macrophylla"," "
"7","",0,"Pycnanthus"," "
"8","",0,"Syzygium"," "
"9","",0,"Amaranthaceae/Chenopodiaceae"," "
"10","",0,"Liguliflorae"," "
"11","",0,"Sapotaceae"," "
"12","",0,"Gramineae"," "
"13","",0,"Elaeis guineensis"," "
"14","",0,"Tubuliflorae"," "
"15","",0,"Tapinanthus-type"," "
"16","",0,"Acridocarpus"," "
"17","",0,"Celastraceae"," "
"18","",0,"Indetermines"," "
"19","",0,"Indeterminables"," "
"20","",0,"Croton-type"," "
"21","",0,"Tetrorchidium"," "
"22","",0,"Cyperaceae"," "
"23","",0,"Acanthaceae"," "
"24","",0,"Monocotyledoneae"," "
"25","",0,"Anthocleista"," "
"26","",0,"Moraceae"," "
"27","",0,"Ficus"," "
"28","",0,"Campylospermum"," "
"29","",0,"Tiliaceae"," "
"30","",0,"Rubiaceae"," "
"31","",0,"Allophylus"," "
"32","",0,"Typha"," "
"33","",0,"Monoletes"," "
"34","",0,"Triletes"," "
"35","",0,"Caesalpinioideae"," "
"36","",0,"Adansonia digitata"," "
"37","",0,"Vernonieae"," "
"38","",0,"Evolvulus-type"," "
"39","",0,"Acalypha"," "
"40","",0,"Euphorbia"," "
"41","",0,"Margaritaria-type discoidea"," "
"42","",0,"Phyllanthus-type niruri"," "
"43","",0,"Plagiostyles africana"," "
"44","",0,"Psorospermum febrifugum-type"," "
"45","",0,"Hymenocardia"," "
"46","",0,"Iodes"," "
"47","",0,"Raphiostylis"," "
"48","",0,"Leguminosae"," "
"49","",0,"Hugonia-type platysepala"," "
"50","",0,"Flabellaria-type paniculata"," "
"51","",0,"Abutilon-type"," "
"52","",0,"Entandrophragma-type"," "
"53","",0,"Entada-type"," "
"54","",0,"Tetrapleura tetraptera-type"," "
"55","",0,"Trilepisium-type madagascariensis"," "
"56","",0,"Nymphaea lotus-type"," "
