"","Dacryode","Diospyro","Alchorne","Antidesm","Pentacle","Pycnanth","Syzygium","Commelin","Ligulifl","Sapotace","Graminea","Elaeis.g","Tubulifl","Tapinant","Acridoca","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Cyperace","Monocoty","Anthocle","Moraceae","Ficus","Campylos","Tiliacea","Rubiacea","Typha","Monolete","Triletes","Caesalpi","Vernonie","Euphorbi","Margarit","Phyllant","Psorospe","Hymenoca","Iodes","Legumino","Hugonia.","Flabella","Entandro","Entada.t","Tetraple","Trilepis","Nymphaea","Polygonu","Parinari","Aidia.ty","Canthium","Canthium.1","Pausinys","Paullini","Holoptel","Trema.ty","Verbenac","Cissus.t","Lygodium","Achyrant","Cordia.a","Crudia.t","Cleistan","Papilion","Urticace","Anacardi","Celtis","Combreta","Euphorbi.1","Labiatae","Lannea.t","Phoenix.","Sapindac","Caryophy","Hymenost","Dichondr","Melastom","Alternan","Ceiba.pe","Mimosoid","Mimosa.p","Vigna.ty","Cussonia","Martreti","Macarang","Podocarp","Acanthus","Monolete.1","Trilete.","Zanthoxy","Antrocar","Alstonia","Ehretia.","Gilberti","Julberna","Scorodop","Bridelia","Uapaca.g","Calpocal","Myrianth","Raphia.t","Pterocar","Hallea.t","Zanthoxy.1","Ganophyl","Irvingia","Bombax.b","Phyllant.1","Hua.gabo","Teclea.t","Chron1","Chron10","Chron20"
"0",0,0,47,0,0,0,0,0,0,0,198,15,2,0,1,0,36,13,0,0,31,0,0,40,2,0,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"6.7",0,0,33,0,0,0,1,0,0,0,124,13,1,0,0,0,35,14,0,0,21,0,0,65,1,0,0,2,0,15,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,0,0,0,0,0,1,6,1,15,3,0,0,3,2,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,3,1,0,2,0,14,0,0,0,0,0,0,0,0,26.7999992370605,42.879997253418,42.135555267334
"13.5",0,0,46,0,0,0,2,0,0,0,189,14,2,0,0,0,34,15,2,1,25,0,0,46,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,7,0,0,0,0,0,0,0,1,0,0,15,1,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,86.4000015258789,84.9000015258789
"20.3",0,0,38,1,0,0,0,0,0,0,149,10,3,0,0,0,25,8,0,0,53,0,0,38,0,0,1,3,5,11,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,0,2,7,0,0,0,1,0,0,0,0,1,0,13,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,81.1999969482422,129.919998168945,127.664436340332
"26.9",0,0,48,1,0,0,1,0,0,1,152,11,1,0,0,0,31,10,0,1,30,0,0,45,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,2,0,15,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,124.099998474121,174.470001220703,171.914993286133
"33.6",0,0,27,0,0,0,0,0,0,0,181,1,1,0,0,0,16,14,0,1,67,0,0,16,1,0,0,1,10,55,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,6,0,3,2,0,0,0,2,0,0,0,0,1,0,6,4,0,1,3,0,0,0,0,0,0,4,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,176.024993896484,220.867492675781,218.228744506836
"40.3",0,0,31,0,0,0,0,0,0,0,170,6,2,0,0,0,28,12,0,1,80,0,0,28,0,0,0,0,8,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,5,2,1,0,0,0,0,0,0,1,0,0,10,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,227.949996948242,267.264984130859,264.54248046875
"47",0,0,19,1,0,0,0,1,0,0,155,0,6,0,0,0,22,13,0,1,82,0,0,19,0,0,1,3,11,39,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,0,0,1,0,16,2,0,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,279.875,313.662506103516,310.856262207031
"53.5",0,0,39,0,0,0,0,0,0,0,192,3,5,0,0,0,34,10,1,1,86,0,0,19,0,0,0,1,10,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,4,0,0,0,0,0,0,0,0,0,0,19,1,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,330.25,358.674987792969,355.787506103516
"58",0,0,37,1,0,0,0,1,0,0,144,7,4,0,0,0,30,7,0,2,70,0,0,39,0,0,0,0,14,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,1,0,14,2,0,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,365.125,389.837493896484,386.893737792969
