"","Rhizopho","Cassipou","Avicenni","Acrostic","Alstonia","Hollarhe","Alchorne","Macarang","Jatropha","Uapaca","Bridelia","Celtis","Chaetacm","Anthocle","Ceiba.pe","Bombax","Sapotace","Bequaert","Mimusops","Chrysoph","Terminal","Combreta","Arecacea","Phoenix","Cocos.nu","Calamus.","Raphia","Elaeis.g","Symphoni","Cissus","Leea.gui","Pentachl","Fabaceae","Centrose","Cassia","Tamarind","Anthonot","Mezoneur","Afzelia","Detarium","Triploch","Cola.typ","Sterculi","Mansonia","Gaertner","Canthium","Nauclea","Morelia","Gardenia","Oldenlad","Macrosph","Spathode","Grewia","Triumfet","Lannea.t","Spondias","Diospyro","Monodora","Bosqueia","Cleroden","Irvingia","Allophyl","Deinboll","Blighia.","Pancovia","Paullini","Flabella","Parinari","Pycnanth","Zanthoxy","Canarium","Syzygium","Sauvages","Lophira","Campanul","Erythrox","Podocarp","Tapinant","Tephrosi","Crotalar","Borreria","Chassali","Stachyta","Cnestis","Tetracer","Scoparia","Hyptis.t","Crinum","Jasminum","Ipomoea.","Hippocra","Talinum","Acanthac","Sida.typ","Amaranth","Poaceae","Asterace","Cyperace","Asterace.1","Polygonu","Ludwigia","Jussiae","Typha","Nymphea","Dinoflag","Cyclosor","Spores.m","Ceratopt","Pteris","Spores.t","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"1",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,909,0,3,0,0,0,0,45,1,0,0,9,0,0,2,0,0,0,0,0
"10",5,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,2142,0,2,1,2,2,0,1,2,0,0,40,0,2,0,0,0,0,0,0
"20",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,312,0,1,0,48,31,0,0,0,0,0,110,0,2,2,0,0,0,0,0
"30",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,1,66,67,0,0,0,0,0,193,0,0,1,0,0,0,0,0
"40",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69,0,1,0,26,47,0,0,0,0,0,1105,0,0,2,0,0,0,0,0
"50",5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,2,0,2,0,230,0,1,2,118,94,0,0,2,0,0,1361,0,0,5,0,0,0,0,0
"58",32,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,51,0,0,3,76,5,0,0,1,0,0,5598,0,0,21,0,0,0,0,0
"92",32,0,0,4,0,0,3,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,2,0,58,0,0,1,93,8,0,3,0,0,0,6458,29,0,0,1,0,0,0,0
"102",38,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,96,2,0,0,45,0,11,2,0,0,0,3268,0,0,10,0,0,0,0,0
"112",37,0,0,3,0,0,5,0,0,0,0,4,0,0,1,0,3,0,0,0,0,1,0,0,11,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,120,0,0,7,112,9,0,0,0,0,0,4352,25,0,0,1,0,0,0,0
