"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Rhizophora racemosa-type"," "
"2","",0,"Cassipourea"," "
"3","",0,"Avicennia"," "
"4","",0,"Acrostichum aureum"," "
"5","",0,"Alstonia-type congensis"," "
"6","",0,"Hollarhena-type"," "
"7","",0,"Alchornea cordifolia-type"," "
"8","",0,"Macaranga-type"," "
"9","",0,"Jatropha"," "
"10","",0,"Uapaca"," "
"11","",0,"Bridelia"," "
"12","",0,"Celtis"," "
"13","",0,"Chaetacme aristata"," "
"14","",0,"Anthocleista vogelii-type"," "
"15","",0,"Ceiba pentandra"," "
"16","",0,"Bombax"," "
"17","",0,"Sapotaceae/Meliaceae"," "
"18","",0,"Bequaertiodendron"," "
"19","",0,"Mimusops-type"," "
"20","",0,"Chrysophyllum"," "
"21","",0,"Terminalia-type"," "
"22","",0,"Combretaceae/Melastomataceae"," "
"23","",0,"Arecaceae"," "
"24","",0,"Phoenix"," "
"25","",0,"Cocos nucifera"," "
"26","",0,"Calamus deeratus"," "
"27","",0,"Raphia"," "
"28","",0,"Elaeis guineensis"," "
"29","",0,"Symphonia glubulifera"," "
"30","",0,"Cissus"," "
"31","",0,"Leea guineensis"," "
"32","",0,"Pentachletra macrophylla"," "
"33","",0,"Fabaceae undiff."," "
"34","",0,"Centrosema"," "
"35","",0,"Cassia"," "
"36","",0,"Tamarindus"," "
"37","",0,"Anthonotha-type"," "
"38","",0,"Mezoneuron"," "
"39","",0,"Afzelia"," "
"40","",0,"Detarium"," "
"41","",0,"Triplochiton scleroxylon-type"," "
"42","",0,"Cola-type"," "
"43","",0,"Sterculia-type"," "
"44","",0,"Mansonia"," "
"45","",0,"Gaertnera paniculata-type"," "
"46","",0,"Canthium"," "
"47","",0,"Nauclea"," "
"48","",0,"Morelia"," "
"49","",0,"Gardenia"," "
"50","",0,"Oldenladia-type"," "
"51","",0,"Macrosphyra-type"," "
"52","",0,"Spathodea-type campanulata"," "
"53","",0,"Grewia"," "
"54","",0,"Triumfetta"," "
"55","",0,"Lannea-type"," "
"56","",0,"Spondias"," "
"57","",0,"Diospyros"," "
"58","",0,"Monodora"," "
"59","",0,"Bosqueia-type"," "
"60","",0,"Clerodendron"," "
"61","",0,"Irvingia-type gabonensis"," "
"62","",0,"Allophylus"," "
"63","",0,"Deinbollia"," "
"64","",0,"Blighia-type"," "
"65","",0,"Pancovia-type"," "
"66","",0,"Paullinia pinnata"," "
"67","",0,"Flabellaria"," "
"68","",0,"Parinari"," "
"69","",0,"Pycnanthus angolensis-type"," "
"70","",0,"Zanthoxylum"," "
"71","",0,"Canarium-type"," "
"72","",0,"Syzygium-type"," "
"73","",0,"Sauvagesia"," "
"74","",0,"Lophira"," "
"75","",0,"Campanulaceae type"," "
"76","",0,"Erythroxylum"," "
"77","",0,"Podocarpus"," "
"78","",0,"Tapinanthus"," "
"79","",0,"Tephrosia"," "
"80","",0,"Crotalaria-type"," "
"81","",0,"Borreria"," "
"82","",0,"Chassalia-type"," "
"83","",0,"Stachytarpheta"," "
"84","",0,"Cnestis"," "
"85","",0,"Tetracera"," "
"86","",0,"Scoparia"," "
"87","",0,"Hyptis-type"," "
"88","",0,"Crinum"," "
"89","",0,"Jasminum-type"," "
"90","",0,"Ipomoea-type"," "
"91","",0,"Hippocratea"," "
"92","",0,"Talinum"," "
"93","",0,"Acanthaceae"," "
"94","",0,"Sida-type"," "
"95","",0,"Amaranthaceae/Chenopodiaceae"," "
"96","",0,"Poaceae"," "
"97","",0,"Asteraceae fenestree"," "
"98","",0,"Cyperaceae"," "
"99","",0,"Asteraceae echinulee"," "
"100","",0,"Polygonum pulchrum-type"," "
"101","",0,"Ludwigia-type"," "
"102","",0,"Jussiae"," "
"103","",0,"Typha"," "
"104","",0,"Nymphea"," "
"105","",0,"Dinoflagelle"," "
"106","",0,"Cyclosorus"," "
"107","",0,"Spores monoletes"," "
"108","",0,"Ceratopteris"," "
"109","",0,"Pteris"," "
"110","",0,"Spores triletes"," "
"111","",0,"Indetermines"," "
"112","",0,"Indeterminables"," "
"113","Chron1",0,"Sample age"," "
"114","Chron10",0,"Sample age"," "
"115","Chron20",0,"Sample age"," "
