"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Plagiostyles"," "
"2","",0,"Uapaca"," "
"3","",0,"Symphonia globulifera"," "
"4","",0,"Hallea"," "
"5","",0,"Alchornea"," "
"6","",0,"Cyperaceae"," "
"7","",0,"Pandanus"," "
"8","",0,"Pteridophytae"," "
"9","",0,"Dracaena"," "
"10","",0,"Apocynaceae"," "
"11","",0,"Balanites"," "
"12","",0,"Dialium"," "
"13","",0,"Guibourtia"," "
"14","",0,"Combretaceae"," "
"15","",0,"Tetracera"," "
"16","",0,"Diospyros"," "
"17","",0,"Antidesma"," "
"18","",0,"Cleistanthus"," "
"19","",0,"Croton"," "
"20","",0,"Martretia"," "
"21","",0,"Tetrorchidium congolense"," "
"22","",0,"Tapinanthus"," "
"23","",0,"Carapa procera"," "
"24","",0,"Moraceae"," "
"25","",0,"Pycnanthus angolense"," "
"26","",0,"Heisterial Strombosia"," "
"27","",0,"Canthium"," "
"28","",0,"Pausynistalia"," "
"29","",0,"Aidia"," "
"30","",0,"Fagara"," "
"31","",0,"Allophylus"," "
"32","",0,"Sapotaceae"," "
"33","",0,"Grewia"," "
"34","",0,"Celtis"," "
"35","",0,"Macaranga"," "
"36","",0,"Elaeis guineensis"," "
"37","",0,"Raphia"," "
"38","",0,"Alismataceae"," "
"39","",0,"Gramineae"," "
"40","",0,"Urticaeae"," "
