,CodeNames,CodeNums,FullNames,Sums
1,,0,Acacia, 
2,,0,Acalypha cf. crenata, 
3,,0,Acanthaceae, 
4,,0,Adansonia digitata, 
5,,0,Afraegle, 
6,,0,Afzelia cf. africana, 
7,,0,Alchornea, 
8,,0,Allophylus, 
9,,0,Amaranthaceae/Chenopodiaceae, 
10,,0,Ampelidaceae, 
11,,0,Anacardiaceae, 
12,,0,Annonaceae, 
13,,0,Antidesma, 
14,,0,Umbelliferae, 
15,,0,Apocynaceae, 
16,,0,Araliaceae, 
17,,0,Palmae, 
18,,0,Artemisia, 
19,,0,Compositae, 
20,,0,Balanites, 
21,,0,Blepharis, 
22,,0,Blighia, 
23,,0,Bombax, 
24,,0,Boraginaceae, 
25,,0,Borreria, 
26,,0,Boswellia, 
27,,0,Brassicaceae, 
28,,0,Bridelia, 
29,,0,Burkea africana, 
30,,0,Butyrospermum, 
31,,0,Caesalpinioideae, 
32,,0,Capparidaceae, 
33,,0,Caryophyllaceae, 
34,,0,Cassia, 
35,,0,Celastraceae, 
36,,0,Celtis, 
37,,0,Centaurea, 
38,,0,Cf Dialium, 
39,,0,Cf Scrophulariaceae, 
40,,0,Chrozophora, 
41,,0,Cissampelos cf. mucronata, 
42,,0,Cissus, 
43,,0,Clematis, 
44,,0,Cochlospermum, 
45,,0,Cola cf. cordifolia, 
46,,0,Combretaceae, 
47,,0,Commelinaceae, 
48,,0,Commiphora, 
49,,0,Convolvulaceae, 
50,,0,Corchorus, 
51,,0,Cordia, 
52,,0,Crossopterix febrifuga, 
53,,0,Croton, 
54,,0,Cucumis, 
55,,0,Cucurbitaceae, 
56,,0,Cussonia, 
57,,0,Cyperaceae, 
58,,0,Detarium, 
59,,0,Diospyros, 
60,,0,Dombeya cf. buetnerii, 
61,,0,Elaeis guineensis, 
62,,0,Entada, 
63,,0,Ephedra, 
64,,0,Ericaceae, 
65,,0,Erythrina, 
66,,0,Euphorbiaceae, 
67,,0,Papilionoideae, 
68,,0,Ficus, 
69,,0,Grewia, 
70,,0,Heliotropium, 
71,,0,Hygrophila, 
72,,0,Hymenocardia, 
73,,0,Hyphaene/Borassus, 
74,,0,Indetermines, 
75,,0,Indigofera, 
76,,0,Ipomaea, 
77,,0,Irvingiaceae, 
78,,0,Isoberlinia, 
79,,0,Ixora, 
80,,0,Justicia, 
81,,0,Khaya, 
82,,0,Kohautia, 
83,,0,Lactuceae, 
84,,0,Lamiaceae, 
85,,0,Lannea/Sclerocarya, 
86,,0,Liliaceae, 
87,,0,Lobelia, 
88,,0,Lophira, 
89,,0,Lythraceae, 
90,,0,Macaranga, 
91,,0,Maerua, 
92,,0,Mallotus, 
93,,0,Malvaceae, 
94,,0,Manilkara, 
95,,0,Menispermaceae, 
96,,0,Mitracarpus scaber, 
97,,0,Mitragyna, 
98,,0,Monocotyledoneae, 
99,,0,Monotes kerstingii, 
100,,0,Moraceae, 
101,,0,Morelia senegalensis, 
102,,0,Mussaenda, 
103,,0,Nauclea, 
104,,0,Nymphaea, 
105,,0,Olea hochstetteri, 
106,,0,Parkia, 
107,,0,Adenia, 
108,,0,Paullinia pinnata, 
109,,0,Tacazzea apiculata, 
110,,0,Phoenix cf. reclinata, 
111,,0,Phyllanthus, 
112,,0,Piliostigma, 
113,,0,Pinus, 
114,,0,Gramineae, 
115,,0,Podocarpus, 
116,,0,Polycarpaea, 
117,,0,Polygonaceae, 
118,,0,Polygonum cf. senegalense, 
119,,0,Prosopis, 
120,,0,Pterocarpus, 
121,,0,Pteridophyta undiff., 
122,,0,Tiletes undiff., 
123,,0,Raphia, 
124,,0,Rhus, 
125,,0,Adina, 
126,,0,Rubiaceae, 
127,,0,Rutaceae, 
128,,0,Salix cf. ledermanii, 
129,,0,Salvadora, 
130,,0,Sapindaceae, 
131,,0,Securinega virosa, 
132,,0,Solanum, 
133,,0,Sterculia, 
134,,0,Strychnos, 
135,,0,Syzygium, 
136,,0,Talinum, 
137,,0,Tapinanthus, 
138,,0,Thunbergia, 
139,,0,Thymeleaceae, 
140,,0,Trema guineensis, 
141,,0,Typha, 
142,,0,Uapaca, 
143,,0,Indeterminables, 
144,,0,Urticaceae, 
145,,0,Clerodendron, 
146,,0,Vernonia, 
147,,0,Vitex, 
148,,0,Ximenia americana, 
149,,0,Ziziphus, 
150,Chron1,0,Sample age, 
151,Chron10,0,Sample age, 
152,Chron20,0,Sample age, 
