,Rhizopho,Acrostic,Syzygium,Tabernae,Hollarrh,Strophan,Landolph,Uapaca,Alchorne,Mallotus,Tetrorch,Spondian,Phyllant,Celtis,Chaetacm,Anthocle,Sapotace,Carapa.t,Combreta,Arecacea,Elaeis.g,Borassus,Raphia.s,Phoenix,Ancistro,Symphoni,Pentades,Ceiba.pe,Deinboll,Cissus,Pentachl,Entada.a,Piptaden,Dichrost,Acacia,Mimosa.p,Triploch,Sterculi,Hildegar,Mansonia,Cola.typ,Berlinia,Cassia.t,Caesalpi,Nauclea.,Canthium,Scherbou,Ixora.sp,Chassali,Morelia.,Cuviera,Sabicea,Pavetta.,Psychotr,Gardenia,Rubiacea,Spathode,Grewia.t,Drepanoc,Lonchoca,Dalbergi,Aechynom,Sesbania,Lannea.t,Spondias,Diospyro,Cleistop,Monodora,Annona.s,Bosqueia,Milicia.,Adenia.l,Cleroden,Irvingia,Avicenni,Cnestis.,Allophyl,Blighia.,Paullini,Jasminum,Flabella,Musanga.,Pycnanth,Parinari,Lophira,Fabaceae,Secamone,Poaceae,Cyperace,Asterace,Amaranth,Nymphea,Cyrtospe,Polygonu,Dracaena,Cleome,Ludwigia,Croton.t,Borreria,Triumfet,Indigofe,Crotalar,Desmodiu,Tetracer,Justicia,Scoparia,Leonotis,Polygala,Ipomoea.,Typha,Other,Spores.m,Spores.t,Indeterm,Indeterm.1,Chron1,Chron10,Chron20
0,1,0,7,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,0,69,8,0,0,46,3,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,349,0,0,3,27,0,12,0,1,22,0,0,2,0,0,2,0,16,0,14,1,0,0,0,158,7,5,13,1467.763184,1326.842163,1358.118408
7,5,0,16,0,1,0,0,0,12,10,0,0,7,0,0,0,0,0,1,0,7,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,1,0,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,5,0,350,130,0,0,110,0,14,0,0,28,0,0,0,0,0,0,0,0,8,3,0,4,0,4,700,19,5,10,1605,1493,1525.400024
17,4,0,0,0,0,0,0,0,7,0,0,0,10,4,0,0,1,0,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,134,10,1,0,4,0,14,0,0,16,0,0,0,0,0,0,0,0,17,6,0,0,0,4,1519,10,2,5,1801.052612,1730.368408,1764.373657
27,3,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,3,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,0,0,1,0,0,0,0,0,0,27,1,0,0,0,0,18,0,0,9,0,0,0,0,0,0,0,1,10,1,0,0,0,4,1262,2,2,3,1997.105225,1967.736816,2003.347412
37,32,0,167,0,2,0,2,0,95,24,0,1,9,10,3,3,5,3,32,0,23,0,0,77,0,4,0,0,1,1,0,3,7,2,0,0,0,2,0,0,0,0,9,13,13,3,1,21,0,1,0,6,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,166,0,0,5,1,4,0,5,1,0,2,0,47,7,4,0,26,0,34,0,1,31,0,1,5,2,1,0,0,0,10,0,1,0,0,4,1980,110,5,20,2193.157959,2205.105225,2242.321045
66,828,5,4,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,3,0,8,2761.710449,2893.473633,2935.344727
76,522,5,2,0,1,0,0,0,0,0,2,0,0,2,0,2,1,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,2957.763184,3130.842041,3174.318359
86,1255,5,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,17,3,2,0,3153.815674,3368.210449,3413.291992
95,617,4,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,4,0,0,3330.263184,3581.842041,3628.368408
105,1295,1,2,7,0,2,0,0,0,1,2,0,8,2,0,1,0,2,1,0,3,0,9,0,0,0,0,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,3,10,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,37,4,0,0,3526.315674,3819.210449,3867.342041
