,CodeNames,CodeNums,FullNames,Sums
1,,0,Rhizophora racemosa-type, 
2,,0,Acrostichum aureum, 
3,,0,Syzygium-type, 
4,,0,Tabernaemontana, 
5,,0,Hollarrhena-type, 
6,,0,Strophanthus-type, 
7,,0,Landolphia-type, 
8,,0,Uapaca, 
9,,0,Alchornea cordifolia-type, 
10,,0,Mallotus-type, 
11,,0,Tetrorchidium, 
12,,0,Spondianthus-type preussii, 
13,,0,Phyllanthus-type, 
14,,0,Celtis, 
15,,0,Chaetacme aristata, 
16,,0,Anthocleista vogelii, 
17,,0,Sapotaceae/Meliaceae, 
18,,0,Carapa-type procera, 
19,,0,Combretaceae/Melastomataceae, 
20,,0,Arecaceae undiff., 
21,,0,Elaeis guineensis, 
22,,0,Borassus-type aethiopum, 
23,,0,Raphia sp., 
24,,0,Phoenix, 
25,,0,Ancistrophyllum secundiflorum, 
26,,0,Symphonia globulifera, 
27,,0,Pentadesma butyracea, 
28,,0,Ceiba pentandra, 
29,,0,Deinbollia, 
30,,0,Cissus, 
31,,0,Pentachletra macrophylla, 
32,,0,Entada abyssinica, 
33,,0,Piptadeniastrum-type africanum, 
34,,0,Dichrostachys glomerata, 
35,,0,Acacia, 
36,,0,Mimosa pigra, 
37,,0,Triplochiton scleroxylon-type, 
38,,0,Sterculia-type, 
39,,0,Hildegardia barteri, 
40,,0,Mansonia-type, 
41,,0,Cola-type, 
42,,0,Berlinia-type, 
43,,0,Cassia-type, 
44,,0,Caesalpiniaceae undiff., 
45,,0,Nauclea latifolia, 
46,,0,Canthium-type subcordata, 
47,,0,Scherbournia bignoniifolia, 
48,,0,Ixora spp., 
49,,0,Chassalia kolly, 
50,,0,Morelia senegalensis, 
51,,0,Cuviera, 
52,,0,Sabicea, 
53,,0,Pavetta sp., 
54,,0,Psychotria-type, 
55,,0,Gardenia-type imperialis, 
56,,0,Rubiaceae undiff, 
57,,0,Spathodea-type campanulata, 
58,,0,Grewia-type, 
59,,0,Drepanocarpus lunatus-type, 
60,,0,Lonchocarpus-type, 
61,,0,Dalbergia-type, 
62,,0,Aechynomene-type, 
63,,0,Sesbania-type, 
64,,0,Lannea-type, 
65,,0,Spondias-type mombin, 
66,,0,Diospyros, 
67,,0,Cleistopholis-type patens, 
68,,0,Monodora tenuifolia, 
69,,0,Annona sp., 
70,,0,Bosqueia-type, 
71,,0,Milicia-type excelsa, 
72,,0,Adenia lobata-type, 
73,,0,Clerodendrum, 
74,,0,Irvingia-type gabonensis, 
75,,0,Avicennia, 
76,,0,Cnestis ferruginea-type, 
77,,0,Allophylus africanus-type, 
78,,0,Blighia sapida, 
79,,0,Paullinia pinnata, 
80,,0,Jasminum-type, 
81,,0,Flabellaria-type paniculata, 
82,,0,Musanga type, 
83,,0,Pycnanthus angolensis-type, 
84,,0,Parinari-type, 
85,,0,Lophira, 
86,,0,Fabaceae undiff., 
87,,0,Secamone afzelii, 
88,,0,Poaceae, 
89,,0,Cyperaceae, 
90,,0,Asteraceae undiff., 
91,,0,Amaranthaceae/Chenopodiaceae, 
92,,0,Nymphea, 
93,,0,Cyrtosperma-type, 
94,,0,Polygonum pulchrum-type, 
95,,0,Dracaena-type, 
96,,0,Cleome, 
97,,0,Ludwigia-type, 
98,,0,Croton-type, 
99,,0,Borreria, 
100,,0,Triumfetta-type, 
101,,0,Indigofera-type, 
102,,0,Crotalaria-type, 
103,,0,Desmodium-type, 
104,,0,Tetracera alnifolia-type, 
105,,0,Justicia-type, 
106,,0,Scoparia dulcis, 
107,,0,Leonotis sp., 
108,,0,Polygala-type, 
109,,0,Ipomoea-type, 
110,,0,Typha, 
111,,0,Dinoflagellates, 
112,,0,Spores monoletes, 
113,,0,Spores triletes, 
114,,0,Indetermines, 
115,,0,Indeterminables, 
116,Chron1,0,Sample age, 
117,Chron10,0,Sample age, 
118,Chron20,0,Sample age, 
