"taxa_just$FULL_TAXON","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","Bucholzia","Buchholzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bridelia","Bridelia ferruginea-type","Bridelia micrantha-type","Bridelia-type","Bridelia-type scleroneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Parkia","Acacia/Parkia","Parkia","Parkia bicolor-type","Parkia biglobosa-type","Parkia multijuga-type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Hymenocardia","Hymenocardia","Hymenocardia acida-type","Hymenocardia ulmoides-type","Hymenocardia/Chaetacme aristata","Celtis/Hymenocardia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Securidaca","Securidaca-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fagonia","Fagonia","Fagonia zilloides-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Lotus","Lotus","Lotus arabicus-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Sesamum","Sesamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cyperaceae Undiff.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Typha","Typha","Typha domingensis-type","Typha latifolia-type","Typha minima-type","Typha/Sparganium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Xyris","Xyris","Xyris decipiens-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Illigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Tiliacora funerifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Cardiospermum","Cardiospermum","Cardiospermum halicacabum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Fernandoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Canarium schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Mammea","Mammea africana-type","Mammea/Pentadesma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Symphonia globulifera","Symphonia globulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Allablackia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Aneulophus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Antidesma/Thecacorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Drypetes","Drypetes-type","Drypetes-type afzelii","Drypetes-type caustica","Drypetes-type floribunda","Drypetes-type gilgiana","Drypetes-type gossweileri","Drypetes-type laciniata","Drypetes-type molunduana",NA,NA,NA,NA,NA,NA
"24","Khaya","Khaya-type","Khaya-type ivorensis","Khaya-type senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Olax","Olax","Olax dissitiflora-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Panda","Panda oleosa","Pandaceae undiff.","Pandanus","Pandanus candelabrum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Eriocoelum","Eriocoelum","Eriocoelum macrocarpum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Nesogordinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Triplochiton scleroxylon","Triplochiton scleroxylon-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Borassus/Hyphaene","Borassus/Hyphaene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Elaeis guineensis","Elaeis guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Palmae Undiff.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Lannea","Lannea/Sclerocarya","Lannea-type","Lannea-type acida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Asteraceae Undifferentiated.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Anthocleista grandiflora","Anthocleista grandiflora-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Premna","Premna-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Morinda citrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Pouteria","Pouteria-type","Pouteria-type adolfi-friedericii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Hannoa","Hannoa","Hannoa klaineana-type","Hannoa undulata-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Casearia","Casearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Berlinia","Berlinia/Isoberlinia","Berlinia-type","Berlinia-type confusa","Berlinia-type grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Scaphopetalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Pandanus","Pandanus","Pandanus candelabrum-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Prunus","Prunus","Prunus africana-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Craterispermum","Craterispermum","Craterispermum laurinum-type","Craterispermum schweinfurthii-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Manilkara","Manilkara-type","Manilkara-type butugii","Manilkara-type obovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Mimusops","Mimusops-type","Mimusops-type kummel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
