,Sessuvium,Bucholzia,Leptaulus,Afzelia,Piliostigma,Dichrostachys,Lamiaceae,Ochna,Securidaca,Psydrax,Holoptela,Balanites,Fagonia,Heliotropium,Brassicaceae,Convolvulaceae,Indigofera,Lotus,Adenia,Plantago,Spermacoce,Xyris,Sabicea,Cardiospermum,Amaranthaceae,Landolphia,Tabernaemontana,Ilex,Bignoniaceae,Canarium,Tessmannia,Mammea,Allanblackia,Aneulophus,Anthostema,Thecacoris,Martretia,Baphia,Xylia,Caloncoba,Kirkia,Antiaris,Ongokea,Strombosia,Panda,Medusandra,Coffea,Ixora,Teclea,Lecaniodiscus,Ganophyllum,Paullinia,Zanha,Triplochiton,Mangifera,Asteraceae,Bombax,Ceiba,Discoglypremna,Tephrosia,Acacia,Premna,Rumex,Morinda,Dichostemma,Gilbertiodendron,Irvingia,Scaphopetalum,Prunus,Craterispermum,Rinorea,Loranthaceae,Moraceae,Phyllantheae,Sapindaceae,Vitaceae,Aidia,Croton,Dialium,Drypetes,Pterocarpus,Meliaceae,Nesogordonia,Olax,Parinari,Symphonia,Allophylus,Celtis,Pycnanthus,Zanthoxylum,Blighia,Bridelia,Capparis,Sterculia,Detarium,Diospyros,Dracaena,Euphorbia,Erythrococca,Syzygium,Fabaceae,Ficus,Hymenocardia,Vitex,Copaifera,Entada,Manilkara,Mimusops,Pandanus,Pseudospondias,Uapaca,Phoenix,Raphia,Alchornea,Combretaceae,Lophira,Cyperaceae,Nymphaea,Typha,Nauclea,Elaeis,Macaranga,Myianthus,Spathodea,Tetrorchidium,Trema,Anthocleista,Borassus,Hannoa,Lannea,Pouteria,Zizyphus,Gramineae,Celastraceae,Tiliacora,Annonaceae,Malvaceae,Palmae,Rubiaceae,Indet,volume,Lyco_added,Lyco_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,1,1,0,0,0,2,2,0,1,3,0,0,13,0,0,6,0,0,0,4,0,0,2,0,0,0,0,1,0,1,7,19,7,7,4,0,2,0,5,3,63,14,0,0,1,1,0,2,0,0,0,4,0,2,0,0,1,2,9,2,24200,14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,1,2,0,0,12,3,1,9,0,0,3,1,1,1,0,2,6,0,0,0,1,3,3,13,2,8,2,0,14,1,15,0,46,24,0,0,0,0,1,1,0,1,1,9,0,0,0,0,6,2,13,2,24200,8
10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,2,1,8,2,0,4,0,0,11,0,1,4,0,0,2,1,0,1,1,1,4,0,1,0,0,1,11,32,6,2,3,1,2,1,11,4,53,7,0,0,0,1,2,0,1,0,0,3,0,0,1,0,4,3,11,2,24200,11
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,0,0,1,0,0,2,3,0,0,2,0,0,14,0,0,21,0,0,0,2,0,2,0,0,1,0,0,0,0,0,4,5,4,2,2,0,9,2,6,2,52,21,0,1,1,0,2,0,0,1,2,5,0,0,0,0,8,2,9,2,24200,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,2,0,2,0,4,0,2,0,10,0,0,1,0,0,4,5,0,2,6,5,1,0,0,0,0,0,9,15,7,2,3,3,11,1,1,0,54,1,0,0,1,1,2,0,4,2,0,7,0,1,0,0,2,0,12,2,25084,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,1,0,1,0,4,1,1,4,0,0,6,0,1,10,0,0,1,2,1,0,6,1,1,0,3,0,0,0,0,5,11,2,4,1,9,0,7,3,72,4,0,1,1,0,3,2,0,1,0,1,0,0,0,2,4,1,17,2,24200,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,12,0,0,1,4,0,0,1,2,2,5,1,0,5,1,2,0,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,7,12,1,2,0,2,1,9,2,95,7,0,2,0,2,0,0,2,0,5,4,0,0,2,0,1,0,16,2,25084,4
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,0,1,2,4,1,1,0,2,0,0,5,0,0,0,2,0,1,3,0,0,0,0,0,1,0,1,4,19,1,6,1,6,0,9,0,99,7,0,0,0,0,2,0,1,0,2,8,0,0,0,0,3,0,16,2,24200,4
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,7,1,3,6,0,0,7,1,2,0,0,0,1,3,0,0,1,2,0,0,0,0,0,1,0,5,15,0,1,0,7,0,7,0,88,5,0,1,0,0,0,0,1,0,6,4,0,0,2,0,0,0,12,2,25084,12
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,0,2,0,0,1,0,2,0,1,0,0,0,6,1,1,5,0,0,1,1,0,0,1,0,2,0,4,0,2,1,1,16,21,2,6,1,10,0,6,1,77,7,0,0,1,0,0,0,0,0,1,5,0,0,2,1,5,1,9,2,24200,17
