Pol_type,Family,CodeNames,FullNames,Biome
,FABACEAE - CAESALPINIACEAE,Afzelia,Afzelia,01-RARE-GCRF-WOODLAND MOSAIC
,Apiaceae undiff.,Apiaceae,Apiaceae undiff.,01-RARE-GCRF-WOODLAND MOSAIC
,ZYGOPHYLLACEAE,Balanites,Balanites,01-RARE-GCRF-WOODLAND MOSAIC
,ACANTHACEAE,Barleria,Barleria,01-RARE-GCRF-WOODLAND MOSAIC
,CAPPARACEAE,Bucholzia,Bucholzia,01-RARE-GCRF-WOODLAND MOSAIC
,CAPPARACEAE,Capparis,Capparis,01-RARE-GCRF-WOODLAND MOSAIC
,BURSERACEAE,Commiphora,Commiphora,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Daniella,Daniella,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Detarium,Detarium,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - MIMOSACEAE,Dichrostachys,Dichrostachys,01-RARE-GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Euphorbia,Elaeophorbia/Euphorbia,01-RARE-GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Erythrococca,Erythrococca/Micrococca,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - MIMOSACEAE,Fabaceae,Fabaceae - Mimosoideae Undiff.,01-RARE-GCRF-WOODLAND MOSAIC
,MALVACEAE,Hildegardia,Hildegardia,01-RARE-GCRF-WOODLAND MOSAIC
,ULMACEAE,Holoptela,Holoptela grandis,01-RARE-GCRF-WOODLAND MOSAIC
,RUBIACEAE,Psydrax,Keetia/Psydrax,01-RARE-GCRF-WOODLAND MOSAIC
,LAMIACEAE,Lamiaceae,Lamiaceae undiff.,01-RARE-GCRF-WOODLAND MOSAIC
,CARDIOTERIDACEAE,Leptaulus,Leptaulus,01-RARE-GCRF-WOODLAND MOSAIC
,LECYTHIDACEAE,Napoleona,Napoleona,01-RARE-GCRF-WOODLAND MOSAIC
,OCHNACEAE,Ochna,Ochna,01-RARE-GCRF-WOODLAND MOSAIC
,OLEACEAE,Oleaceae,Oleaceae undiff.,01-RARE-GCRF-WOODLAND MOSAIC
,SALICACEAE,Oncoba,Oncoba dentata,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Piliostigma,Piliostigma,01-RARE-GCRF-WOODLAND MOSAIC
,POLYGALACEAE,Securidaca,Polygala/Securidaca,01-RARE-GCRF-WOODLAND MOSAIC
,PASSIFLORACEAE,Adenia,Adenia,01-RARE-HERBACEOUS
,CARYOPHYLLACEAE,Caryophyllaceae,Caryophyllaceae undiff.,01-RARE-HERBACEOUS
,Convolvulaceae Undiff.,Convolvulaceae,Convolvulaceae Undiff.,01-RARE-HERBACEOUS
,FABACEAE,Indigofera,Indigofera,01-RARE-HERBACEOUS
,ACANTHACEAE,Justicia,Justicia-type,01-RARE-HERBACEOUS
,FABACEAE,Lotus,Lotus,01-RARE-HERBACEOUS
,PIPERACEAE,Peperomia,Peperomia,01-RARE-HERBACEOUS
,CARYOPHYLLACEAE,Polycarpaea,Polycarpaea-type,01-RARE-HERBACEOUS
,SCROPHULARIACEAE,Scrophulariaceae,Scrophulariaceae undiff.,01-RARE-HERBACEOUS
,PEDALIACEAE,Sesamum,Sesamum,01-RARE-HERBACEOUS
,BORAGINACEAE,Trichodesma,Trichodesma,01-RARE-HERBACEOUS
,AMARYLLIDACEAE,Crinium,Crinium sp.,01-RARE-HERBACEOUS - WETLAND
,APOCYNACEAE,Bassiea,Bassiea,01-RARE-LIANA
,SAPINDACEAE,Cardiospermum,Cardiospermum,01-RARE-LIANA
,HERNANDIACEAE,Illigera,Illigera,01-RARE-LIANA
,Malpighiaceae undiff.,Malpighiaceae,Malpighiaceae undiff.,01-RARE-LIANA
,RUBIACEAE,Sabicea,Sabicea,01-RARE-LIANA
,APOCYNACEAE,Tylophora,Tylophora,01-RARE-LIANA
,Rubiaceae,Aidia,Aidia/Catunaregam,01-RARE-MIXED GCRF
,Mimosaceae,Cathormion,Albizia/Cathormion,01-RARE-MIXED GCRF
,Apocynaceae,Landolphia,Alstonia/Landolphia,01-RARE-MIXED GCRF
,ERYTHROXYLACEAE,Aneulophus,Aneulophus,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Anthostema,Anthostema,01-RARE-MIXED GCRF
